Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,6,4,0,1,5,5,4,6,4,0,1,5,5,4,6,4,0,1,5,5,4,6,4,0,1,5,5,4
1972,0,3,6,2,0,0,2,0,3,6,2,0,0,2,0,3,6,2,0,0,2,0,3,6,2,0,0,2
1973,5,0,1,0,1,5,2,5,0,1,0,1,5,2,5,0,1,0,1,5,2,5,0,1,0,1,5,2
1974,0,0,4,0,1,1,1,0,0,4,0,1,1,1,0,0,4,0,1,1,1,0,0,4,0,1,1,1
1975,0,0,0,2,3,0,1,0,0,0,2,3,0,1,0,0,0,2,3,0,1,0,0,0,2,3,0,1
1976,4,1,0,0,1,0,1,4,1,0,0,1,0,1,4,1,0,0,1,0,1,4,1,0,0,1,0,1
1977,0,0,0,4,1,1,1,0,0,0,4,1,1,1,0,0,0,4,1,1,1,0,0,0,4,1,1,1
1978,4,0,0,3,2,3,2,4,0,0,3,2,3,2,4,0,0,3,2,3,2,4,0,0,3,2,3,2
1979,1,0,0,1,0,2,1,1,0,0,1,0,2,1,1,0,0,1,0,2,1,1,0,0,1,0,2,1
1980,5,0,0,1,0,0,1,5,0,0,1,0,0,1,5,0,0,1,0,0,1,5,0,0,1,0,0,1
1981,0,2,5,0,4,2,2,0,2,5,0,4,2,2,0,2,5,0,4,2,2,0,2,5,0,4,2,2
1982,2,1,1,0,6,0,2,2,1,1,0,6,0,2,2,1,1,0,6,0,2,2,1,1,0,6,0,2
1983,0,0,0,6,3,0,2,0,0,0,6,3,0,2,0,0,0,6,3,0,2,0,0,0,6,3,0,2
1984,2,1,0,0,1,4,1,2,1,0,0,1,4,1,2,1,0,0,1,4,1,2,1,0,0,1,4,1
1985,0,0,0,1,0,3,1,0,0,0,1,0,3,1,0,0,0,1,0,3,1,0,0,0,1,0,3,1
1986,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
1987,0,0,0,5,0,1,1,0,0,0,5,0,1,1,0,0,0,5,0,1,1,0,0,0,5,0,1,1
1988,1,0,2,1,3,4,2,1,0,2,1,3,4,2,1,0,2,1,3,4,2,1,0,2,1,3,4,2
1989,6,0,1,2,2,5,3,6,0,1,2,2,5,3,6,0,1,2,2,5,3,6,0,1,2,2,5,3
1990,1,4,2,3,4,0,2,1,4,2,3,4,0,2,1,4,2,3,4,0,2,1,4,2,3,4,0,2
