Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,14,13,34,19,19,10,18,14,13,34,19,19,10,18,14,13,34,19,19,10,18,14,13,34,19,19,10,18
1973,16,16,16,11,11,13,14,16,16,16,11,11,13,14,16,16,16,11,11,13,14,16,16,16,11,11,13,14
1974,8,19,18,11,9,9,12,8,19,18,11,9,9,12,8,19,18,11,9,9,12,8,19,18,11,9,9,12
1975,9,9,19,15,22,17,15,9,9,19,15,22,17,15,9,9,19,15,22,17,15,9,9,19,15,22,17,15
1976,27,15,18,19,12,7,16,27,15,18,19,12,7,16,27,15,18,19,12,7,16,27,15,18,19,12,7,16
1977,10,5,16,20,11,9,12,10,5,16,20,11,9,12,10,5,16,20,11,9,12,10,5,16,20,11,9,12
1978,18,10,25,21,13,21,18,18,10,25,21,13,21,18,18,10,25,21,13,21,18,18,10,25,21,13,21,18
1979,24,18,19,15,5,31,19,24,18,19,15,5,31,19,24,18,19,15,5,31,19,24,18,19,15,5,31,19
1980,14,13,19,23,18,20,18,14,13,19,23,18,20,18,14,13,19,23,18,20,18,14,13,19,23,18,20,18
