Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,34,31,18,35,42,34,32,34,31,18,35,42,34,32,34,31,18,35,42,34,32,34,31,18,35,42,34,32
1972,31,53,24,28,44,37,36,31,53,24,28,44,37,36,31,53,24,28,44,37,36,31,53,24,28,44,37,36
1973,38,28,24,43,21,48,34,38,28,24,43,21,48,34,38,28,24,43,21,48,34,38,28,24,43,21,48,34
1974,38,29,34,35,33,40,35,38,29,34,35,33,40,35,38,29,34,35,33,40,35,38,29,34,35,33,40,35
1975,41,42,27,22,24,43,33,41,42,27,22,24,43,33,41,42,27,22,24,43,33,41,42,27,22,24,43,33
1976,23,38,33,33,31,24,30,23,38,33,33,31,24,30,23,38,33,33,31,24,30,23,38,33,33,31,24,30
1977,44,24,37,26,31,46,35,44,24,37,26,31,46,35,44,24,37,26,31,46,35,44,24,37,26,31,46,35
1978,34,39,29,42,26,39,35,34,39,29,42,26,39,35,34,39,29,42,26,39,35,34,39,29,42,26,39,35
1979,37,37,35,35,23,31,33,37,37,35,35,23,31,33,37,37,35,35,23,31,33,37,37,35,35,23,31,33
1980,24,39,25,46,37,25,33,24,39,25,46,37,25,33,24,39,25,46,37,25,33,24,39,25,46,37,25,33
1981,44,34,22,41,23,30,32,44,34,22,41,23,30,32,44,34,22,41,23,30,32,44,34,22,41,23,30,32
1982,35,31,46,31,32,37,35,35,31,46,31,32,37,35,35,31,46,31,32,37,35,35,31,46,31,32,37,35
1983,24,42,28,41,33,27,33,24,42,28,41,33,27,33,24,42,28,41,33,27,33,24,42,28,41,33,27,33
1984,48,30,34,34,33,26,34,48,30,34,34,33,26,34,48,30,34,34,33,26,34,48,30,34,34,33,26,34
1985,34,32,24,31,38,22,30,34,32,24,31,38,22,30,34,32,24,31,38,22,30,34,32,24,31,38,22,30
1986,36,38,27,29,30,30,32,36,38,27,29,30,30,32,36,38,27,29,30,30,32,36,38,27,29,30,30,32
1987,27,38,24,33,33,32,31,27,38,24,33,33,32,31,27,38,24,33,33,32,31,27,38,24,33,33,32,31
1988,43,35,23,36,33,27,33,43,35,23,36,33,27,33,43,35,23,36,33,27,33,43,35,23,36,33,27,33
1989,25,30,36,32,26,30,30,25,30,36,32,26,30,30,25,30,36,32,26,30,30,25,30,36,32,26,30,30
1990,22,27,37,32,41,30,32,22,27,37,32,41,30,32,22,27,37,32,41,30,32,22,27,37,32,41,30,32
1991,40,26,25,47,39,28,34,40,26,25,47,39,28,34,40,26,25,47,39,28,34,40,26,25,47,39,28,34
1992,48,22,35,27,43,35,35,48,22,35,27,43,35,35,48,22,35,27,43,35,35,48,22,35,27,43,35,35
1993,39,25,31,29,37,28,32,39,25,31,29,37,28,32,39,25,31,29,37,28,32,39,25,31,29,37,28,32
1994,32,41,43,21,32,38,35,32,41,43,21,32,38,35,32,41,43,21,32,38,35,32,41,43,21,32,38,35
1995,29,40,43,25,36,34,35,29,40,43,25,36,34,35,29,40,43,25,36,34,35,29,40,43,25,36,34,35
1996,24,27,28,31,30,36,29,24,27,28,31,30,36,29,24,27,28,31,30,36,29,24,27,28,31,30,36,29
1997,27,29,29,28,32,28,29,27,29,29,28,32,28,29,27,29,29,28,32,28,29,27,29,29,28,32,28,29
1998,28,32,37,47,32,23,33,28,32,37,47,32,23,33,28,32,37,47,32,23,33,28,32,37,47,32,23,33
1999,21,36,29,28,30,37,30,21,36,29,28,30,37,30,21,36,29,28,30,37,30,21,36,29,28,30,37,30
2000,19,35,18,37,22,26,26,19,35,18,37,22,26,26,19,35,18,37,22,26,26,19,35,18,37,22,26,26
2001,32,29,40,36,25,37,33,32,29,40,36,25,37,33,32,29,40,36,25,37,33,32,29,40,36,25,37,33
2002,35,37,18,40,29,38,33,35,37,18,40,29,38,33,35,37,18,40,29,38,33,35,37,18,40,29,38,33
2003,31,28,40,37,28,27,32,31,28,40,37,28,27,32,31,28,40,37,28,27,32,31,28,40,37,28,27,32
2004,29,29,35,42,42,25,34,29,29,35,42,42,25,34,29,29,35,42,42,25,34,29,29,35,42,42,25,34
2005,29,26,34,30,27,41,31,29,26,34,30,27,41,31,29,26,34,30,27,41,31,29,26,34,30,27,41,31
2006,30,41,41,32,43,25,35,31,32,33,30,34,32,32,31,32,38,26,39,45,35,33,22,25,30,24,42,29
2007,28,28,35,37,32,39,33,35,29,32,32,33,23,31,21,30,20,42,32,31,29,33,44,30,37,45,34,37
2008,32,35,27,41,32,32,33,36,32,37,24,32,33,32,27,30,32,33,34,32,31,33,30,37,29,40,38,35
2009,29,28,26,35,32,35,31,12,13,29,41,30,28,26,33,36,19,37,34,33,32,27,33,37,42,39,25,34
2010,29,29,43,29,32,33,33,33,33,41,35,42,31,36,40,29,31,30,33,37,33,39,30,24,30,28,31,30
2011,26,45,42,44,26,27,35,41,33,31,38,28,28,33,35,37,29,40,21,35,33,35,27,39,27,22,34,31
2012,32,28,37,30,29,31,31,36,40,34,37,32,41,37,29,39,16,21,27,38,28,35,27,43,42,46,29,37
2013,40,30,45,32,30,35,35,22,41,36,34,30,34,33,23,26,33,27,37,32,30,35,26,33,20,26,31,29
2014,34,31,38,33,37,34,35,31,30,33,27,32,31,31,26,41,41,33,33,30,34,33,29,19,36,23,30,28
2015,40,32,32,33,34,34,34,28,27,30,34,39,39,33,41,28,29,33,32,20,31,36,26,39,32,27,25,31
2016,35,39,33,34,31,34,34,45,33,24,37,32,34,34,16,23,25,40,19,31,26,31,33,47,50,38,36,39
2017,34,34,36,27,26,42,33,37,32,29,26,30,26,30,44,33,30,30,25,22,31,34,33,25,28,22,35,30
