Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,39,36,35,36,43,49,40,39,36,35,36,43,49,40,39,36,35,36,43,49,40,39,36,35,36,43,49,40
1972,46,39,39,43,40,33,40,46,39,39,43,40,33,40,46,39,39,43,40,33,40,46,39,39,43,40,33,40
1973,50,36,44,40,43,37,42,50,36,44,40,43,37,42,50,36,44,40,43,37,42,50,36,44,40,43,37,42
1974,34,48,27,47,37,43,39,34,48,27,47,37,43,39,34,48,27,47,37,43,39,34,48,27,47,37,43,39
1975,39,43,22,44,52,50,42,39,43,22,44,52,50,42,39,43,22,44,52,50,42,39,43,22,44,52,50,42
1976,41,41,39,39,42,33,39,41,41,39,39,42,33,39,41,41,39,39,42,33,39,41,41,39,39,42,33,39
1977,52,40,38,41,47,38,43,52,40,38,41,47,38,43,52,40,38,41,47,38,43,52,40,38,41,47,38,43
1978,46,28,32,42,40,29,36,46,28,32,42,40,29,36,46,28,32,42,40,29,36,46,28,32,42,40,29,36
1979,45,55,32,53,45,58,48,45,55,32,53,45,58,48,45,55,32,53,45,58,48,45,55,32,53,45,58,48
1980,54,41,30,43,43,29,40,54,41,30,43,43,29,40,54,41,30,43,43,29,40,54,41,30,43,43,29,40
1981,32,43,35,37,37,42,38,32,43,35,37,37,42,38,32,43,35,37,37,42,38,32,43,35,37,37,42,38
1982,43,34,33,37,36,47,38,43,34,33,37,36,47,38,43,34,33,37,36,47,38,43,34,33,37,36,47,38
1983,41,46,45,50,32,33,41,41,46,45,50,32,33,41,41,46,45,50,32,33,41,41,46,45,50,32,33,41
1984,35,51,36,38,42,34,39,35,51,36,38,42,34,39,35,51,36,38,42,34,39,35,51,36,38,42,34,39
1985,41,42,51,32,36,33,39,41,42,51,32,36,33,39,41,42,51,32,36,33,39,41,42,51,32,36,33,39
1986,37,40,39,36,42,44,40,37,40,39,36,42,44,40,37,40,39,36,42,44,40,37,40,39,36,42,44,40
1987,45,48,32,35,37,31,38,45,48,32,35,37,31,38,45,48,32,35,37,31,38,45,48,32,35,37,31,38
1988,36,40,41,38,37,41,39,36,40,41,38,37,41,39,36,40,41,38,37,41,39,36,40,41,38,37,41,39
1989,38,43,32,46,22,30,35,38,43,32,46,22,30,35,38,43,32,46,22,30,35,38,43,32,46,22,30,35
1990,40,38,34,18,39,36,34,40,38,34,18,39,36,34,40,38,34,18,39,36,34,40,38,34,18,39,36,34
1991,39,35,48,34,39,35,38,39,35,48,34,39,35,38,39,35,48,34,39,35,38,39,35,48,34,39,35,38
1992,45,35,28,37,49,41,39,45,35,28,37,49,41,39,45,35,28,37,49,41,39,45,35,28,37,49,41,39
1993,35,43,53,41,44,34,42,35,43,53,41,44,34,42,35,43,53,41,44,34,42,35,43,53,41,44,34,42
1994,40,36,38,50,38,36,40,40,36,38,50,38,36,40,40,36,38,50,38,36,40,40,36,38,50,38,36,40
1995,43,33,40,30,42,40,38,43,33,40,30,42,40,38,43,33,40,30,42,40,38,43,33,40,30,42,40,38
1996,31,37,38,33,54,39,39,31,37,38,33,54,39,39,31,37,38,33,54,39,39,31,37,38,33,54,39,39
1997,32,30,33,42,43,35,36,32,30,33,42,43,35,36,32,30,33,42,43,35,36,32,30,33,42,43,35,36
1998,34,32,40,36,28,43,36,34,32,40,36,28,43,36,34,32,40,36,28,43,36,34,32,40,36,28,43,36
1999,35,41,26,40,30,43,36,35,41,26,40,30,43,36,35,41,26,40,30,43,36,35,41,26,40,30,43,36
2000,41,30,49,26,31,36,36,41,30,49,26,31,36,36,41,30,49,26,31,36,36,41,30,49,26,31,36,36
2001,45,48,43,41,34,38,42,45,48,43,41,34,38,42,45,48,43,41,34,38,42,45,48,43,41,34,38,42
2002,28,30,37,34,39,35,34,28,30,37,34,39,35,34,28,30,37,34,39,35,34,28,30,37,34,39,35,34
2003,42,39,37,42,42,30,39,42,39,37,42,42,30,39,42,39,37,42,42,30,39,42,39,37,42,42,30,39
2004,34,44,45,44,29,34,38,34,44,45,44,29,34,38,34,44,45,44,29,34,38,34,44,45,44,29,34,38
2005,41,40,37,36,43,39,39,41,40,37,36,43,39,39,41,40,37,36,43,39,39,41,40,37,36,43,39,39
2006,34,39,46,33,44,25,37,39,35,44,38,44,31,39,50,42,32,40,27,37,38,32,32,42,40,40,42,38
2007,36,42,47,33,40,37,39,41,39,28,43,42,45,40,46,42,38,36,44,33,40,48,30,32,33,45,39,38
2008,32,29,44,33,48,28,36,31,35,48,39,44,20,36,40,40,32,39,49,21,37,33,39,44,41,37,33,38
2009,29,34,31,45,53,41,39,40,39,32,41,34,39,38,37,41,37,44,33,31,37,41,34,36,31,43,51,39
2010,27,30,36,44,33,39,35,40,38,30,51,40,43,40,41,30,38,30,41,38,36,36,38,34,41,48,42,40
2011,28,42,38,45,41,37,39,47,42,41,41,35,42,41,36,27,28,32,37,39,33,28,36,48,26,40,37,36
2012,38,38,35,39,43,28,37,47,45,40,44,33,32,40,34,33,40,36,46,33,37,39,42,29,38,35,31,36
2013,38,35,46,31,44,43,40,46,44,32,36,32,52,40,37,43,37,34,35,35,37,41,40,30,27,32,42,35
2014,40,41,39,33,34,36,37,31,38,44,39,52,33,40,41,36,31,40,28,33,35,31,37,28,38,31,47,35
2015,31,26,42,43,27,37,34,37,28,28,37,31,38,33,37,38,41,44,31,27,36,32,25,39,28,28,37,32
2016,32,26,21,44,40,27,32,35,34,32,47,33,31,35,36,32,41,37,42,34,37,43,41,49,42,36,32,41
2017,46,43,43,36,34,33,39,34,37,33,44,32,34,36,49,38,11,42,43,24,35,43,39,39,39,25,44,38
2018,25,40,43,34,48,34,37,30,38,37,38,30,30,34,41,42,38,38,33,39,39,39,46,45,44,47,38,43
2019,34,36,42,44,44,46,41,39,41,38,40,32,32,37,37,32,40,52,31,37,38,31,43,44,42,27,47,39
2020,36,34,47,39,32,36,37,51,45,33,35,37,24,38,45,34,39,42,39,33,39,47,34,29,29,38,24,34
2021,33,33,36,53,31,37,37,39,31,21,42,37,34,34,37,34,44,47,34,35,39,43,44,48,47,43,31,43
2022,40,36,33,31,35,30,34,33,32,46,40,45,29,38,43,43,45,33,43,45,42,45,37,37,36,35,33,37
2023,41,46,35,40,36,38,39,36,43,37,40,32,29,36,34,37,43,29,37,38,36,39,33,33,33,44,40,37
2024,34,36,38,36,27,44,36,30,27,28,38,29,28,30,31,31,44,43,25,42,36,44,50,39,30,27,26,36
2025,35,39,38,37,37,55,40,24,28,34,41,40,29,33,39,35,51,51,31,38,41,32,25,40,42,38,50,38
2026,39,23,49,35,35,34,36,35,37,36,50,31,36,38,35,38,48,25,29,48,37,40,35,40,37,31,30,36
2027,34,36,40,43,26,46,38,43,51,51,38,36,35,42,36,43,31,40,36,45,39,27,39,42,43,39,36,38
2028,38,33,28,46,29,42,36,34,35,28,30,31,42,33,43,35,37,39,29,40,37,32,37,30,31,40,42,35
