Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,27,34,17,28,32,34,29,27,34,17,28,32,34,29,27,34,17,28,32,34,29,27,34,17,28,32,34,29
1973,23,20,27,23,21,25,23,23,20,27,23,21,25,23,23,20,27,23,21,25,23,23,20,27,23,21,25,23
1974,34,26,19,34,37,34,31,34,26,19,34,37,34,31,34,26,19,34,37,34,31,34,26,19,34,37,34,31
1975,29,39,27,26,16,39,29,29,39,27,26,16,39,29,29,39,27,26,16,39,29,29,39,27,26,16,39,29
1976,14,30,32,13,39,28,26,14,30,32,13,39,28,26,14,30,32,13,39,28,26,14,30,32,13,39,28,26
1977,33,34,32,17,30,37,31,33,34,32,17,30,37,31,33,34,32,17,30,37,31,33,34,32,17,30,37,31
1978,25,33,23,26,31,28,28,25,33,23,26,31,28,28,25,33,23,26,31,28,28,25,33,23,26,31,28,28
1979,34,20,29,37,42,24,31,34,20,29,37,42,24,31,34,20,29,37,42,24,31,34,20,29,37,42,24,31
1980,21,29,20,35,34,24,27,21,29,20,35,34,24,27,21,29,20,35,34,24,27,21,29,20,35,34,24,27
1981,32,18,29,33,23,28,27,32,18,29,33,23,28,27,32,18,29,33,23,28,27,32,18,29,33,23,28,27
1982,42,33,25,22,29,40,32,42,33,25,22,29,40,32,42,33,25,22,29,40,32,42,33,25,22,29,40,32
1983,28,49,13,26,36,24,29,28,49,13,26,36,24,29,28,49,13,26,36,24,29,28,49,13,26,36,24,29
1984,18,25,33,37,38,30,30,18,25,33,37,38,30,30,18,25,33,37,38,30,30,18,25,33,37,38,30,30
1985,30,22,25,31,31,15,26,30,22,25,31,31,15,26,30,22,25,31,31,15,26,30,22,25,31,31,15,26
1986,28,37,19,29,18,32,27,28,37,19,29,18,32,27,28,37,19,29,18,32,27,28,37,19,29,18,32,27
1987,27,52,33,22,31,33,33,27,52,33,22,31,33,33,27,52,33,22,31,33,33,27,52,33,22,31,33,33
1988,46,31,22,20,25,29,29,46,31,22,20,25,29,29,46,31,22,20,25,29,29,46,31,22,20,25,29,29
1989,30,37,24,15,14,23,24,30,37,24,15,14,23,24,30,37,24,15,14,23,24,30,37,24,15,14,23,24
1990,12,25,18,18,25,24,20,12,25,18,18,25,24,20,12,25,18,18,25,24,20,12,25,18,18,25,24,20
1991,25,23,22,30,22,27,25,25,23,22,30,22,27,25,25,23,22,30,22,27,25,25,23,22,30,22,27,25
1992,36,22,27,31,36,27,30,36,22,27,31,36,27,30,36,22,27,31,36,27,30,36,22,27,31,36,27,30
1993,20,26,27,19,26,18,23,20,26,27,19,26,18,23,20,26,27,19,26,18,23,20,26,27,19,26,18,23
1994,41,28,31,18,33,33,31,41,28,31,18,33,33,31,41,28,31,18,33,33,31,41,28,31,18,33,33,31
