Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,51,51,46,51,53,54,51,51,51,46,51,53,54,51,51,51,46,51,53,54,51,51,51,46,51,53,54,51
1972,54,55,38,59,37,42,48,54,55,38,59,37,42,48,54,55,38,59,37,42,48,54,55,38,59,37,42,48
1973,43,44,58,41,52,52,48,43,44,58,41,52,52,48,43,44,58,41,52,52,48,43,44,58,41,52,52,48
1974,41,31,37,43,46,56,42,41,31,37,43,46,56,42,41,31,37,43,46,56,42,41,31,37,43,46,56,42
1975,42,54,57,52,54,45,51,42,54,57,52,54,45,51,42,54,57,52,54,45,51,42,54,57,52,54,45,51
1976,46,54,52,50,42,50,49,46,54,52,50,42,50,49,46,54,52,50,42,50,49,46,54,52,50,42,50,49
1977,36,47,41,54,43,48,45,36,47,41,54,43,48,45,36,47,41,54,43,48,45,36,47,41,54,43,48,45
1978,48,43,52,56,49,38,48,48,43,52,56,49,38,48,48,43,52,56,49,38,48,48,43,52,56,49,38,48
1979,49,45,39,43,51,37,44,49,45,39,43,51,37,44,49,45,39,43,51,37,44,49,45,39,43,51,37,44
1980,52,43,42,43,38,39,43,52,43,42,43,38,39,43,52,43,42,43,38,39,43,52,43,42,43,38,39,43
1981,52,50,52,50,38,35,46,52,50,52,50,38,35,46,52,50,52,50,38,35,46,52,50,52,50,38,35,46
1982,47,43,48,42,46,40,44,47,43,48,42,46,40,44,47,43,48,42,46,40,44,47,43,48,42,46,40,44
1983,44,46,49,49,52,48,48,44,46,49,49,52,48,48,44,46,49,49,52,48,48,44,46,49,49,52,48,48
1984,44,43,36,42,46,49,43,44,43,36,42,46,49,43,44,43,36,42,46,49,43,44,43,36,42,46,49,43
1985,52,43,59,39,46,43,47,52,43,59,39,46,43,47,52,43,59,39,46,43,47,52,43,59,39,46,43,47
1986,44,46,46,50,45,55,48,44,46,46,50,45,55,48,44,46,46,50,45,55,48,44,46,46,50,45,55,48
1987,43,49,47,45,32,43,43,43,49,47,45,32,43,43,43,49,47,45,32,43,43,43,49,47,45,32,43,43
1988,54,40,46,51,38,43,45,54,40,46,51,38,43,45,54,40,46,51,38,43,45,54,40,46,51,38,43,45
1989,37,40,49,53,34,60,46,37,40,49,53,34,60,46,37,40,49,53,34,60,46,37,40,49,53,34,60,46
1990,41,49,46,52,50,32,45,41,49,46,52,50,32,45,41,49,46,52,50,32,45,41,49,46,52,50,32,45
1991,43,55,41,59,39,43,47,43,55,41,59,39,43,47,43,55,41,59,39,43,47,43,55,41,59,39,43,47
1992,48,42,52,49,45,55,49,48,42,52,49,45,55,49,48,42,52,49,45,55,49,48,42,52,49,45,55,49
1993,43,50,50,52,42,38,46,43,50,50,52,42,38,46,43,50,50,52,42,38,46,43,50,50,52,42,38,46
1994,49,53,53,46,46,48,49,49,53,53,46,46,48,49,49,53,53,46,46,48,49,49,53,53,46,46,48,49
1995,35,51,45,43,42,46,44,35,51,45,43,42,46,44,35,51,45,43,42,46,44,35,51,45,43,42,46,44
1996,53,42,51,41,42,49,46,53,42,51,41,42,49,46,53,42,51,41,42,49,46,53,42,51,41,42,49,46
1997,51,34,53,47,56,43,47,51,34,53,47,56,43,47,51,34,53,47,56,43,47,51,34,53,47,56,43,47
1998,49,37,48,43,47,50,46,49,37,48,43,47,50,46,49,37,48,43,47,50,46,49,37,48,43,47,50,46
1999,40,36,49,48,41,40,42,40,36,49,48,41,40,42,40,36,49,48,41,40,42,40,36,49,48,41,40,42
2000,53,42,46,37,36,35,42,53,42,46,37,36,35,42,53,42,46,37,36,35,42,53,42,46,37,36,35,42
2001,50,47,39,38,46,43,44,50,47,39,38,46,43,44,50,47,39,38,46,43,44,50,47,39,38,46,43,44
2002,49,38,53,45,55,42,47,49,38,53,45,55,42,47,49,38,53,45,55,42,47,49,38,53,45,55,42,47
2003,49,49,65,54,41,41,50,49,49,65,54,41,41,50,49,49,65,54,41,41,50,49,49,65,54,41,41,50
2004,41,34,45,58,41,57,46,41,34,45,58,41,57,46,41,34,45,58,41,57,46,41,34,45,58,41,57,46
2005,50,51,49,41,48,44,47,50,51,49,41,48,44,47,50,51,49,41,48,44,47,50,51,49,41,48,44,47
2006,53,46,44,30,49,51,46,50,42,54,43,51,47,48,57,54,35,56,48,54,51,59,51,53,53,35,45,49
2007,38,45,51,53,45,52,47,46,37,52,56,52,52,49,50,47,37,51,53,47,48,60,40,45,41,46,49,47
2008,52,48,50,49,45,55,50,59,40,39,55,51,44,48,43,56,42,52,55,45,49,51,49,50,41,46,50,48
2009,42,51,44,42,52,57,48,40,47,38,55,56,49,48,50,48,40,43,52,38,45,43,40,37,53,47,54,46
2010,43,50,48,41,45,44,45,46,51,45,61,55,43,50,56,47,53,54,57,41,51,49,47,46,46,42,32,44
2011,36,40,44,44,35,51,42,38,42,42,51,54,52,47,51,49,41,41,50,46,46,50,48,46,43,32,52,45
2012,40,45,38,50,47,49,45,42,54,53,33,49,41,45,38,43,58,50,56,42,48,46,47,49,55,49,57,51
2013,52,41,36,47,48,55,47,44,53,35,43,37,52,44,40,45,46,31,32,54,41,46,51,51,52,59,42,50
2014,37,45,53,43,47,38,44,48,51,54,55,37,43,48,41,34,57,51,38,32,42,54,48,48,44,46,51,49
2015,53,43,47,50,49,51,49,59,46,39,51,50,47,49,54,38,55,43,48,51,48,48,43,46,51,53,48,48
2016,47,49,42,44,49,35,44,50,52,50,47,47,38,47,45,50,39,38,46,36,42,54,46,46,39,36,45,44
2017,46,62,48,49,61,43,52,44,50,52,45,51,44,48,42,46,23,47,49,30,40,50,45,52,36,44,52,47
2018,37,40,44,44,47,41,42,48,45,42,43,39,36,42,38,51,23,42,47,43,41,49,39,41,54,44,35,44
2019,45,40,43,33,43,44,41,48,45,49,44,46,44,46,53,40,32,51,41,57,46,44,45,43,49,45,52,46
2020,47,48,55,47,41,39,46,51,52,47,46,44,49,48,45,43,22,60,43,51,44,49,53,45,46,48,50,49
2021,38,47,59,51,40,54,48,45,42,35,42,46,43,42,46,57,23,47,47,45,44,51,62,56,38,48,50,51
2022,44,41,51,51,40,46,46,48,44,47,54,47,41,47,42,56,35,46,53,57,48,60,48,51,51,47,56,52
2023,45,41,45,47,57,43,46,34,49,44,46,48,53,46,40,47,20,41,46,41,39,50,44,44,41,46,41,44
2024,44,45,48,47,52,45,47,49,43,46,53,42,58,49,39,55,35,43,41,39,42,40,42,49,36,37,50,42
2025,50,38,43,48,46,48,46,50,40,48,47,50,56,49,54,57,15,58,59,37,47,49,44,46,41,53,48,47
2026,50,57,42,54,55,40,50,49,43,53,44,35,45,45,46,59,35,44,30,51,44,43,32,43,46,41,43,41
2027,40,52,35,44,61,50,47,46,52,42,52,53,46,49,41,37,26,50,43,43,40,46,53,48,58,55,50,52
2028,40,52,44,36,54,45,45,58,44,44,41,47,46,47,45,42,28,56,31,46,41,46,55,43,53,47,47,49
2029,57,39,36,42,45,48,45,51,56,55,46,44,41,49,52,43,31,44,33,42,41,47,44,49,45,52,52,48
2030,39,49,39,37,49,42,43,48,55,46,49,49,52,50,39,49,30,48,54,50,45,37,52,47,45,46,56,47
2031,44,54,52,54,51,39,49,31,50,43,61,54,44,47,51,54,39,42,69,40,49,49,44,35,35,35,41,40
2032,47,45,39,46,44,50,45,33,46,42,45,54,39,43,42,37,25,33,37,45,37,40,39,38,38,47,60,44
2033,52,51,55,67,38,46,52,44,43,35,35,41,40,40,40,45,32,52,52,45,44,43,45,38,42,39,51,43
2034,45,38,51,34,49,51,45,53,40,45,39,46,48,45,38,54,31,47,37,57,44,45,46,48,48,48,48,47
2035,45,50,41,50,52,48,48,50,30,38,39,35,36,38,39,44,23,47,53,57,44,46,42,50,52,48,49,48
2036,33,45,56,49,34,39,43,33,45,58,55,47,46,47,48,51,33,46,47,48,46,54,42,42,64,50,46,50
2037,54,33,50,34,39,38,41,55,41,40,41,61,47,48,49,46,22,48,47,42,42,57,50,53,36,54,59,52
2038,43,58,43,50,34,52,47,52,44,42,38,50,35,44,47,33,26,42,50,33,39,40,56,46,51,43,53,48
2039,41,33,43,42,55,47,44,44,42,53,40,38,39,43,41,37,24,40,48,61,42,48,55,45,50,26,56,47
2040,41,45,50,51,39,44,45,43,39,43,50,42,47,44,47,64,30,49,38,45,46,50,48,49,51,39,36,46
2041,47,49,51,51,47,46,49,49,50,43,35,47,44,45,46,62,27,47,49,50,47,46,48,47,56,55,43,49
2042,54,36,49,57,55,47,50,44,36,50,45,51,52,46,45,48,21,43,57,50,44,50,41,54,44,49,47,48
2043,46,45,41,40,39,47,43,49,32,49,41,43,48,44,36,43,19,62,34,32,38,48,38,40,55,49,42,45
2044,48,54,49,47,37,40,46,44,46,46,39,40,58,46,45,44,21,50,32,46,40,44,45,41,47,55,40,45
2045,41,42,49,49,52,50,47,39,45,58,47,49,39,46,43,45,40,47,59,41,46,28,44,47,53,45,42,43
2046,46,43,41,39,41,52,44,46,43,41,41,64,39,46,52,44,29,33,44,41,41,33,46,43,39,52,44,43
2047,43,47,56,39,41,46,45,47,47,39,44,43,44,44,48,39,24,36,52,49,41,55,48,48,54,36,51,49
2048,48,52,47,46,45,52,48,52,56,48,55,44,46,50,37,41,29,37,42,41,38,40,51,42,45,43,48,45
2049,63,43,53,43,39,57,50,49,53,41,59,47,55,51,46,45,26,42,48,50,43,48,41,44,36,53,58,47
2050,56,53,47,52,51,54,52,41,39,51,60,51,47,48,44,41,33,50,28,44,40,43,43,39,38,49,51,44
2051,47,36,49,57,38,44,45,42,43,47,51,47,47,46,50,46,22,39,49,50,43,36,42,42,47,40,47,42
2052,40,45,48,41,48,50,45,44,52,38,34,39,43,42,45,62,22,51,42,48,45,51,49,45,49,40,54,48
2053,40,40,50,55,48,50,47,51,47,46,53,43,53,49,42,49,22,40,43,41,40,48,42,48,49,43,47,46
2054,32,58,40,56,36,55,46,40,33,35,58,47,53,44,39,44,22,51,44,51,42,48,42,48,50,49,36,46
2055,43,51,43,51,44,55,48,50,29,40,36,50,45,42,42,39,28,47,51,37,41,37,43,45,48,39,40,42
2056,38,49,53,50,47,50,48,46,56,51,42,50,48,49,43,49,15,45,47,42,40,45,54,41,44,54,45,47
2057,56,53,42,52,30,49,47,44,44,39,43,42,43,43,50,39,26,39,53,41,41,40,59,48,46,54,41,48
2058,45,54,50,50,42,42,47,35,53,37,52,36,36,42,44,36,20,49,46,45,40,57,32,35,45,53,50,45
2059,43,34,47,42,44,48,43,54,41,35,48,38,41,43,41,46,18,44,49,46,41,41,38,53,49,53,50,47
2060,43,44,41,56,56,40,47,56,47,41,35,46,42,45,48,58,28,40,47,42,44,36,36,60,43,36,46,43
2061,53,44,45,53,42,54,49,51,49,44,41,46,34,44,38,37,21,41,37,48,37,58,44,50,48,40,43,47
2062,44,52,45,40,44,50,46,63,51,61,54,44,47,53,41,53,31,46,38,44,42,47,41,42,57,38,59,47
2063,42,51,54,49,47,39,47,40,46,44,51,51,39,45,51,46,35,44,57,53,48,54,44,46,49,52,53,50
2064,41,58,44,47,49,48,48,51,44,49,40,46,48,46,48,60,29,51,44,44,46,38,45,49,48,41,56,46
2065,53,43,47,53,52,44,49,63,42,50,48,44,44,49,47,60,30,42,50,46,46,56,42,40,54,41,41,46
2066,44,36,43,34,31,44,39,56,47,56,40,48,44,49,32,48,29,51,46,52,43,42,43,44,50,43,51,46
2067,47,33,37,43,41,50,42,42,46,42,50,52,45,46,35,47,24,68,42,50,44,45,30,45,51,49,52,45
2068,53,59,41,42,40,40,46,47,46,42,55,44,54,48,43,34,29,59,42,58,44,41,51,39,58,41,46,46
2069,46,49,49,45,57,63,52,37,39,36,58,50,48,45,50,55,26,40,53,53,46,54,40,45,50,50,65,51
2070,40,49,53,39,43,51,46,56,45,46,41,45,47,47,36,58,41,39,41,41,43,40,50,49,46,43,49,46
2071,58,41,49,54,48,44,49,54,46,44,41,55,36,46,40,31,23,45,34,45,36,43,38,50,49,49,53,47
