Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,3,2,5,6,5,3,4,3,2,5,6,5,3,4,3,2,5,6,5,3,4,3,2,5,6,5,3,4
1972,5,1,3,1,3,2,3,5,1,3,1,3,2,3,5,1,3,1,3,2,3,5,1,3,1,3,2,3
1973,6,3,3,3,8,0,4,6,3,3,3,8,0,4,6,3,3,3,8,0,4,6,3,3,3,8,0,4
1974,0,4,3,10,4,2,4,0,4,3,10,4,2,4,0,4,3,10,4,2,4,0,4,3,10,4,2,4
1975,8,5,2,2,1,2,3,8,5,2,2,1,2,3,8,5,2,2,1,2,3,8,5,2,2,1,2,3
1976,4,1,5,2,0,3,3,4,1,5,2,0,3,3,4,1,5,2,0,3,3,4,1,5,2,0,3,3
1977,0,1,2,2,5,1,2,0,1,2,2,5,1,2,0,1,2,2,5,1,2,0,1,2,2,5,1,2
1978,2,5,8,8,3,3,5,2,5,8,8,3,3,5,2,5,8,8,3,3,5,2,5,8,8,3,3,5
1979,3,2,4,1,6,3,3,3,2,4,1,6,3,3,3,2,4,1,6,3,3,3,2,4,1,6,3,3
1980,3,5,6,7,4,4,5,3,5,6,7,4,4,5,3,5,6,7,4,4,5,3,5,6,7,4,4,5
1981,7,6,7,4,1,4,5,7,6,7,4,1,4,5,7,6,7,4,1,4,5,7,6,7,4,1,4,5
1982,1,6,1,7,8,6,5,1,6,1,7,8,6,5,1,6,1,7,8,6,5,1,6,1,7,8,6,5
1983,13,8,2,4,1,5,6,13,8,2,4,1,5,6,13,8,2,4,1,5,6,13,8,2,4,1,5,6
