Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,25,15,33,17,16,16,20,25,15,33,17,16,16,20,25,15,33,17,16,16,20,25,15,33,17,16,16,20
1973,26,15,23,21,24,11,20,26,15,23,21,24,11,20,26,15,23,21,24,11,20,26,15,23,21,24,11,20
1974,16,23,27,27,28,25,24,16,23,27,27,28,25,24,16,23,27,27,28,25,24,16,23,27,27,28,25,24
1975,9,14,23,24,34,21,21,9,14,23,24,34,21,21,9,14,23,24,34,21,21,9,14,23,24,34,21,21
1976,17,15,21,18,19,23,19,17,15,21,18,19,23,19,17,15,21,18,19,23,19,17,15,21,18,19,23,19
1977,22,8,18,22,10,22,17,22,8,18,22,10,22,17,22,8,18,22,10,22,17,22,8,18,22,10,22,17
1978,29,18,24,20,15,13,20,29,18,24,20,15,13,20,29,18,24,20,15,13,20,29,18,24,20,15,13,20
1979,14,23,29,27,14,28,23,14,23,29,27,14,28,23,14,23,29,27,14,28,23,14,23,29,27,14,28,23
1980,22,24,20,14,28,21,22,22,24,20,14,28,21,22,22,24,20,14,28,21,22,22,24,20,14,28,21,22
1981,20,18,20,13,30,23,21,20,18,20,13,30,23,21,20,18,20,13,30,23,21,20,18,20,13,30,23,21
1982,20,30,20,20,25,26,24,20,30,20,20,25,26,24,20,30,20,20,25,26,24,20,30,20,20,25,26,24
1983,28,19,25,21,21,20,22,28,19,25,21,21,20,22,28,19,25,21,21,20,22,28,19,25,21,21,20,22
1984,29,30,17,14,18,17,21,29,30,17,14,18,17,21,29,30,17,14,18,17,21,29,30,17,14,18,17,21
1985,17,16,16,26,19,22,19,17,16,16,26,19,22,19,17,16,16,26,19,22,19,17,16,16,26,19,22,19
1986,23,13,20,28,34,30,25,23,13,20,28,34,30,25,23,13,20,28,34,30,25,23,13,20,28,34,30,25
1987,19,15,15,23,20,17,18,19,15,15,23,20,17,18,19,15,15,23,20,17,18,19,15,15,23,20,17,18
1988,15,16,17,29,21,27,21,15,16,17,29,21,27,21,15,16,17,29,21,27,21,15,16,17,29,21,27,21
1989,15,23,10,30,16,13,18,15,23,10,30,16,13,18,15,23,10,30,16,13,18,15,23,10,30,16,13,18
1990,28,29,29,21,35,25,28,28,29,29,21,35,25,28,28,29,29,21,35,25,28,28,29,29,21,35,25,28
1991,18,12,25,26,17,36,22,18,12,25,26,17,36,22,18,12,25,26,17,36,22,18,12,25,26,17,36,22
1992,12,15,28,19,20,22,19,12,15,28,19,20,22,19,12,15,28,19,20,22,19,12,15,28,19,20,22,19
1993,26,12,19,20,22,19,20,26,12,19,20,22,19,20,26,12,19,20,22,19,20,26,12,19,20,22,19,20
1994,19,17,24,18,14,23,19,19,17,24,18,14,23,19,19,17,24,18,14,23,19,19,17,24,18,14,23,19
1995,22,25,27,13,30,21,23,22,25,27,13,30,21,23,22,25,27,13,30,21,23,22,25,27,13,30,21,23
1996,18,19,24,24,24,16,21,18,19,24,24,24,16,21,18,19,24,24,24,16,21,18,19,24,24,24,16,21
1997,21,21,31,27,26,14,23,21,21,31,27,26,14,23,21,21,31,27,26,14,23,21,21,31,27,26,14,23
1998,38,32,13,25,11,18,23,38,32,13,25,11,18,23,38,32,13,25,11,18,23,38,32,13,25,11,18,23
1999,30,32,22,24,13,30,25,30,32,22,24,13,30,25,30,32,22,24,13,30,25,30,32,22,24,13,30,25
2000,36,34,25,28,23,19,28,36,34,25,28,23,19,28,36,34,25,28,23,19,28,36,34,25,28,23,19,28
2001,30,24,16,21,26,16,22,30,24,16,21,26,16,22,30,24,16,21,26,16,22,30,24,16,21,26,16,22
2002,11,17,25,17,28,22,20,11,17,25,17,28,22,20,11,17,25,17,28,22,20,11,17,25,17,28,22,20
2003,13,23,44,14,37,17,25,13,23,44,14,37,17,25,13,23,44,14,37,17,25,13,23,44,14,37,17,25
2004,10,29,21,30,29,28,25,10,29,21,30,29,28,25,10,29,21,30,29,28,25,10,29,21,30,29,28,25
2005,16,19,23,14,28,22,20,16,19,23,14,28,22,20,16,19,23,14,28,22,20,16,19,23,14,28,22,20
2006,34,27,18,33,28,31,29,20,18,21,35,23,26,24,28,22,26,35,27,27,28,26,26,15,32,24,19,24
2007,33,31,24,31,33,31,31,19,28,25,17,22,20,22,27,16,23,19,12,28,21,22,24,23,15,43,23,25
2008,14,17,27,27,30,26,24,23,21,27,24,21,32,25,15,21,20,21,9,21,18,13,30,24,17,24,22,22
2009,35,24,26,19,22,33,27,22,27,33,26,34,32,29,30,16,20,32,19,17,22,21,23,22,22,16,27,22
2010,22,14,37,18,21,24,23,34,40,16,19,37,29,29,37,25,25,12,27,22,25,19,21,27,20,27,29,24
2011,19,26,32,22,15,30,24,28,24,17,22,23,19,22,31,27,28,37,25,26,29,31,24,33,12,21,25,24
2012,22,19,20,32,28,22,24,10,19,28,23,29,12,20,12,17,35,27,24,19,22,28,23,19,8,23,29,22
2013,31,16,21,27,25,22,24,21,22,23,25,23,29,24,31,17,18,37,29,15,25,35,28,23,22,29,26,27
2014,28,16,32,22,29,16,24,19,39,33,19,29,27,28,16,23,29,28,27,24,25,23,19,28,22,19,33,24
2015,19,22,24,32,20,28,24,25,21,25,32,26,20,25,24,33,23,26,21,17,24,24,15,23,25,30,24,24
2016,28,23,25,25,29,19,25,25,22,25,30,32,27,27,21,32,27,15,20,21,23,33,20,32,24,25,22,26
2017,20,16,24,33,22,22,23,26,33,21,26,28,30,27,26,23,23,16,35,28,25,11,30,33,28,15,26,24
2018,24,21,18,18,28,20,22,27,42,44,22,22,30,31,27,19,36,20,27,27,26,16,33,20,36,19,21,24
