Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,28,24,22,25,31,26,26,28,24,22,25,31,26,26,28,24,22,25,31,26,26,28,24,22,25,31,26,26
1972,29,29,28,19,27,30,27,29,29,28,19,27,30,27,29,29,28,19,27,30,27,29,29,28,19,27,30,27
1973,32,28,20,27,18,26,25,32,28,20,27,18,26,25,32,28,20,27,18,26,25,32,28,20,27,18,26,25
1974,30,25,34,21,25,33,28,30,25,34,21,25,33,28,30,25,34,21,25,33,28,30,25,34,21,25,33,28
1975,27,36,21,31,24,27,28,27,36,21,31,24,27,28,27,36,21,31,24,27,28,27,36,21,31,24,27,28
1976,26,35,29,29,23,24,28,26,35,29,29,23,24,28,26,35,29,29,23,24,28,26,35,29,29,23,24,28
1977,27,27,27,27,20,33,27,27,27,27,27,20,33,27,27,27,27,27,20,33,27,27,27,27,27,20,33,27
1978,31,27,27,23,19,31,26,31,27,27,23,19,31,26,31,27,27,23,19,31,26,31,27,27,23,19,31,26
1979,28,30,18,33,18,25,25,28,30,18,33,18,25,25,28,30,18,33,18,25,25,28,30,18,33,18,25,25
1980,20,28,25,28,25,16,24,20,28,25,28,25,16,24,20,28,25,28,25,16,24,20,28,25,28,25,16,24
1981,29,23,20,27,27,24,25,29,23,20,27,27,24,25,29,23,20,27,27,24,25,29,23,20,27,27,24,25
1982,23,24,33,34,29,31,29,23,24,33,34,29,31,29,23,24,33,34,29,31,29,23,24,33,34,29,31,29
1983,29,33,29,23,29,28,29,29,33,29,23,29,28,29,29,33,29,23,29,28,29,29,33,29,23,29,28,29
1984,18,25,25,21,28,23,23,18,25,25,21,28,23,23,18,25,25,21,28,23,23,18,25,25,21,28,23,23
1985,28,22,25,25,25,24,25,28,22,25,25,25,24,25,28,22,25,25,25,24,25,28,22,25,25,25,24,25
1986,25,24,33,19,25,24,25,25,24,33,19,25,24,25,25,24,33,19,25,24,25,25,24,33,19,25,24,25
1987,33,32,26,33,25,29,30,33,32,26,33,25,29,30,33,32,26,33,25,29,30,33,32,26,33,25,29,30
1988,23,23,22,21,34,30,26,23,23,22,21,34,30,26,23,23,22,21,34,30,26,23,23,22,21,34,30,26
1989,28,26,25,28,23,17,25,28,26,25,28,23,17,25,28,26,25,28,23,17,25,28,26,25,28,23,17,25
1990,19,29,29,19,15,24,23,19,29,29,19,15,24,23,19,29,29,19,15,24,23,19,29,29,19,15,24,23
1991,26,30,29,38,32,25,30,26,30,29,38,32,25,30,26,30,29,38,32,25,30,26,30,29,38,32,25,30
1992,34,23,29,36,27,27,29,34,23,29,36,27,27,29,34,23,29,36,27,27,29,34,23,29,36,27,27,29
1993,23,28,21,33,24,27,26,23,28,21,33,24,27,26,23,28,21,33,24,27,26,23,28,21,33,24,27,26
1994,22,31,27,26,25,27,26,22,31,27,26,25,27,26,22,31,27,26,25,27,26,22,31,27,26,25,27,26
1995,34,30,28,27,31,26,29,34,30,28,27,31,26,29,34,30,28,27,31,26,29,34,30,28,27,31,26,29
1996,22,22,30,30,25,19,25,22,22,30,30,25,19,25,22,22,30,30,25,19,25,22,22,30,30,25,19,25
1997,28,30,19,32,22,25,26,28,30,19,32,22,25,26,28,30,19,32,22,25,26,28,30,19,32,22,25,26
1998,22,20,27,27,29,24,25,22,20,27,27,29,24,25,22,20,27,27,29,24,25,22,20,27,27,29,24,25
1999,21,29,23,31,23,20,25,21,29,23,31,23,20,25,21,29,23,31,23,20,25,21,29,23,31,23,20,25
2000,27,25,25,27,24,28,26,27,25,25,27,24,28,26,27,25,25,27,24,28,26,27,25,25,27,24,28,26
2001,28,25,26,27,19,35,27,28,25,26,27,19,35,27,28,25,26,27,19,35,27,28,25,26,27,19,35,27
2002,27,26,18,32,22,26,25,27,26,18,32,22,26,25,27,26,18,32,22,26,25,27,26,18,32,22,26,25
2003,20,27,23,24,26,22,24,20,27,23,24,26,22,24,20,27,23,24,26,22,24,20,27,23,24,26,22,24
2004,24,28,27,32,27,21,27,24,28,27,32,27,21,27,24,28,27,32,27,21,27,24,28,27,32,27,21,27
2005,34,24,24,27,27,26,27,34,24,24,27,27,26,27,34,24,24,27,27,26,27,34,24,24,27,27,26,27
2006,29,27,26,25,28,24,27,26,29,25,26,26,27,27,27,28,33,27,35,26,29,27,29,24,31,21,29,27
2007,31,22,26,23,23,26,25,28,26,26,32,33,25,28,27,28,25,32,20,32,27,26,31,31,28,22,27,28
2008,22,21,22,27,28,28,25,31,30,22,28,29,28,28,23,31,23,26,34,29,28,26,30,24,26,33,28,28
2009,29,26,30,21,28,25,27,18,22,21,17,25,20,21,25,31,24,35,26,26,28,27,27,30,24,22,21,25
2010,30,34,23,30,34,27,30,31,31,21,21,29,30,27,31,21,21,30,27,25,26,22,23,30,21,30,25,25
2011,25,35,21,37,29,26,29,24,25,15,28,24,31,25,30,34,23,27,25,18,26,29,20,26,24,23,24,24
2012,23,27,24,26,22,19,24,30,31,27,29,24,30,29,32,29,26,21,23,33,27,30,25,36,23,33,28,29
2013,30,30,23,26,25,19,26,21,28,32,30,19,23,26,23,22,23,23,22,25,23,32,27,32,30,21,29,29
2014,28,25,28,30,23,27,27,21,31,22,30,31,31,28,31,33,33,23,26,30,29,21,20,28,30,19,31,25
2015,24,38,33,23,28,23,28,27,26,24,31,28,20,26,35,22,23,28,30,26,27,23,24,33,32,33,30,29
2016,23,27,27,28,29,25,27,34,24,24,38,35,25,30,31,25,26,32,18,30,27,22,28,39,36,22,27,29
2017,21,26,21,35,27,24,26,24,27,25,33,31,27,28,37,20,22,25,24,23,25,29,28,19,23,28,19,24
2018,22,25,28,25,29,24,26,22,23,29,32,19,27,25,29,28,39,24,23,28,29,25,24,25,29,26,29,26
2019,25,22,29,28,21,29,26,31,31,20,37,21,30,28,26,31,21,25,20,31,26,23,26,23,28,25,27,25
2020,29,32,32,29,27,22,29,24,24,28,34,30,22,27,19,25,32,30,29,31,28,17,26,28,26,30,23,25
