Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,34,22,18,24,29,35,27,34,22,18,24,29,35,27,34,22,18,24,29,35,27,34,22,18,24,29,35,27
1972,29,24,24,33,24,32,28,29,24,24,33,24,32,28,29,24,24,33,24,32,28,29,24,24,33,24,32,28
1973,26,28,27,29,23,23,26,26,28,27,29,23,23,26,26,28,27,29,23,23,26,26,28,27,29,23,23,26
1974,29,33,27,28,24,31,29,29,33,27,28,24,31,29,29,33,27,28,24,31,29,29,33,27,28,24,31,29
1975,37,33,21,36,32,30,32,37,33,21,36,32,30,32,37,33,21,36,32,30,32,37,33,21,36,32,30,32
1976,24,29,39,30,33,25,30,24,29,39,30,33,25,30,24,29,39,30,33,25,30,24,29,39,30,33,25,30
1977,34,32,33,20,31,22,29,34,32,33,20,31,22,29,34,32,33,20,31,22,29,34,32,33,20,31,22,29
1978,31,22,25,24,28,28,26,31,22,25,24,28,28,26,31,22,25,24,28,28,26,31,22,25,24,28,28,26
1979,40,36,32,33,27,33,34,40,36,32,33,27,33,34,40,36,32,33,27,33,34,40,36,32,33,27,33,34
1980,37,26,28,23,28,28,28,37,26,28,23,28,28,28,37,26,28,23,28,28,28,37,26,28,23,28,28,28
1981,28,24,25,32,29,29,28,28,24,25,32,29,29,28,28,24,25,32,29,29,28,28,24,25,32,29,29,28
1982,35,27,34,31,23,27,30,35,27,34,31,23,27,30,35,27,34,31,23,27,30,35,27,34,31,23,27,30
1983,23,31,34,26,31,26,29,23,31,34,26,31,26,29,23,31,34,26,31,26,29,23,31,34,26,31,26,29
1984,27,33,24,25,22,31,27,27,33,24,25,22,31,27,27,33,24,25,22,31,27,27,33,24,25,22,31,27
1985,26,34,29,22,21,30,27,26,34,29,22,21,30,27,26,34,29,22,21,30,27,26,34,29,22,21,30,27
1986,28,29,23,26,30,34,28,28,29,23,26,30,34,28,28,29,23,26,30,34,28,28,29,23,26,30,34,28
1987,26,30,30,25,29,33,29,26,30,30,25,29,33,29,26,30,30,25,29,33,29,26,30,30,25,29,33,29
1988,34,26,37,30,32,33,32,34,26,37,30,32,33,32,34,26,37,30,32,33,32,34,26,37,30,32,33,32
1989,22,31,32,26,27,17,26,22,31,32,26,27,17,26,22,31,32,26,27,17,26,22,31,32,26,27,17,26
