Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,20,28,28,38,26,22,27,20,28,28,38,26,22,27,20,28,28,38,26,22,27,20,28,28,38,26,22,27
1973,27,25,24,22,25,30,26,27,25,24,22,25,30,26,27,25,24,22,25,30,26,27,25,24,22,25,30,26
1974,28,29,25,25,32,24,27,28,29,25,25,32,24,27,28,29,25,25,32,24,27,28,29,25,25,32,24,27
1975,29,38,30,37,19,31,31,29,38,30,37,19,31,31,29,38,30,37,19,31,31,29,38,30,37,19,31,31
1976,23,36,29,28,21,21,26,23,36,29,28,21,21,26,23,36,29,28,21,21,26,23,36,29,28,21,21,26
1977,27,41,30,27,25,31,30,27,41,30,27,25,31,30,27,41,30,27,25,31,30,27,41,30,27,25,31,30
1978,24,37,25,27,28,40,30,24,37,25,27,28,40,30,24,37,25,27,28,40,30,24,37,25,27,28,40,30
1979,19,24,26,26,30,26,25,19,24,26,26,30,26,25,19,24,26,26,30,26,25,19,24,26,26,30,26,25
1980,21,21,28,28,26,30,26,21,21,28,28,26,30,26,21,21,28,28,26,30,26,21,21,28,28,26,30,26
1981,33,23,29,38,23,25,29,33,23,29,38,23,25,29,33,23,29,38,23,25,29,33,23,29,38,23,25,29
1982,35,19,27,24,23,23,25,35,19,27,24,23,23,25,35,19,27,24,23,23,25,35,19,27,24,23,23,25
1983,31,35,29,28,23,31,30,31,35,29,28,23,31,30,31,35,29,28,23,31,30,31,35,29,28,23,31,30
1984,28,24,30,34,35,37,31,28,24,30,34,35,37,31,28,24,30,34,35,37,31,28,24,30,34,35,37,31
1985,31,28,27,20,27,17,25,31,28,27,20,27,17,25,31,28,27,20,27,17,25,31,28,27,20,27,17,25
1986,22,29,31,25,21,18,24,22,29,31,25,21,18,24,22,29,31,25,21,18,24,22,29,31,25,21,18,24
1987,25,31,32,22,34,34,30,25,31,32,22,34,34,30,25,31,32,22,34,34,30,25,31,32,22,34,34,30
1988,35,27,26,20,32,24,27,35,27,26,20,32,24,27,35,27,26,20,32,24,27,35,27,26,20,32,24,27
1989,29,36,39,22,29,38,32,29,36,39,22,29,38,32,29,36,39,22,29,38,32,29,36,39,22,29,38,32
1990,24,28,33,28,21,26,27,24,28,33,28,21,26,27,24,28,33,28,21,26,27,24,28,33,28,21,26,27
1991,26,32,25,30,30,29,29,26,32,25,30,30,29,29,26,32,25,30,30,29,29,26,32,25,30,30,29,29
1992,40,35,31,31,26,30,32,40,35,31,31,26,30,32,40,35,31,31,26,30,32,40,35,31,31,26,30,32
