Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,20,26,23,21,23,30,24,20,26,23,21,23,30,24,20,26,23,21,23,30,24,20,26,23,21,23,30,24
1972,22,27,19,30,24,25,25,22,27,19,30,24,25,25,22,27,19,30,24,25,25,22,27,19,30,24,25,25
1973,29,23,22,16,29,31,25,29,23,22,16,29,31,25,29,23,22,16,29,31,25,29,23,22,16,29,31,25
1974,29,18,27,25,29,26,26,29,18,27,25,29,26,26,29,18,27,25,29,26,26,29,18,27,25,29,26,26
1975,29,31,29,29,29,19,28,29,31,29,29,29,19,28,29,31,29,29,29,19,28,29,31,29,29,29,19,28
1976,26,33,27,31,28,23,28,26,33,27,31,28,23,28,26,33,27,31,28,23,28,26,33,27,31,28,23,28
1977,22,33,38,31,24,29,30,22,33,38,31,24,29,30,22,33,38,31,24,29,30,22,33,38,31,24,29,30
1978,30,19,18,28,39,22,26,30,19,18,28,39,22,26,30,19,18,28,39,22,26,30,19,18,28,39,22,26
1979,25,32,21,28,19,32,26,25,32,21,28,19,32,26,25,32,21,28,19,32,26,25,32,21,28,19,32,26
1980,28,20,28,17,33,25,25,28,20,28,17,33,25,25,28,20,28,17,33,25,25,28,20,28,17,33,25,25
1981,31,17,29,31,27,25,27,31,17,29,31,27,25,27,31,17,29,31,27,25,27,31,17,29,31,27,25,27
1982,18,32,26,30,26,31,27,18,32,26,30,26,31,27,18,32,26,30,26,31,27,18,32,26,30,26,31,27
1983,22,34,33,26,21,22,26,22,34,33,26,21,22,26,22,34,33,26,21,22,26,22,34,33,26,21,22,26
