Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1972,0,0,1,2,0,1,1,0,0,1,2,0,1,1,0,0,1,2,0,1,1,0,0,1,2,0,1,1
1973,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
1974,0,2,1,0,0,0,1,0,2,1,0,0,0,1,0,2,1,0,0,0,1,0,2,1,0,0,0,1
1975,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1976,0,0,0,0,0,3,1,0,0,0,0,0,3,1,0,0,0,0,0,3,1,0,0,0,0,0,3,1
1977,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1978,2,0,0,1,0,0,1,2,0,0,1,0,0,1,2,0,0,1,0,0,1,2,0,0,1,0,0,1
1979,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1980,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1
1981,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1982,3,0,1,1,0,0,1,3,0,1,1,0,0,1,3,0,1,1,0,0,1,3,0,1,1,0,0,1
1983,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1984,0,1,0,0,0,2,1,0,1,0,0,0,2,1,0,1,0,0,0,2,1,0,1,0,0,0,2,1
1985,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1
1986,1,0,0,1,0,3,1,1,0,0,1,0,3,1,1,0,0,1,0,3,1,1,0,0,1,0,3,1
1987,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1
1988,0,0,0,1,1,2,1,0,0,0,1,1,2,1,0,0,0,1,1,2,1,0,0,0,1,1,2,1
1989,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
1990,0,0,1,1,0,2,1,0,0,1,1,0,2,1,0,0,1,1,0,2,1,0,0,1,1,0,2,1
1991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1993,0,0,0,0,2,1,1,0,0,0,0,2,1,1,0,0,0,0,2,1,1,0,0,0,0,2,1,1
1994,0,1,1,0,0,2,1,0,1,1,0,0,2,1,0,1,1,0,0,2,1,0,1,1,0,0,2,1
1995,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1
1996,0,0,0,0,3,0,1,0,0,0,0,3,0,1,0,0,0,0,3,0,1,0,0,0,0,3,0,1
1997,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,1
1998,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1999,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2000,1,1,1,0,2,0,1,1,1,1,0,2,0,1,1,1,1,0,2,0,1,1,1,1,0,2,0,1
2001,0,2,0,0,0,3,1,0,2,0,0,0,3,1,0,2,0,0,0,3,1,0,2,0,0,0,3,1
2002,0,0,0,3,0,1,1,0,0,0,3,0,1,1,0,0,0,3,0,1,1,0,0,0,3,0,1,1
2003,0,0,3,0,0,0,1,0,0,3,0,0,0,1,0,0,3,0,0,0,1,0,0,3,0,0,0,1
2004,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2005,3,0,0,0,1,0,1,3,0,0,0,1,0,1,3,0,0,0,1,0,1,3,0,0,0,1,0,1
2006,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,2,2,1,0,1,0,0,0,0,0
2007,0,0,0,0,2,1,1,1,0,2,0,0,0,1,1,0,0,0,1,0,0,0,2,1,1,0,0,1
2008,0,0,0,2,1,4,1,0,0,0,4,1,0,1,1,0,1,0,0,1,1,1,2,3,0,0,2,1
2009,0,1,3,1,4,0,2,0,1,2,0,2,1,1,0,0,2,0,0,1,1,2,0,2,0,0,0,1
2010,1,0,2,2,0,0,1,0,0,2,0,3,1,1,0,0,0,0,1,0,0,0,0,1,2,0,0,1
2011,2,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,2,0,0,1,1,1,1,1,2,0,1,1
2012,1,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,2,1,2,2,1,1,0,0,1
2013,1,0,1,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,1,1
2014,0,1,1,0,2,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1
2015,2,1,0,1,0,2,1,1,2,2,0,1,3,2,2,3,1,0,0,0,1,0,0,1,0,1,0,0
2016,0,0,1,0,1,0,0,0,0,0,1,1,0,0,2,0,2,1,4,0,2,1,0,0,0,1,2,1
2017,0,0,2,3,1,0,1,0,0,4,0,0,0,1,1,0,0,0,0,0,0,1,0,2,0,2,0,1
2018,0,1,5,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,2,1,0,2,0,0,2,0,1
2019,2,0,0,1,0,1,1,1,0,1,0,2,0,1,3,0,3,1,1,0,1,0,0,0,1,0,0,0
2020,0,1,1,1,4,0,1,2,2,0,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2021,0,0,1,3,0,1,1,0,1,1,1,0,0,1,0,1,2,0,1,1,1,0,3,0,0,0,0,1
2022,1,1,2,1,0,0,1,3,2,1,0,0,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2023,0,1,2,1,1,0,1,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0,0,4,2,0,1
2024,0,0,2,0,1,1,1,0,1,2,0,0,0,1,2,1,1,0,1,1,1,0,0,2,0,1,1,1
2025,0,0,0,2,0,1,1,0,0,1,1,2,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
2026,0,2,1,2,0,0,1,0,1,0,1,3,0,1,0,0,1,1,0,0,0,1,1,0,0,2,0,1
2027,0,0,2,0,0,2,1,0,0,0,1,0,1,0,1,1,3,3,3,0,2,2,2,3,1,3,0,2
2028,0,0,1,0,1,0,0,2,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2029,0,6,0,1,0,0,1,2,1,0,2,0,0,1,0,1,0,1,0,2,1,1,2,2,2,1,1,2
2030,0,0,0,0,0,2,0,0,1,0,0,1,0,0,1,1,0,2,0,1,1,0,0,0,0,0,1,0
2031,0,1,1,0,1,0,1,0,1,2,0,1,0,1,1,0,0,0,0,0,0,3,0,0,1,1,2,1
2032,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,2,1,1,1,1
2033,0,0,0,1,1,0,0,2,0,1,1,1,0,1,0,0,1,2,1,0,1,0,3,2,1,1,0,1
2034,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,2,2,0,1,0,1,2,3,2,0,1,1,2
2035,0,3,1,0,0,0,1,1,3,1,2,0,0,1,1,0,0,2,0,0,1,0,1,0,3,0,2,1
2036,1,0,1,0,2,0,1,0,0,1,0,1,2,1,0,0,0,1,2,0,1,2,2,1,1,0,1,1
2037,0,1,0,1,1,1,1,0,4,1,0,0,0,1,0,1,2,1,1,0,1,0,1,1,1,0,0,1
2038,0,0,0,1,2,2,1,0,1,1,0,1,3,1,0,1,2,1,0,0,1,1,0,2,0,2,0,1
2039,2,0,1,0,0,0,1,0,0,1,1,4,2,1,0,1,0,0,0,0,0,2,0,0,1,2,1,1
2040,0,0,0,2,0,2,1,1,1,0,1,0,1,1,1,0,2,0,1,1,1,1,0,0,0,2,2,1
2041,0,2,0,0,0,1,1,0,0,1,2,0,2,1,2,1,0,0,4,1,1,1,0,0,0,1,0,0
2042,0,0,2,1,1,1,1,1,2,0,0,0,0,1,2,1,0,2,1,4,2,0,1,2,0,5,1,2
2043,0,0,2,0,0,1,1,0,0,0,0,1,2,1,1,1,2,0,0,0,1,2,1,1,0,0,0,1
2044,0,1,3,2,1,0,1,2,1,0,0,1,0,1,0,0,1,1,2,1,1,1,3,2,1,0,2,2
2045,0,1,4,0,0,2,1,0,1,1,1,2,1,1,1,0,1,1,0,0,1,2,0,1,0,2,0,1
2046,1,0,0,0,2,0,1,3,1,0,0,0,0,1,0,0,4,1,2,0,1,2,0,2,0,0,0,1
2047,0,0,3,0,0,1,1,2,1,0,1,1,0,1,3,1,4,1,1,1,2,0,4,3,1,0,0,1
2048,1,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,4,1
2049,1,1,0,0,2,1,1,0,1,0,1,2,3,1,1,1,0,2,0,0,1,0,1,1,1,2,1,1
2050,0,0,0,0,0,1,0,0,0,2,0,2,1,1,0,0,0,1,3,1,1,1,2,0,0,2,1,1
2051,0,1,0,1,0,0,0,2,1,1,5,0,3,2,0,0,0,3,0,0,1,0,2,1,2,0,1,1
2052,3,1,2,1,0,0,1,0,2,0,0,0,0,0,0,2,2,0,1,0,1,0,2,1,0,3,1,1
2053,1,1,1,0,0,0,1,2,0,4,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,2,1,1
2054,1,1,1,1,0,0,1,6,0,0,0,2,1,2,2,0,0,0,0,3,1,0,0,1,1,2,0,1
2055,1,0,1,0,4,0,1,3,1,5,1,0,0,2,3,4,1,0,0,0,1,0,2,0,2,1,2,1
2056,0,0,2,0,2,1,1,0,1,3,0,5,0,2,2,2,1,5,2,0,2,0,1,4,0,0,3,1
2057,0,0,0,1,1,0,0,2,1,2,0,4,0,2,1,0,1,2,2,3,2,0,1,2,0,1,0,1
2058,3,0,0,0,1,0,1,5,4,0,1,1,1,2,0,0,0,1,2,0,1,0,1,3,1,2,2,2
2059,0,2,2,0,1,0,1,0,0,2,0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,3,1,1
2060,1,2,0,0,2,0,1,1,1,5,3,0,3,2,0,0,0,0,1,0,0,3,4,2,2,4,1,3
2061,1,0,1,1,1,0,1,1,2,2,1,3,1,2,0,0,1,0,0,0,0,1,1,3,1,3,2,2
2062,6,2,2,2,1,0,2,1,0,1,0,0,1,1,1,0,1,4,1,0,1,0,0,1,1,0,0,0
2063,0,1,4,1,2,0,1,1,1,2,3,2,0,2,3,0,3,1,1,0,1,2,0,1,1,5,1,2
2064,0,2,2,0,1,0,1,0,2,0,3,3,0,1,0,2,0,0,0,1,1,1,1,1,3,0,2,1
2065,4,0,0,0,0,1,1,0,0,0,0,0,2,0,1,2,1,2,2,0,1,2,2,1,3,1,2,2
2066,0,5,0,2,0,0,1,0,0,3,1,1,0,1,3,0,1,2,3,0,2,3,1,1,5,2,0,2
2067,0,0,5,0,0,1,1,1,1,0,0,2,0,1,0,0,1,1,0,1,1,3,2,1,0,1,1,1
2068,0,0,5,0,2,1,1,0,0,1,0,0,2,1,1,2,1,1,0,1,1,1,6,2,1,2,0,2
2069,1,1,1,1,2,4,2,0,1,3,0,2,1,1,2,1,2,2,0,2,2,2,1,0,0,1,4,1
2070,1,0,0,1,1,0,1,0,0,3,0,2,1,1,0,1,4,1,1,1,1,3,3,0,2,1,2,2
2071,0,2,0,0,0,1,1,2,2,0,0,1,1,1,5,5,1,0,0,0,2,5,1,4,1,2,2,3
2072,1,1,0,1,0,0,1,1,0,1,2,2,0,1,3,0,2,0,2,2,2,1,5,1,0,3,1,2
2073,1,1,0,0,0,0,0,3,1,0,2,2,3,2,0,0,3,1,1,0,1,1,0,1,3,2,1,1
2074,1,1,2,0,0,0,1,2,0,4,0,3,0,2,1,2,0,2,1,0,1,0,1,1,2,1,3,1
2075,0,0,1,0,2,1,1,0,0,1,0,0,0,0,1,3,2,0,1,0,1,3,2,0,1,0,0,1
2076,1,1,1,0,1,0,1,0,4,0,1,0,0,1,2,0,0,0,2,1,1,2,4,1,4,1,1,2
2077,0,0,1,0,1,0,0,2,2,0,0,0,0,1,1,1,2,1,1,2,1,3,3,3,1,0,2,2
2078,2,0,0,1,0,0,1,2,1,3,2,1,0,2,1,0,0,1,1,2,1,0,1,1,1,3,2,1
2079,0,2,0,1,0,2,1,0,1,0,0,1,0,0,1,2,1,0,2,3,2,3,2,2,0,1,2,2
2080,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,2,0,3,1,2,2,3,2,2,1,2,2
2081,1,1,0,0,0,0,0,2,2,3,1,1,1,2,1,2,3,2,2,5,3,5,0,4,0,2,3,2
2082,1,3,0,1,2,0,1,3,2,0,0,0,0,1,1,1,0,0,3,0,1,1,3,3,4,4,1,3
2083,0,3,3,3,0,0,2,0,3,2,1,2,3,2,1,2,0,2,2,0,1,2,0,5,5,0,1,2
2084,0,0,0,0,0,0,0,0,4,0,0,2,2,1,3,1,0,1,2,1,1,1,4,4,2,1,0,2
2085,0,0,2,1,1,1,1,2,0,2,0,1,1,1,0,0,0,2,0,1,1,1,2,3,1,0,1,1
2086,0,2,2,2,1,0,1,2,0,1,3,0,1,1,2,0,0,3,2,1,1,0,6,7,0,1,2,3
2087,0,1,1,1,2,1,1,1,4,3,1,0,0,2,1,0,2,3,0,0,1,2,1,3,1,3,2,2
2088,0,1,2,0,0,2,1,0,0,0,0,1,2,1,0,2,1,0,0,2,1,2,3,2,2,1,1,2
2089,0,0,4,0,1,0,1,1,1,0,0,3,2,1,1,3,2,2,4,2,2,0,3,0,2,2,2,2
2090,1,2,0,1,0,0,1,1,1,5,2,3,0,2,0,1,1,0,2,1,1,0,1,2,4,7,0,2
2091,3,3,0,1,2,0,2,0,2,1,2,1,0,1,2,1,0,0,3,1,1,2,3,4,3,2,5,3
2092,2,0,2,0,0,2,1,4,3,3,1,0,4,3,2,2,3,1,0,0,1,2,7,2,1,5,4,4
2093,0,0,3,0,1,1,1,2,3,3,1,2,0,2,1,2,0,0,0,1,1,3,5,2,1,6,3,3
