Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,3,5,6,0,3,2,3,3,5,6,0,3,2,3,3,5,6,0,3,2,3,3,5,6,0,3,2,3
1973,0,1,1,3,4,2,2,0,1,1,3,4,2,2,0,1,1,3,4,2,2,0,1,1,3,4,2,2
1974,1,2,2,2,2,8,3,1,2,2,2,2,8,3,1,2,2,2,2,8,3,1,2,2,2,2,8,3
1975,0,4,4,2,1,0,2,0,4,4,2,1,0,2,0,4,4,2,1,0,2,0,4,4,2,1,0,2
1976,6,4,0,5,4,4,4,6,4,0,5,4,4,4,6,4,0,5,4,4,4,6,4,0,5,4,4,4
1977,1,0,4,3,4,2,2,1,0,4,3,4,2,2,1,0,4,3,4,2,2,1,0,4,3,4,2,2
1978,0,0,2,2,1,0,1,0,0,2,2,1,0,1,0,0,2,2,1,0,1,0,0,2,2,1,0,1
1979,2,4,2,4,3,6,4,2,4,2,4,3,6,4,2,4,2,4,3,6,4,2,4,2,4,3,6,4
1980,4,0,3,3,5,2,3,4,0,3,3,5,2,3,4,0,3,3,5,2,3,4,0,3,3,5,2,3
1981,0,2,5,2,0,3,2,0,2,5,2,0,3,2,0,2,5,2,0,3,2,0,2,5,2,0,3,2
1982,0,3,3,1,3,4,2,0,3,3,1,3,4,2,0,3,3,1,3,4,2,0,3,3,1,3,4,2
1983,3,1,5,1,3,0,2,3,1,5,1,3,0,2,3,1,5,1,3,0,2,3,1,5,1,3,0,2
1984,4,3,2,2,1,2,2,4,3,2,2,1,2,2,4,3,2,2,1,2,2,4,3,2,2,1,2,2
1985,1,0,2,0,1,4,1,1,0,2,0,1,4,1,1,0,2,0,1,4,1,1,0,2,0,1,4,1
1986,4,0,4,6,6,3,4,4,0,4,6,6,3,4,4,0,4,6,6,3,4,4,0,4,6,6,3,4
1987,1,3,1,5,3,3,3,1,3,1,5,3,3,3,1,3,1,5,3,3,3,1,3,1,5,3,3,3
