Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,36,34,25,20,25,35,29,36,34,25,20,25,35,29,36,34,25,20,25,35,29,36,34,25,20,25,35,29
1972,31,32,29,25,27,24,28,31,32,29,25,27,24,28,31,32,29,25,27,24,28,31,32,29,25,27,24,28
1973,31,30,25,33,31,32,30,31,30,25,33,31,32,30,31,30,25,33,31,32,30,31,30,25,33,31,32,30
1974,38,26,26,29,28,30,30,38,26,26,29,28,30,30,38,26,26,29,28,30,30,38,26,26,29,28,30,30
1975,27,33,29,32,24,24,28,27,33,29,32,24,24,28,27,33,29,32,24,24,28,27,33,29,32,24,24,28
1976,31,25,33,27,30,33,30,31,25,33,27,30,33,30,31,25,33,27,30,33,30,31,25,33,27,30,33,30
1977,34,30,29,35,31,35,32,34,30,29,35,31,35,32,34,30,29,35,31,35,32,34,30,29,35,31,35,32
1978,32,30,30,25,21,32,28,32,30,30,25,21,32,28,32,30,30,25,21,32,28,32,30,30,25,21,32,28
1979,32,36,22,24,24,34,29,32,36,22,24,24,34,29,32,36,22,24,24,34,29,32,36,22,24,24,34,29
1980,32,29,36,32,29,21,30,32,29,36,32,29,21,30,32,29,36,32,29,21,30,32,29,36,32,29,21,30
1981,34,27,28,35,30,28,30,34,27,28,35,30,28,30,34,27,28,35,30,28,30,34,27,28,35,30,28,30
1982,27,30,34,36,33,27,31,27,30,34,36,33,27,31,27,30,34,36,33,27,31,27,30,34,36,33,27,31
1983,25,31,26,18,27,35,27,25,31,26,18,27,35,27,25,31,26,18,27,35,27,25,31,26,18,27,35,27
1984,20,26,30,26,41,30,29,20,26,30,26,41,30,29,20,26,30,26,41,30,29,20,26,30,26,41,30,29
1985,27,26,30,31,38,24,29,27,26,30,31,38,24,29,27,26,30,31,38,24,29,27,26,30,31,38,24,29
1986,30,42,26,24,27,24,29,30,42,26,24,27,24,29,30,42,26,24,27,24,29,30,42,26,24,27,24,29
1987,31,30,30,36,21,24,29,31,30,30,36,21,24,29,31,30,30,36,21,24,29,31,30,30,36,21,24,29
1988,34,30,30,26,30,36,31,34,30,30,26,30,36,31,34,30,30,26,30,36,31,34,30,30,26,30,36,31
1989,27,32,35,29,35,22,30,27,32,35,29,35,22,30,27,32,35,29,35,22,30,27,32,35,29,35,22,30
1990,23,28,34,31,27,28,29,23,28,34,31,27,28,29,23,28,34,31,27,28,29,23,28,34,31,27,28,29
1991,30,27,34,31,35,24,30,30,27,34,31,35,24,30,30,27,34,31,35,24,30,30,27,34,31,35,24,30
