Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,22,37,24,32,29,35,30,22,37,24,32,29,35,30,22,37,24,32,29,35,30,22,37,24,32,29,35,30
1972,31,37,34,42,35,34,36,31,37,34,42,35,34,36,31,37,34,42,35,34,36,31,37,34,42,35,34,36
1973,31,29,32,35,29,34,32,31,29,32,35,29,34,32,31,29,32,35,29,34,32,31,29,32,35,29,34,32
1974,30,36,26,39,32,33,33,30,36,26,39,32,33,33,30,36,26,39,32,33,33,30,36,26,39,32,33,33
1975,28,31,35,36,32,37,33,28,31,35,36,32,37,33,28,31,35,36,32,37,33,28,31,35,36,32,37,33
1976,43,24,40,36,32,32,35,43,24,40,36,32,32,35,43,24,40,36,32,32,35,43,24,40,36,32,32,35
1977,46,30,39,34,35,31,36,46,30,39,34,35,31,36,46,30,39,34,35,31,36,46,30,39,34,35,31,36
1978,37,36,36,37,30,33,35,37,36,36,37,30,33,35,37,36,36,37,30,33,35,37,36,36,37,30,33,35
1979,33,38,35,25,39,40,35,33,38,35,25,39,40,35,33,38,35,25,39,40,35,33,38,35,25,39,40,35
1980,42,28,34,34,39,27,34,42,28,34,34,39,27,34,42,28,34,34,39,27,34,42,28,34,34,39,27,34
1981,33,22,35,30,40,24,31,33,22,35,30,40,24,31,33,22,35,30,40,24,31,33,22,35,30,40,24,31
1982,31,36,29,35,24,44,33,31,36,29,35,24,44,33,31,36,29,35,24,44,33,31,36,29,35,24,44,33
1983,27,32,37,36,48,33,36,27,32,37,36,48,33,36,27,32,37,36,48,33,36,27,32,37,36,48,33,36
1984,29,37,38,34,34,38,35,29,37,38,34,34,38,35,29,37,38,34,34,38,35,29,37,38,34,34,38,35
1985,29,42,27,33,28,34,32,29,42,27,33,28,34,32,29,42,27,33,28,34,32,29,42,27,33,28,34,32
1986,29,31,24,21,31,42,30,29,31,24,21,31,42,30,29,31,24,21,31,42,30,29,31,24,21,31,42,30
1987,34,36,28,31,34,32,33,34,36,28,31,34,32,33,34,36,28,31,34,32,33,34,36,28,31,34,32,33
1988,31,27,42,35,30,37,34,31,27,42,35,30,37,34,31,27,42,35,30,37,34,31,27,42,35,30,37,34
1989,41,34,33,32,29,30,33,41,34,33,32,29,30,33,41,34,33,32,29,30,33,41,34,33,32,29,30,33
1990,36,33,21,32,38,33,32,36,33,21,32,38,33,32,36,33,21,32,38,33,32,36,33,21,32,38,33,32
1991,38,32,30,36,26,37,33,38,32,30,36,26,37,33,38,32,30,36,26,37,33,38,32,30,36,26,37,33
1992,27,36,32,31,22,34,30,27,36,32,31,22,34,30,27,36,32,31,22,34,30,27,36,32,31,22,34,30
1993,35,30,31,34,35,36,34,35,30,31,34,35,36,34,35,30,31,34,35,36,34,35,30,31,34,35,36,34
1994,27,40,42,39,43,32,37,27,40,42,39,43,32,37,27,40,42,39,43,32,37,27,40,42,39,43,32,37
1995,32,35,25,25,24,32,29,32,35,25,25,24,32,29,32,35,25,25,24,32,29,32,35,25,25,24,32,29
1996,32,32,30,30,42,32,33,32,32,30,30,42,32,33,32,32,30,30,42,32,33,32,32,30,30,42,32,33
1997,28,32,32,33,30,35,32,28,32,32,33,30,35,32,28,32,32,33,30,35,32,28,32,32,33,30,35,32
1998,28,37,28,35,33,21,30,28,37,28,35,33,21,30,28,37,28,35,33,21,30,28,37,28,35,33,21,30
1999,38,37,36,31,24,41,35,38,37,36,31,24,41,35,38,37,36,31,24,41,35,38,37,36,31,24,41,35
2000,34,38,40,38,32,29,35,34,38,40,38,32,29,35,34,38,40,38,32,29,35,34,38,40,38,32,29,35
2001,42,24,32,39,32,30,33,42,24,32,39,32,30,33,42,24,32,39,32,30,33,42,24,32,39,32,30,33
2002,32,34,35,30,33,33,33,32,34,35,30,33,33,33,32,34,35,30,33,33,33,32,34,35,30,33,33,33
2003,37,39,25,40,35,28,34,37,39,25,40,35,28,34,37,39,25,40,35,28,34,37,39,25,40,35,28,34
2004,35,35,38,36,31,26,34,35,35,38,36,31,26,34,35,35,38,36,31,26,34,35,35,38,36,31,26,34
2005,34,25,35,36,38,30,33,34,25,35,36,38,30,33,34,25,35,36,38,30,33,34,25,35,36,38,30,33
2006,29,31,29,31,41,27,31,28,34,31,29,32,36,32,40,32,30,25,33,30,32,26,28,33,41,40,29,33
2007,32,40,33,44,42,29,37,38,38,32,32,35,26,34,35,32,34,36,24,21,30,39,41,28,25,37,37,35
2008,33,30,38,47,45,36,38,33,28,37,32,35,27,32,24,28,37,44,42,25,33,26,32,38,36,35,35,34
2009,36,32,34,29,31,40,34,36,31,46,34,37,34,36,39,35,29,36,36,30,34,37,35,33,34,39,32,35
2010,33,28,39,38,32,43,36,38,32,32,38,36,32,35,36,34,33,42,27,38,35,38,27,32,34,40,30,34
2011,28,32,34,42,36,31,34,32,29,33,34,29,36,32,38,35,27,32,39,37,35,28,33,30,27,34,32,31
2012,34,29,33,27,30,36,32,39,34,35,39,43,31,37,33,24,37,28,28,32,30,39,35,33,36,31,29,34
2013,40,29,29,31,33,26,31,29,33,32,33,35,35,33,37,35,36,37,37,31,36,34,31,36,30,32,31,32
2014,28,33,32,35,41,28,33,36,33,38,29,35,31,34,29,32,24,33,35,35,31,24,38,36,32,33,18,30
2015,26,33,38,33,32,30,32,33,37,27,44,31,35,35,36,31,33,45,33,36,36,40,27,33,29,27,34,32
2016,38,33,29,41,37,31,35,34,34,28,37,43,33,35,27,33,31,26,28,39,31,30,39,41,33,32,37,35
2017,38,29,38,40,30,33,35,32,41,32,38,33,39,36,38,35,8,30,37,32,30,28,41,31,44,36,31,35
2018,33,28,35,31,38,23,31,33,48,32,38,29,38,36,30,34,30,41,29,29,32,34,44,41,40,36,38,39
2019,30,31,31,26,34,18,28,23,31,35,35,28,26,30,30,37,22,28,28,38,31,32,35,44,39,25,31,34
2020,36,32,39,37,37,36,36,37,30,31,34,33,31,33,25,33,23,37,28,29,29,24,22,33,35,32,32,30
2021,33,29,33,28,34,37,32,27,27,26,31,30,32,29,37,28,26,40,31,36,33,27,33,35,31,36,31,32
2022,39,31,28,33,38,36,34,34,40,37,33,29,35,35,40,33,26,38,29,40,34,38,28,31,26,28,31,30
2023,35,28,36,35,31,31,33,35,29,38,34,47,25,35,38,37,26,30,33,36,33,29,39,32,39,27,27,32
2024,28,38,46,33,29,38,35,29,30,31,32,33,27,30,31,28,22,30,28,35,29,35,32,23,32,37,34,32
2025,32,26,34,34,26,35,31,40,33,25,39,33,31,34,43,29,37,33,31,27,33,28,32,36,32,41,34,34
2026,32,33,34,42,37,39,36,28,36,29,38,38,31,33,27,37,25,26,33,42,32,39,33,40,35,40,34,37
2027,27,29,37,31,41,29,32,31,35,39,38,34,34,35,28,24,24,29,39,40,31,19,39,30,29,42,28,31
2028,40,26,37,39,34,33,35,23,37,38,29,33,31,32,41,39,21,37,35,33,34,24,33,30,29,36,25,30
2029,30,26,30,29,43,30,31,32,32,26,26,51,40,35,36,29,25,39,27,33,32,38,28,21,32,34,36,32
2030,31,36,37,34,34,32,34,31,37,32,32,40,33,34,29,36,24,35,40,33,33,37,40,35,41,37,32,37
2031,31,31,32,35,39,35,34,40,39,40,31,41,38,38,38,33,20,31,37,25,31,27,28,34,31,45,37,34
2032,34,32,33,44,40,33,36,35,38,39,38,36,34,37,37,34,24,33,28,36,32,35,36,43,27,36,36,36
2033,32,37,37,37,29,36,35,28,30,39,34,31,33,33,31,31,24,38,29,32,31,35,32,40,36,28,25,33
2034,35,30,37,35,26,24,31,37,41,38,34,38,27,36,35,21,27,32,28,29,29,39,38,31,38,34,37,36
2035,32,39,31,41,33,26,34,34,29,36,34,34,36,34,29,40,20,34,37,35,33,30,34,29,34,41,36,34
2036,29,27,36,39,38,38,35,33,27,35,39,35,38,35,27,28,25,38,40,33,32,29,36,45,26,33,28,33
2037,32,41,40,35,32,30,35,34,38,33,34,30,29,33,39,29,25,37,34,42,34,23,29,32,35,42,30,32
2038,32,37,36,33,34,41,36,29,30,27,32,35,31,31,39,34,25,27,28,36,32,29,36,26,35,39,30,33
2039,29,37,31,32,36,26,32,30,36,39,28,37,29,33,33,32,24,30,36,32,31,38,31,36,39,35,27,34
2040,35,32,38,36,26,36,34,36,35,34,37,41,30,36,32,35,20,32,43,38,33,33,31,40,38,37,33,35
2041,40,38,30,31,35,31,34,34,31,33,30,44,39,35,35,27,23,35,33,35,31,37,31,29,39,32,28,33
2042,34,31,34,40,38,38,36,39,28,33,35,39,37,35,28,33,28,36,37,29,32,38,35,31,34,36,36,35
2043,37,34,41,40,33,43,38,29,33,27,31,31,28,30,34,32,24,35,40,29,32,32,41,32,36,39,33,36
2044,31,35,30,33,35,49,36,36,36,24,32,37,27,32,33,38,27,41,20,28,31,29,35,30,38,34,32,33
2045,33,35,30,35,34,29,33,27,31,44,33,35,37,35,28,42,26,33,25,33,31,33,38,42,33,37,34,36
2046,29,35,44,32,35,28,34,27,34,35,38,32,22,31,34,36,27,33,22,30,30,34,26,37,32,33,33,33
2047,34,36,38,32,37,38,36,32,37,31,37,36,31,34,35,28,33,35,33,30,32,24,33,25,37,37,30,31
2048,26,38,28,39,37,46,36,32,36,35,38,27,32,33,32,41,27,33,32,30,33,31,31,34,29,29,34,31
2049,30,32,30,39,26,36,32,39,35,31,37,37,32,35,34,35,22,37,38,30,33,36,28,39,31,33,35,34
2050,35,31,27,34,28,32,31,36,37,33,41,31,43,37,42,39,28,38,31,33,35,33,34,45,28,32,42,36
2051,26,30,29,32,34,33,31,31,31,29,23,39,45,33,28,36,22,26,27,30,28,31,28,30,38,29,33,32
2052,42,39,30,36,38,25,35,26,33,34,41,36,30,33,26,37,25,37,34,30,32,28,30,42,35,42,32,35
2053,30,38,35,31,34,34,34,27,35,40,40,30,26,33,29,37,20,38,34,34,32,32,38,35,30,31,36,34
2054,29,33,31,35,36,33,33,35,38,33,34,31,27,33,39,38,31,35,35,35,36,39,32,40,34,34,42,37
2055,24,47,31,34,25,35,33,40,36,44,39,30,31,37,32,31,19,41,43,32,33,34,30,29,37,40,37,35
2056,35,37,32,37,27,33,34,41,32,35,28,27,29,32,31,32,27,30,37,33,32,26,42,27,31,31,27,31
2057,21,42,27,33,31,25,30,41,34,34,32,40,22,34,36,37,20,25,35,25,30,34,36,32,41,31,34,35
2058,30,39,38,44,33,31,36,27,40,32,31,30,33,32,33,45,22,35,44,35,36,30,37,34,34,35,29,33
2059,33,29,32,34,36,39,34,34,24,36,27,29,34,31,39,37,25,31,42,31,34,26,39,28,32,32,30,31
2060,36,27,43,34,36,26,34,40,35,38,40,41,31,38,34,30,32,30,36,27,32,39,34,28,34,27,37,33
