Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,30,37,24,35,30,39,33,30,37,24,35,30,39,33,30,37,24,35,30,39,33,30,37,24,35,30,39,33
1973,30,35,37,27,27,38,32,30,35,37,27,27,38,32,30,35,37,27,27,38,32,30,35,37,27,27,38,32
1974,34,40,33,33,30,25,33,34,40,33,33,30,25,33,34,40,33,33,30,25,33,34,40,33,33,30,25,33
1975,33,52,38,49,42,39,42,33,52,38,49,42,39,42,33,52,38,49,42,39,42,33,52,38,49,42,39,42
1976,34,37,40,37,35,26,35,34,37,40,37,35,26,35,34,37,40,37,35,26,35,34,37,40,37,35,26,35
1977,32,46,32,41,32,36,37,32,46,32,41,32,36,37,32,46,32,41,32,36,37,32,46,32,41,32,36,37
1978,34,40,29,32,36,41,35,34,40,29,32,36,41,35,34,40,29,32,36,41,35,34,40,29,32,36,41,35
1979,33,33,25,33,36,34,32,33,33,25,33,36,34,32,33,33,25,33,36,34,32,33,33,25,33,36,34,32
1980,30,35,34,38,37,33,35,30,35,34,38,37,33,35,30,35,34,38,37,33,35,30,35,34,38,37,33,35
1981,36,37,36,35,34,28,34,36,37,36,35,34,28,34,36,37,36,35,34,28,34,36,37,36,35,34,28,34
1982,40,38,33,32,26,25,32,40,38,33,32,26,25,32,40,38,33,32,26,25,32,40,38,33,32,26,25,32
1983,46,32,41,36,35,40,38,46,32,41,36,35,40,38,46,32,41,36,35,40,38,46,32,41,36,35,40,38
1984,33,29,29,32,38,45,34,33,29,29,32,38,45,34,33,29,29,32,38,45,34,33,29,29,32,38,45,34
1985,32,42,46,34,34,29,36,32,42,46,34,34,29,36,32,42,46,34,34,29,36,32,42,46,34,34,29,36
1986,36,37,34,35,31,31,34,36,37,34,35,31,31,34,36,37,34,35,31,31,34,36,37,34,35,31,31,34
1987,37,32,29,23,40,45,34,37,32,29,23,40,45,34,37,32,29,23,40,45,34,37,32,29,23,40,45,34
1988,34,37,36,25,34,38,34,34,37,36,25,34,38,34,34,37,36,25,34,38,34,34,37,36,25,34,38,34
1989,31,44,40,29,39,35,36,31,44,40,29,39,35,36,31,44,40,29,39,35,36,31,44,40,29,39,35,36
1990,32,39,39,40,34,30,36,32,39,39,40,34,30,36,32,39,39,40,34,30,36,32,39,39,40,34,30,36
1991,26,36,36,38,36,32,34,26,36,36,38,36,32,34,26,36,36,38,36,32,34,26,36,36,38,36,32,34
1992,47,32,40,33,30,36,36,47,32,40,33,30,36,36,47,32,40,33,30,36,36,47,32,40,33,30,36,36
1993,29,38,48,32,32,34,36,29,38,48,32,32,34,36,29,38,48,32,32,34,36,29,38,48,32,32,34,36
1994,39,29,35,27,34,24,31,39,29,35,27,34,24,31,39,29,35,27,34,24,31,39,29,35,27,34,24,31
1995,33,27,37,34,43,40,36,33,27,37,34,43,40,36,33,27,37,34,43,40,36,33,27,37,34,43,40,36
1996,35,25,43,36,25,31,33,35,25,43,36,25,31,33,35,25,43,36,25,31,33,35,25,43,36,25,31,33
1997,26,35,36,32,39,43,35,26,35,36,32,39,43,35,26,35,36,32,39,43,35,26,35,36,32,39,43,35
1998,31,36,19,33,35,33,31,31,36,19,33,35,33,31,31,36,19,33,35,33,31,31,36,19,33,35,33,31
1999,30,32,28,31,35,28,31,30,32,28,31,35,28,31,30,32,28,31,35,28,31,30,32,28,31,35,28,31
2000,30,30,31,29,29,28,30,30,30,31,29,29,28,30,30,30,31,29,29,28,30,30,30,31,29,29,28,30
2001,34,32,32,44,40,32,36,34,32,32,44,40,32,36,34,32,32,44,40,32,36,34,32,32,44,40,32,36
2002,40,44,41,32,34,27,36,40,44,41,32,34,27,36,40,44,41,32,34,27,36,40,44,41,32,34,27,36
2003,38,40,31,31,43,29,35,38,40,31,31,43,29,35,38,40,31,31,43,29,35,38,40,31,31,43,29,35
2004,32,43,31,33,39,39,36,32,43,31,33,39,39,36,32,43,31,33,39,39,36,32,43,31,33,39,39,36
2005,35,34,36,37,28,30,33,35,34,36,37,28,30,33,35,34,36,37,28,30,33,35,34,36,37,28,30,33
2006,35,31,30,35,31,32,32,27,34,31,30,27,34,31,33,35,38,31,32,32,34,37,33,38,31,37,34,35
2007,23,39,40,26,34,33,33,34,38,27,32,31,29,32,29,33,28,36,41,35,34,30,38,34,38,32,31,34
2008,26,48,29,36,35,27,34,34,46,29,30,35,28,34,30,36,39,31,37,31,34,36,36,33,42,29,31,35
2009,36,31,30,33,35,24,32,40,27,41,37,30,37,35,39,35,40,28,33,30,34,34,26,27,36,35,36,32
2010,31,39,32,29,34,37,34,35,30,28,37,33,29,32,41,42,32,42,30,25,35,40,35,33,26,39,34,35
2011,32,36,44,30,31,32,34,41,31,39,36,35,33,36,39,32,32,44,36,31,36,26,35,28,42,37,35,34
2012,49,36,31,25,38,33,35,42,31,23,34,38,40,35,35,37,36,36,45,24,36,28,30,35,27,41,37,33
