Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,30,27,29,20,23,29,26,30,27,29,20,23,29,26,30,27,29,20,23,29,26,30,27,29,20,23,29,26
1972,22,32,21,28,25,28,26,22,32,21,28,25,28,26,22,32,21,28,25,28,26,22,32,21,28,25,28,26
1973,22,22,25,23,26,22,23,22,22,25,23,26,22,23,22,22,25,23,26,22,23,22,22,25,23,26,22,23
1974,14,20,20,21,33,31,23,14,20,20,21,33,31,23,14,20,20,21,33,31,23,14,20,20,21,33,31,23
1975,22,33,23,22,22,21,24,22,33,23,22,22,21,24,22,33,23,22,22,21,24,22,33,23,22,22,21,24
1976,23,23,24,17,26,22,23,23,23,24,17,26,22,23,23,23,24,17,26,22,23,23,23,24,17,26,22,23
1977,21,25,34,30,18,29,26,21,25,34,30,18,29,26,21,25,34,30,18,29,26,21,25,34,30,18,29,26
1978,20,22,27,28,23,17,23,20,22,27,28,23,17,23,20,22,27,28,23,17,23,20,22,27,28,23,17,23
1979,29,31,22,29,25,24,27,29,31,22,29,25,24,27,29,31,22,29,25,24,27,29,31,22,29,25,24,27
1980,27,17,29,26,25,28,25,27,17,29,26,25,28,25,27,17,29,26,25,28,25,27,17,29,26,25,28,25
1981,35,15,28,28,24,21,25,35,15,28,28,24,21,25,35,15,28,28,24,21,25,35,15,28,28,24,21,25
1982,27,21,25,17,25,26,24,27,21,25,17,25,26,24,27,21,25,17,25,26,24,27,21,25,17,25,26,24
1983,15,31,24,24,15,27,23,15,31,24,24,15,27,23,15,31,24,24,15,27,23,15,31,24,24,15,27,23
1984,26,19,27,31,25,18,24,26,19,27,31,25,18,24,26,19,27,31,25,18,24,26,19,27,31,25,18,24
1985,21,26,25,20,25,33,25,21,26,25,20,25,33,25,21,26,25,20,25,33,25,21,26,25,20,25,33,25
1986,27,21,14,27,27,25,24,27,21,14,27,27,25,24,27,21,14,27,27,25,24,27,21,14,27,27,25,24
1987,22,27,26,28,29,15,25,22,27,26,28,29,15,25,22,27,26,28,29,15,25,22,27,26,28,29,15,25
1988,26,26,23,23,19,29,24,26,26,23,23,19,29,24,26,26,23,23,19,29,24,26,26,23,23,19,29,24
1989,30,12,20,32,21,26,24,30,12,20,32,21,26,24,30,12,20,32,21,26,24,30,12,20,32,21,26,24
1990,27,28,28,21,20,29,26,27,28,28,21,20,29,26,27,28,28,21,20,29,26,27,28,28,21,20,29,26
1991,22,39,24,25,22,29,27,22,39,24,25,22,29,27,22,39,24,25,22,29,27,22,39,24,25,22,29,27
1992,26,25,26,25,21,34,26,26,25,26,25,21,34,26,26,25,26,25,21,34,26,26,25,26,25,21,34,26
1993,24,25,35,31,25,21,27,24,25,35,31,25,21,27,24,25,35,31,25,21,27,24,25,35,31,25,21,27
1994,29,18,32,26,31,20,26,29,18,32,26,31,20,26,29,18,32,26,31,20,26,29,18,32,26,31,20,26
1995,23,29,27,24,23,27,26,23,29,27,24,23,27,26,23,29,27,24,23,27,26,23,29,27,24,23,27,26
1996,27,18,29,22,24,29,25,27,18,29,22,24,29,25,27,18,29,22,24,29,25,27,18,29,22,24,29,25
1997,27,16,26,29,20,28,24,27,16,26,29,20,28,24,27,16,26,29,20,28,24,27,16,26,29,20,28,24
1998,29,26,18,22,19,24,23,29,26,18,22,19,24,23,29,26,18,22,19,24,23,29,26,18,22,19,24,23
1999,21,25,33,26,15,22,24,21,25,33,26,15,22,24,21,25,33,26,15,22,24,21,25,33,26,15,22,24
2000,23,21,29,20,22,21,23,23,21,29,20,22,21,23,23,21,29,20,22,21,23,23,21,29,20,22,21,23
2001,21,28,20,20,26,24,23,21,28,20,20,26,24,23,21,28,20,20,26,24,23,21,28,20,20,26,24,23
2002,27,18,25,25,30,31,26,27,18,25,25,30,31,26,27,18,25,25,30,31,26,27,18,25,25,30,31,26
2003,26,33,35,31,27,22,29,26,33,35,31,27,22,29,26,33,35,31,27,22,29,26,33,35,31,27,22,29
2004,24,17,22,27,26,29,24,24,17,22,27,26,29,24,24,17,22,27,26,29,24,24,17,22,27,26,29,24
2005,20,26,22,25,30,28,25,20,26,22,25,30,28,25,20,26,22,25,30,28,25,20,26,22,25,30,28,25
2006,23,20,15,22,30,27,23,30,24,26,19,24,30,26,30,26,19,26,21,23,24,25,27,23,30,17,27,25
2007,24,25,25,17,30,25,24,22,21,26,28,31,16,24,22,24,20,36,27,30,27,29,22,27,24,25,20,25
2008,23,35,25,21,20,24,25,26,22,28,21,25,22,24,24,32,23,29,28,22,26,21,19,19,19,27,16,20
2009,18,31,20,18,22,32,24,27,24,24,17,30,24,24,27,27,17,24,18,28,24,20,22,28,21,24,28,24
2010,24,26,29,21,23,26,25,19,31,25,31,28,21,26,24,31,28,23,29,14,25,13,32,18,32,23,26,24
2011,29,19,26,29,24,32,27,28,15,25,33,24,24,25,19,30,31,21,20,21,24,32,25,25,30,25,26,27
2012,16,23,30,31,29,22,25,26,22,23,23,34,29,26,21,17,33,33,22,21,25,25,30,12,28,29,30,26
2013,25,25,29,30,23,22,26,24,30,20,28,27,26,26,21,26,13,24,22,24,22,15,27,28,24,40,16,25
2014,27,25,25,27,26,22,25,26,33,27,29,20,36,29,21,30,26,25,29,21,25,24,25,26,26,24,21,24
2015,24,29,23,29,29,32,28,23,31,23,22,32,32,27,23,18,38,28,29,19,26,24,26,25,27,21,25,25
2016,28,27,23,26,32,18,26,36,15,19,30,26,19,24,28,32,20,24,26,23,26,24,27,23,36,24,23,26
2017,24,29,24,29,38,23,28,31,33,32,20,25,21,27,22,29,12,27,29,13,22,24,25,32,22,24,27,26
2018,12,23,21,28,21,16,20,32,30,23,22,23,14,24,15,30,31,18,21,31,24,20,21,17,21,25,22,21
2019,19,30,27,21,30,25,25,20,18,27,29,23,16,22,29,25,24,28,30,27,27,26,24,19,25,21,28,24
2020,33,28,21,27,23,33,28,28,35,23,24,23,20,26,26,23,31,31,23,18,25,26,18,32,22,19,28,24
2021,24,33,18,30,29,34,28,28,18,19,22,29,32,25,24,23,29,28,25,16,24,30,31,16,22,30,24,26
2022,28,18,23,22,29,24,24,25,20,21,23,24,26,23,27,30,40,23,32,28,30,29,24,24,41,28,30,29
2023,33,21,25,29,21,26,26,23,25,25,24,23,26,24,18,19,26,18,16,20,20,24,21,24,28,25,26,25
2024,29,25,27,28,20,25,26,26,30,23,20,21,28,25,19,31,31,21,34,20,26,21,30,30,24,28,28,27
2025,22,22,23,27,29,32,26,23,23,27,31,21,27,25,23,35,34,23,29,14,26,39,35,25,32,26,29,31
2026,28,21,26,20,29,19,24,30,23,23,32,23,20,25,14,18,21,26,22,32,22,30,24,24,28,23,22,25
2027,20,24,27,32,22,25,25,24,17,32,22,21,36,25,14,28,27,32,29,24,26,29,31,30,21,31,24,28
2028,38,25,34,30,31,32,32,31,22,21,22,33,33,27,25,24,32,26,29,25,27,26,33,27,24,26,25,27
2029,34,34,20,32,16,16,25,25,22,28,20,20,26,24,33,28,30,26,28,18,27,26,24,35,27,23,22,26
2030,19,23,23,17,25,23,22,28,33,37,32,29,20,30,19,28,42,27,29,32,30,19,30,25,31,27,27,27
2031,24,22,24,35,30,20,26,20,29,29,28,41,21,28,32,33,29,22,34,27,30,33,25,26,26,22,27,27
2032,27,23,26,22,30,21,25,23,28,30,13,22,28,24,22,25,39,23,23,32,27,33,27,27,19,29,19,26
2033,23,21,26,33,24,29,26,19,27,29,22,21,23,24,17,26,34,25,25,25,25,24,20,22,33,27,27,26
2034,31,20,26,26,23,21,25,32,21,21,21,22,32,25,25,30,22,30,25,24,26,25,27,24,29,24,25,26
2035,27,22,23,19,35,25,25,27,27,33,20,33,24,27,18,21,25,26,32,25,25,23,27,30,21,28,27,26
2036,23,23,29,29,26,13,24,13,15,23,30,22,22,21,26,27,25,30,26,27,27,24,19,21,36,24,23,25
2037,27,29,25,34,16,30,27,29,24,26,18,39,28,27,21,19,40,17,29,26,25,30,29,28,27,27,25,28
2038,22,31,24,14,24,20,23,27,35,19,27,23,19,25,28,22,34,28,32,21,28,29,29,24,28,27,32,28
2039,24,20,23,26,25,18,23,21,24,32,16,21,18,22,28,27,32,33,28,29,30,24,21,29,28,22,26,25
2040,22,27,29,15,24,31,25,27,30,17,24,28,25,25,25,32,25,23,25,20,25,22,20,30,28,24,17,24
2041,24,27,24,26,23,18,24,27,21,33,18,24,34,26,28,22,35,23,21,28,26,13,17,30,35,27,21,24
2042,24,20,26,28,24,30,25,23,21,28,23,26,26,25,29,18,32,29,29,25,27,20,13,22,30,25,24,22
2043,22,25,28,23,19,35,25,26,22,35,26,34,33,29,21,21,28,31,29,21,25,24,25,21,21,24,26,24
2044,26,25,32,24,35,19,27,27,32,28,29,26,27,28,25,23,26,29,26,20,25,28,31,32,26,22,19,26
2045,23,23,36,34,30,25,29,23,31,30,21,27,32,27,18,29,37,20,23,23,25,22,31,26,29,27,25,27
2046,30,23,29,15,31,31,27,19,25,29,24,26,22,24,20,20,26,22,20,27,23,17,22,28,27,28,26,25
2047,19,30,39,32,32,30,30,22,31,32,27,18,26,26,22,23,31,23,27,26,25,15,18,17,24,22,19,19
2048,25,36,23,30,22,23,27,30,35,24,24,24,26,27,18,21,35,18,25,27,24,27,27,27,30,31,19,27
2049,29,28,31,29,30,29,29,27,28,30,28,29,25,28,24,32,38,20,29,22,28,27,16,33,26,30,25,26
2050,28,26,28,32,25,32,29,29,21,31,24,28,24,26,32,26,39,25,34,20,29,24,20,27,18,33,24,24
2051,24,23,24,30,19,22,24,26,31,35,27,30,26,29,23,27,33,29,22,24,26,32,34,25,30,32,31,31
2052,21,24,30,23,23,32,26,28,22,18,17,26,28,23,25,29,28,35,28,18,27,34,29,19,25,18,26,25
2053,31,21,24,24,21,21,24,33,20,25,27,21,33,27,26,30,32,22,34,20,27,23,19,22,31,29,23,25
2054,16,35,24,25,26,28,26,28,32,25,32,25,28,28,20,22,31,30,23,21,25,27,29,29,28,27,17,26
2055,19,20,26,27,21,26,23,26,25,30,19,25,22,25,29,27,23,26,19,27,25,24,25,24,26,31,23,26
2056,23,25,25,29,17,22,24,27,28,25,23,30,34,28,25,26,33,24,28,16,25,25,29,25,20,31,27,26
2057,29,32,30,27,23,26,28,26,21,27,35,35,29,29,34,26,26,29,21,24,27,26,29,25,27,35,26,28
2058,26,32,25,25,25,26,27,22,24,35,20,26,29,26,26,24,36,24,21,27,26,19,23,26,26,23,29,24
2059,24,24,27,33,35,19,27,26,30,18,25,29,29,26,24,26,29,31,29,21,27,29,26,22,18,31,23,25
2060,29,29,27,34,37,22,30,19,30,26,23,19,22,23,22,28,28,14,25,25,24,19,23,27,19,28,29,24
2061,23,31,27,25,24,28,26,25,36,20,35,21,34,29,28,22,31,28,32,21,27,31,25,25,24,33,32,28
2062,29,35,22,20,29,29,27,25,26,30,35,21,26,27,26,31,29,37,29,24,29,25,26,22,31,19,35,26
2063,20,24,27,23,22,22,23,25,27,30,30,25,21,26,29,24,38,20,27,24,27,34,28,29,25,27,18,27
2064,21,41,19,23,30,23,26,20,35,27,30,33,30,29,22,35,36,32,28,32,31,22,34,26,30,26,32,28
2065,36,22,17,30,26,20,25,32,26,28,27,26,27,28,21,33,27,27,25,19,25,26,25,29,33,25,37,29
2066,28,25,24,22,32,20,25,26,28,29,21,25,25,26,17,26,30,26,33,23,26,20,27,24,29,32,18,25
2067,28,21,25,29,29,21,26,16,26,36,24,23,22,25,20,30,35,35,29,31,30,20,23,30,25,28,27,26
2068,26,33,23,27,24,23,26,28,18,25,29,20,27,25,21,24,20,37,21,28,25,21,29,27,28,22,19,24
2069,23,23,26,27,32,24,26,27,27,21,33,21,32,27,35,26,22,23,25,35,28,29,19,24,26,30,33,27
2070,23,26,36,28,18,33,27,31,27,26,22,28,22,26,15,30,28,24,31,22,25,27,30,28,19,30,23,26
2071,18,20,18,29,34,23,24,24,29,27,21,30,27,26,22,24,29,30,28,29,27,25,24,31,26,32,25,27
2072,23,24,30,18,31,25,25,27,29,19,23,24,21,24,9,26,35,25,30,22,25,24,26,34,27,33,28,29
2073,20,26,23,26,28,24,25,37,24,21,23,28,23,26,22,25,27,24,30,26,26,22,31,33,29,37,23,29
2074,16,19,23,21,33,19,22,20,25,25,33,30,27,27,28,25,26,27,30,29,28,19,30,31,26,20,25,25
2075,25,36,30,28,28,25,29,24,18,27,29,23,22,24,18,19,31,27,31,25,25,30,28,28,30,31,22,28
2076,20,28,32,20,22,29,25,18,33,34,21,26,19,25,27,30,23,28,24,22,26,35,31,29,24,31,21,29
2077,20,25,29,25,30,22,25,18,28,20,26,35,20,25,29,24,37,29,28,29,29,23,29,31,25,30,18,26
2078,24,30,21,22,25,20,24,29,25,35,36,22,29,29,25,23,32,25,19,25,25,22,22,19,27,33,23,24
2079,26,26,32,21,24,23,25,29,23,20,24,28,26,25,27,27,28,26,27,33,28,30,34,30,27,23,19,27
2080,24,18,31,31,28,30,27,25,25,26,26,24,28,26,16,33,40,26,26,30,29,23,29,26,31,29,23,27
2081,41,26,28,27,34,26,30,10,28,26,29,20,22,23,25,26,23,25,29,24,25,24,24,26,23,40,18,26
2082,19,23,23,23,18,17,21,29,24,26,27,34,28,28,25,32,32,31,27,20,28,39,31,18,26,35,27,29
