Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,8,7,5,3,3,6,5,8,7,5,3,3,6,5,8,7,5,3,3,6,5,8,7,5,3,3,6,5
1972,1,0,7,7,4,8,5,1,0,7,7,4,8,5,1,0,7,7,4,8,5,1,0,7,7,4,8,5
1973,11,7,6,5,8,7,7,11,7,6,5,8,7,7,11,7,6,5,8,7,7,11,7,6,5,8,7,7
1974,3,2,6,7,8,1,5,3,2,6,7,8,1,5,3,2,6,7,8,1,5,3,2,6,7,8,1,5
1975,7,5,4,6,3,4,5,7,5,4,6,3,4,5,7,5,4,6,3,4,5,7,5,4,6,3,4,5
1976,10,9,6,5,5,3,6,10,9,6,5,5,3,6,10,9,6,5,5,3,6,10,9,6,5,5,3,6
1977,5,8,3,3,13,3,6,5,8,3,3,13,3,6,5,8,3,3,13,3,6,5,8,3,3,13,3,6
1978,9,5,6,11,1,7,7,9,5,6,11,1,7,7,9,5,6,11,1,7,7,9,5,6,11,1,7,7
1979,0,9,3,3,7,8,5,0,9,3,3,7,8,5,0,9,3,3,7,8,5,0,9,3,3,7,8,5
1980,7,12,6,5,2,7,7,7,12,6,5,2,7,7,7,12,6,5,2,7,7,7,12,6,5,2,7,7
1981,4,7,2,4,11,4,5,4,7,2,4,11,4,5,4,7,2,4,11,4,5,4,7,2,4,11,4,5
1982,3,8,8,8,1,0,5,3,8,8,8,1,0,5,3,8,8,8,1,0,5,3,8,8,8,1,0,5
1983,6,0,5,4,5,13,6,6,0,5,4,5,13,6,6,0,5,4,5,13,6,6,0,5,4,5,13,6
1984,5,3,7,1,5,7,5,5,3,7,1,5,7,5,5,3,7,1,5,7,5,5,3,7,1,5,7,5
1985,7,4,3,4,3,11,5,7,4,3,4,3,11,5,7,4,3,4,3,11,5,7,4,3,4,3,11,5
1986,6,10,6,5,3,8,6,6,10,6,5,3,8,6,6,10,6,5,3,8,6,6,10,6,5,3,8,6
1987,1,2,6,5,2,8,4,1,2,6,5,2,8,4,1,2,6,5,2,8,4,1,2,6,5,2,8,4
1988,3,1,0,5,9,4,4,3,1,0,5,9,4,4,3,1,0,5,9,4,4,3,1,0,5,9,4,4
1989,5,4,4,14,7,6,7,5,4,4,14,7,6,7,5,4,4,14,7,6,7,5,4,4,14,7,6,7
1990,5,12,5,11,6,15,9,5,12,5,11,6,15,9,5,12,5,11,6,15,9,5,12,5,11,6,15,9
1991,3,3,2,12,7,10,6,3,3,2,12,7,10,6,3,3,2,12,7,10,6,3,3,2,12,7,10,6
1992,15,12,3,1,5,0,6,15,12,3,1,5,0,6,15,12,3,1,5,0,6,15,12,3,1,5,0,6
1993,5,5,7,7,3,6,6,5,5,7,7,3,6,6,5,5,7,7,3,6,6,5,5,7,7,3,6,6
1994,1,6,5,8,2,5,5,1,6,5,8,2,5,5,1,6,5,8,2,5,5,1,6,5,8,2,5,5
1995,7,3,3,3,3,4,4,7,3,3,3,3,4,4,7,3,3,3,3,4,4,7,3,3,3,3,4,4
1996,9,3,2,3,9,11,6,9,3,2,3,9,11,6,9,3,2,3,9,11,6,9,3,2,3,9,11,6
1997,17,4,3,5,3,12,7,17,4,3,5,3,12,7,17,4,3,5,3,12,7,17,4,3,5,3,12,7
1998,7,6,1,7,3,6,5,7,6,1,7,3,6,5,7,6,1,7,3,6,5,7,6,1,7,3,6,5
1999,12,3,5,12,4,4,7,12,3,5,12,4,4,7,12,3,5,12,4,4,7,12,3,5,12,4,4,7
2000,7,12,5,2,10,4,7,7,12,5,2,10,4,7,7,12,5,2,10,4,7,7,12,5,2,10,4,7
2001,3,8,2,4,1,3,4,3,8,2,4,1,3,4,3,8,2,4,1,3,4,3,8,2,4,1,3,4
2002,11,11,6,11,0,5,7,11,11,6,11,0,5,7,11,11,6,11,0,5,7,11,11,6,11,0,5,7
2003,8,12,12,8,1,2,7,8,12,12,8,1,2,7,8,12,12,8,1,2,7,8,12,12,8,1,2,7
2004,4,5,19,9,2,8,8,4,5,19,9,2,8,8,4,5,19,9,2,8,8,4,5,19,9,2,8,8
2005,3,6,11,10,2,9,7,3,6,11,10,2,9,7,3,6,11,10,2,9,7,3,6,11,10,2,9,7
2006,13,1,7,9,1,6,6,3,8,3,2,3,8,5,0,4,17,19,9,5,9,11,8,10,5,5,0,7
2007,14,10,9,7,11,3,9,13,2,6,11,7,0,7,16,0,7,6,8,15,9,6,5,4,3,12,11,7
2008,5,9,9,13,2,7,8,3,8,7,5,8,7,6,7,8,5,2,9,3,6,13,11,4,5,5,0,6
2009,9,6,7,2,13,1,6,5,9,12,15,7,6,9,9,2,16,10,4,3,7,10,7,8,7,7,7,8
2010,9,5,13,5,8,2,7,4,5,1,23,3,9,8,11,11,11,5,4,2,7,9,3,8,11,10,6,8
2011,10,8,9,5,0,7,7,4,4,6,9,9,3,6,8,10,5,7,7,14,9,3,0,4,10,10,7,6
2012,14,1,5,11,8,4,7,14,4,14,5,17,9,11,10,8,16,16,9,6,11,2,7,6,2,5,2,4
2013,16,4,7,7,6,8,8,11,8,3,14,7,4,8,15,17,4,2,1,5,7,8,21,13,5,4,10,10
2014,11,14,7,7,6,5,8,12,6,13,2,13,12,10,9,8,7,4,2,14,7,5,6,9,4,5,8,6
2015,8,10,7,11,2,8,8,12,15,4,5,10,7,9,11,19,16,7,6,5,11,11,11,4,18,18,17,13
2016,5,2,9,15,10,6,8,11,4,19,13,14,3,11,21,10,5,9,6,7,10,2,3,5,6,10,13,7
2017,7,7,14,13,5,11,10,8,5,2,4,4,5,5,13,5,8,4,4,8,7,8,5,7,8,11,11,8
2018,12,15,12,10,11,1,10,8,20,15,6,4,2,9,4,7,11,5,10,10,8,4,5,7,6,11,10,7
2019,7,3,7,4,3,6,5,8,4,4,8,15,6,8,5,6,6,14,15,3,8,2,7,4,10,4,6,6
