Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,4,6,4,3,4,1,4,4,6,4,3,4,1,4,4,6,4,3,4,1,4,4,6,4,3,4,1,4
1972,6,2,3,1,4,4,3,6,2,3,1,4,4,3,6,2,3,1,4,4,3,6,2,3,1,4,4,3
1973,6,1,1,3,0,0,2,6,1,1,3,0,0,2,6,1,1,3,0,0,2,6,1,1,3,0,0,2
1974,2,0,0,8,1,0,2,2,0,0,8,1,0,2,2,0,0,8,1,0,2,2,0,0,8,1,0,2
1975,1,4,8,0,0,3,3,1,4,8,0,0,3,3,1,4,8,0,0,3,3,1,4,8,0,0,3,3
1976,4,3,5,1,2,4,3,4,3,5,1,2,4,3,4,3,5,1,2,4,3,4,3,5,1,2,4,3
1977,3,3,2,1,5,1,3,3,3,2,1,5,1,3,3,3,2,1,5,1,3,3,3,2,1,5,1,3
1978,2,4,5,11,1,2,4,2,4,5,11,1,2,4,2,4,5,11,1,2,4,2,4,5,11,1,2,4
1979,1,2,4,1,4,3,3,1,2,4,1,4,3,3,1,2,4,1,4,3,3,1,2,4,1,4,3,3
1980,6,4,2,2,5,2,4,6,4,2,2,5,2,4,6,4,2,2,5,2,4,6,4,2,2,5,2,4
1981,8,2,8,5,2,4,5,8,2,8,5,2,4,5,8,2,8,5,2,4,5,8,2,8,5,2,4,5
1982,3,6,4,2,4,10,5,3,6,4,2,4,10,5,3,6,4,2,4,10,5,3,6,4,2,4,10,5
1983,11,3,6,0,5,2,5,11,3,6,0,5,2,5,11,3,6,0,5,2,5,11,3,6,0,5,2,5
1984,7,6,11,2,3,12,7,7,6,11,2,3,12,7,7,6,11,2,3,12,7,7,6,11,2,3,12,7
1985,3,1,4,6,3,6,4,3,1,4,6,3,6,4,3,1,4,6,3,6,4,3,1,4,6,3,6,4
1986,3,5,3,8,2,3,4,3,5,3,8,2,3,4,3,5,3,8,2,3,4,3,5,3,8,2,3,4
1987,5,1,4,6,2,3,4,5,1,4,6,2,3,4,5,1,4,6,2,3,4,5,1,4,6,2,3,4
1988,4,1,3,1,6,4,3,4,1,3,1,6,4,3,4,1,3,1,6,4,3,4,1,3,1,6,4,3
1989,3,6,0,6,8,8,5,3,6,0,6,8,8,5,3,6,0,6,8,8,5,3,6,0,6,8,8,5
1990,6,4,1,8,7,6,5,6,4,1,8,7,6,5,6,4,1,8,7,6,5,6,4,1,8,7,6,5
1991,6,4,2,4,1,2,3,6,4,2,4,1,2,3,6,4,2,4,1,2,3,6,4,2,4,1,2,3
1992,4,4,5,1,1,2,3,4,4,5,1,1,2,3,4,4,5,1,1,2,3,4,4,5,1,1,2,3
1993,9,2,0,2,11,9,6,9,2,0,2,11,9,6,9,2,0,2,11,9,6,9,2,0,2,11,9,6
1994,1,3,4,2,4,1,3,1,3,4,2,4,1,3,1,3,4,2,4,1,3,1,3,4,2,4,1,3
1995,5,3,3,0,4,2,3,5,3,3,0,4,2,3,5,3,3,0,4,2,3,5,3,3,0,4,2,3
1996,7,4,1,12,2,0,4,7,4,1,12,2,0,4,7,4,1,12,2,0,4,7,4,1,12,2,0,4
1997,13,4,9,0,4,3,6,13,4,9,0,4,3,6,13,4,9,0,4,3,6,13,4,9,0,4,3,6
