Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,15,15,42,26,27,25,25,15,15,42,26,27,25,25,15,15,42,26,27,25,25,15,15,42,26,27,25,25
1973,33,25,24,18,20,23,24,33,25,24,18,20,23,24,33,25,24,18,20,23,24,33,25,24,18,20,23,24
1974,19,27,24,25,24,10,22,19,27,24,25,24,10,22,19,27,24,25,24,10,22,19,27,24,25,24,10,22
1975,26,20,29,38,41,16,28,26,20,29,38,41,16,28,26,20,29,38,41,16,28,26,20,29,38,41,16,28
1976,34,21,29,24,19,27,26,34,21,29,24,19,27,26,34,21,29,24,19,27,26,34,21,29,24,19,27,26
1977,25,33,24,21,24,19,24,25,33,24,21,24,19,24,25,33,24,21,24,19,24,25,33,24,21,24,19,24
1978,32,30,24,28,24,20,26,32,30,24,28,24,20,26,32,30,24,28,24,20,26,32,30,24,28,24,20,26
1979,14,33,20,28,20,34,25,14,33,20,28,20,34,25,14,33,20,28,20,34,25,14,33,20,28,20,34,25
1980,20,18,34,26,32,18,25,20,18,34,26,32,18,25,20,18,34,26,32,18,25,20,18,34,26,32,18,25
1981,22,32,27,26,32,15,26,22,32,27,26,32,15,26,22,32,27,26,32,15,26,22,32,27,26,32,15,26
1982,34,24,16,32,31,12,25,34,24,16,32,31,12,25,34,24,16,32,31,12,25,34,24,16,32,31,12,25
1983,39,13,34,34,24,29,29,39,13,34,34,24,29,29,39,13,34,34,24,29,29,39,13,34,34,24,29,29
1984,24,23,30,17,34,36,27,24,23,30,17,34,36,27,24,23,30,17,34,36,27,24,23,30,17,34,36,27
1985,26,25,32,28,27,17,26,26,25,32,28,27,17,26,26,25,32,28,27,17,26,26,25,32,28,27,17,26
1986,34,29,27,23,31,30,29,34,29,27,23,31,30,29,34,29,27,23,31,30,29,34,29,27,23,31,30,29
1987,18,13,12,23,20,36,20,18,13,12,23,20,36,20,18,13,12,23,20,36,20,18,13,12,23,20,36,20
