Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,37,34,21,20,30,34,29,37,34,21,20,30,34,29,37,34,21,20,30,34,29,37,34,21,20,30,34,29
1972,32,26,29,23,34,27,29,32,26,29,23,34,27,29,32,26,29,23,34,27,29,32,26,29,23,34,27,29
1973,31,28,22,30,16,41,28,31,28,22,30,16,41,28,31,28,22,30,16,41,28,31,28,22,30,16,41,28
1974,27,19,24,25,28,35,26,27,19,24,25,28,35,26,27,19,24,25,28,35,26,27,19,24,25,28,35,26
1975,30,25,25,25,19,38,27,30,25,25,25,19,38,27,30,25,25,25,19,38,27,30,25,25,25,19,38,27
1976,24,30,21,30,18,18,24,24,30,21,30,18,18,24,24,30,21,30,18,18,24,24,30,21,30,18,18,24
1977,28,21,40,31,20,41,30,28,21,40,31,20,41,30,28,21,40,31,20,41,30,28,21,40,31,20,41,30
1978,31,47,31,24,29,19,30,31,47,31,24,29,19,30,31,47,31,24,29,19,30,31,47,31,24,29,19,30
1979,28,26,38,40,22,28,30,28,26,38,40,22,28,30,28,26,38,40,22,28,30,28,26,38,40,22,28,30
1980,24,23,26,32,22,20,25,24,23,26,32,22,20,25,24,23,26,32,22,20,25,24,23,26,32,22,20,25
