Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,26,22,25,25,36,41,29,26,22,25,25,36,41,29,26,22,25,25,36,41,29,26,22,25,25,36,41,29
1972,26,27,19,37,22,26,26,26,27,19,37,22,26,26,26,27,19,37,22,26,26,26,27,19,37,22,26,26
1973,23,16,35,22,33,31,27,23,16,35,22,33,31,27,23,16,35,22,33,31,27,23,16,35,22,33,31,27
1974,30,27,26,22,23,31,27,30,27,26,22,23,31,27,30,27,26,22,23,31,27,30,27,26,22,23,31,27
1975,28,26,20,34,26,34,28,28,26,20,34,26,34,28,28,26,20,34,26,34,28,28,26,20,34,26,34,28
1976,29,23,25,24,27,19,25,29,23,25,24,27,19,25,29,23,25,24,27,19,25,29,23,25,24,27,19,25
1977,33,20,35,30,26,31,29,33,20,35,30,26,31,29,33,20,35,30,26,31,29,33,20,35,30,26,31,29
1978,25,23,22,16,26,24,23,25,23,22,16,26,24,23,25,23,22,16,26,24,23,25,23,22,16,26,24,23
1979,27,40,22,41,32,38,33,27,40,22,41,32,38,33,27,40,22,41,32,38,33,27,40,22,41,32,38,33
1980,25,31,33,28,30,34,30,25,31,33,28,30,34,30,25,31,33,28,30,34,30,25,31,33,28,30,34,30
1981,24,31,21,26,23,31,26,24,31,21,26,23,31,26,24,31,21,26,23,31,26,24,31,21,26,23,31,26
1982,32,30,28,21,25,22,26,32,30,28,21,25,22,26,32,30,28,21,25,22,26,32,30,28,21,25,22,26
1983,21,22,28,24,22,28,24,21,22,28,24,22,28,24,21,22,28,24,22,28,24,21,22,28,24,22,28,24
1984,18,32,20,21,28,19,23,18,32,20,21,28,19,23,18,32,20,21,28,19,23,18,32,20,21,28,19,23
1985,29,25,36,18,25,24,26,29,25,36,18,25,24,26,29,25,36,18,25,24,26,29,25,36,18,25,24,26
1986,19,24,32,23,32,25,26,19,24,32,23,32,25,26,19,24,32,23,32,25,26,19,24,32,23,32,25,26
1987,21,27,24,25,19,19,23,21,27,24,25,19,19,23,21,27,24,25,19,19,23,21,27,24,25,19,19,23
1988,29,29,24,34,20,33,28,29,29,24,34,20,33,28,29,29,24,34,20,33,28,29,29,24,34,20,33,28
1989,30,23,33,32,17,17,25,30,23,33,32,17,17,25,30,23,33,32,17,17,25,30,23,33,32,17,17,25
1990,30,26,24,27,36,23,28,30,26,24,27,36,23,28,30,26,24,27,36,23,28,30,26,24,27,36,23,28
1991,24,28,29,30,31,27,28,24,28,29,30,31,27,28,24,28,29,30,31,27,28,24,28,29,30,31,27,28
1992,23,20,24,39,44,25,29,23,20,24,39,44,25,29,23,20,24,39,44,25,29,23,20,24,39,44,25,29
1993,13,21,40,24,26,16,23,13,21,40,24,26,16,23,13,21,40,24,26,16,23,13,21,40,24,26,16,23
1994,21,29,29,31,26,24,27,21,29,29,31,26,24,27,21,29,29,31,26,24,27,21,29,29,31,26,24,27
1995,20,22,24,35,37,27,28,20,22,24,35,37,27,28,20,22,24,35,37,27,28,20,22,24,35,37,27,28
