Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,35,26,15,30,26,24,26,35,26,15,30,26,24,26,35,26,15,30,26,24,26,35,26,15,30,26,24,26
1973,18,24,23,26,28,23,24,18,24,23,26,28,23,24,18,24,23,26,28,23,24,18,24,23,26,28,23,24
1974,31,27,22,27,29,32,28,31,27,22,27,29,32,28,31,27,22,27,29,32,28,31,27,22,27,29,32,28
1975,30,19,21,17,14,31,22,30,19,21,17,14,31,22,30,19,21,17,14,31,22,30,19,21,17,14,31,22
1976,16,25,21,22,32,19,23,16,25,21,22,32,19,23,16,25,21,22,32,19,23,16,25,21,22,32,19,23
1977,27,20,27,19,32,33,26,27,20,27,19,32,33,26,27,20,27,19,32,33,26,27,20,27,19,32,33,26
1978,16,16,24,25,34,32,25,16,16,24,25,34,32,25,16,16,24,25,34,32,25,16,16,24,25,34,32,25
1979,38,19,21,35,22,22,26,38,19,21,35,22,22,26,38,19,21,35,22,22,26,38,19,21,35,22,22,26
1980,17,31,17,25,25,25,23,17,31,17,25,25,25,23,17,31,17,25,25,25,23,17,31,17,25,25,25,23
1981,35,22,26,26,20,31,27,35,22,26,26,20,31,27,35,22,26,26,20,31,27,35,22,26,26,20,31,27
1982,36,17,35,20,27,32,28,36,17,35,20,27,32,28,36,17,35,20,27,32,28,36,17,35,20,27,32,28
1983,19,34,16,19,25,17,22,19,34,16,19,25,17,22,19,34,16,19,25,17,22,19,34,16,19,25,17,22
1984,28,23,27,37,30,23,28,28,23,27,37,30,23,28,28,23,27,37,30,23,28,28,23,27,37,30,23,28
1985,24,24,17,24,23,23,23,24,24,17,24,23,23,23,24,24,17,24,23,23,23,24,24,17,24,23,23,23
1986,26,25,19,21,22,28,24,26,25,19,21,22,28,24,26,25,19,21,22,28,24,26,25,19,21,22,28,24
1987,29,41,27,17,23,26,27,29,41,27,17,23,26,27,29,41,27,17,23,26,27,29,41,27,17,23,26,27
1988,43,34,29,18,22,18,27,43,34,29,18,22,18,27,43,34,29,18,22,18,27,43,34,29,18,22,18,27
1989,29,17,20,20,23,18,21,29,17,20,20,23,18,21,29,17,20,20,23,18,21,29,17,20,20,23,18,21
1990,12,19,18,23,17,25,19,12,19,18,23,17,25,19,12,19,18,23,17,25,19,12,19,18,23,17,25,19
