Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,21,21,29,28,40,38,30,21,21,29,28,40,38,30,21,21,29,28,40,38,30,21,21,29,28,40,38,30
1972,31,26,31,31,39,29,31,31,26,31,31,39,29,31,31,26,31,31,39,29,31,31,26,31,31,39,29,31
1973,33,25,31,25,29,36,30,33,25,31,25,29,36,30,33,25,31,25,29,36,30,33,25,31,25,29,36,30
1974,40,26,48,37,30,29,35,40,26,48,37,30,29,35,40,26,48,37,30,29,35,40,26,48,37,30,29,35
1975,32,29,29,45,29,21,31,32,29,29,45,29,21,31,32,29,29,45,29,21,31,32,29,29,45,29,21,31
1976,34,35,27,36,43,27,34,34,35,27,36,43,27,34,34,35,27,36,43,27,34,34,35,27,36,43,27,34
1977,36,32,42,40,30,33,36,36,32,42,40,30,33,36,36,32,42,40,30,33,36,36,32,42,40,30,33,36
1978,36,30,31,19,37,30,31,36,30,31,19,37,30,31,36,30,31,19,37,30,31,36,30,31,19,37,30,31
1979,32,32,27,38,31,33,32,32,32,27,38,31,33,32,32,32,27,38,31,33,32,32,32,27,38,31,33,32
1980,25,35,24,20,33,25,27,25,35,24,20,33,25,27,25,35,24,20,33,25,27,25,35,24,20,33,25,27
1981,31,29,31,29,26,24,28,31,29,31,29,26,24,28,31,29,31,29,26,24,28,31,29,31,29,26,24,28
1982,20,34,32,45,25,28,31,20,34,32,45,25,28,31,20,34,32,45,25,28,31,20,34,32,45,25,28,31
1983,25,42,28,39,25,26,31,25,42,28,39,25,26,31,25,42,28,39,25,26,31,25,42,28,39,25,26,31
1984,25,35,36,30,26,38,32,25,35,36,30,26,38,32,25,35,36,30,26,38,32,25,35,36,30,26,38,32
1985,20,22,32,27,24,22,25,20,22,32,27,24,22,25,20,22,32,27,24,22,25,20,22,32,27,24,22,25
1986,33,40,32,21,41,33,33,33,40,32,21,41,33,33,33,40,32,21,41,33,33,33,40,32,21,41,33,33
1987,29,36,31,28,32,35,32,29,36,31,28,32,35,32,29,36,31,28,32,35,32,29,36,31,28,32,35,32
1988,22,33,30,22,31,37,29,22,33,30,22,31,37,29,22,33,30,22,31,37,29,22,33,30,22,31,37,29
1989,21,31,33,28,39,41,32,21,31,33,28,39,41,32,21,31,33,28,39,41,32,21,31,33,28,39,41,32
1990,30,34,35,34,39,28,33,30,34,35,34,39,28,33,30,34,35,34,39,28,33,30,34,35,34,39,28,33
1991,31,31,23,34,31,34,31,31,31,23,34,31,34,31,31,31,23,34,31,34,31,31,31,23,34,31,34,31
1992,33,38,25,31,50,27,34,33,38,25,31,50,27,34,33,38,25,31,50,27,34,33,38,25,31,50,27,34
1993,31,24,41,27,26,25,29,31,24,41,27,26,25,29,31,24,41,27,26,25,29,31,24,41,27,26,25,29
1994,41,52,33,20,39,20,34,41,52,33,20,39,20,34,41,52,33,20,39,20,34,41,52,33,20,39,20,34
1995,33,28,25,28,23,38,29,33,28,25,28,23,38,29,33,28,25,28,23,38,29,33,28,25,28,23,38,29
1996,39,31,42,28,30,39,35,39,31,42,28,30,39,35,39,31,42,28,30,39,35,39,31,42,28,30,39,35
1997,29,30,26,31,38,38,32,29,30,26,31,38,38,32,29,30,26,31,38,38,32,29,30,26,31,38,38,32
1998,27,29,41,40,32,40,35,27,29,41,40,32,40,35,27,29,41,40,32,40,35,27,29,41,40,32,40,35
1999,32,29,32,31,26,33,31,32,29,32,31,26,33,31,32,29,32,31,26,33,31,32,29,32,31,26,33,31
2000,31,33,35,30,22,31,30,31,33,35,30,22,31,30,31,33,35,30,22,31,30,31,33,35,30,22,31,30
2001,31,34,44,33,25,38,34,31,34,44,33,25,38,34,31,34,44,33,25,38,34,31,34,44,33,25,38,34
2002,39,27,31,26,38,23,31,39,27,31,26,38,23,31,39,27,31,26,38,23,31,39,27,31,26,38,23,31
2003,36,33,41,34,26,23,32,36,33,41,34,26,23,32,36,33,41,34,26,23,32,36,33,41,34,26,23,32
2004,24,28,30,20,18,36,26,24,28,30,20,18,36,26,24,28,30,20,18,36,26,24,28,30,20,18,36,26
2005,30,34,24,31,31,40,32,30,34,24,31,31,40,32,30,34,24,31,31,40,32,30,34,24,31,31,40,32
2006,25,28,28,25,25,30,27,32,30,38,30,30,29,32,33,41,25,23,40,33,33,35,30,22,35,37,34,32
2007,22,40,31,28,38,36,33,31,26,25,30,34,22,28,28,36,34,27,23,32,30,31,32,35,30,20,29,30
2008,31,26,28,32,34,32,31,26,38,29,33,32,22,30,35,33,32,23,29,44,33,36,37,34,29,30,25,32
2009,29,23,32,32,23,33,29,32,24,18,31,29,26,27,27,26,25,30,33,28,28,23,34,28,22,37,27,29
2010,27,34,28,35,33,38,33,36,33,27,36,38,33,34,32,26,30,36,30,32,31,36,32,28,39,28,29,32
2011,16,39,43,31,27,25,30,27,31,29,26,31,34,30,24,27,31,29,27,33,29,29,29,26,16,27,26,26
2012,24,31,34,34,23,26,29,32,34,43,37,33,42,37,42,46,33,34,23,33,35,23,30,36,32,27,41,32
2013,22,30,27,28,27,25,27,36,33,40,34,24,17,31,25,30,31,29,47,33,33,38,33,20,40,43,37,35
2014,43,38,39,31,32,28,35,46,28,32,45,36,26,36,31,43,31,28,28,26,31,34,23,22,36,22,33,28
2015,24,26,35,39,31,30,31,40,19,33,39,33,36,33,34,27,33,21,36,29,30,33,29,31,22,25,35,29
2016,21,34,39,30,18,32,29,40,31,36,19,26,35,31,32,32,27,32,21,23,28,40,30,39,35,33,29,34
2017,41,24,25,33,40,32,33,33,28,25,34,34,33,31,35,32,7,32,34,40,30,32,31,43,23,32,29,32
2018,39,27,38,36,29,30,33,33,27,19,38,34,28,30,43,36,25,21,28,35,31,38,33,35,34,29,38,35
2019,32,26,34,33,28,26,30,39,33,36,31,31,30,33,33,35,31,30,32,34,33,19,28,54,32,31,38,34
2020,32,41,30,38,26,19,31,25,25,36,29,27,35,30,31,41,21,32,27,27,30,21,27,33,27,30,32,28
2021,18,28,33,34,35,32,30,29,25,31,27,27,19,26,43,24,26,35,32,20,30,25,29,28,30,22,34,28
2022,33,32,27,34,38,26,32,21,27,28,30,33,32,29,29,33,30,25,34,31,30,26,34,39,43,42,40,37
2023,31,38,25,27,34,26,30,28,37,30,44,24,39,34,34,30,32,26,28,38,31,35,33,24,25,33,24,29
2024,29,36,35,25,30,30,31,40,21,25,38,30,39,32,41,28,28,39,22,36,32,23,32,29,35,21,41,30
2025,24,25,35,36,37,39,33,34,30,36,44,23,48,36,41,28,23,35,32,21,30,33,23,29,33,45,38,34
2026,24,46,38,34,37,36,36,32,31,43,28,37,29,33,32,44,21,22,26,27,29,32,28,29,43,40,32,34
2027,26,43,32,38,35,38,35,39,25,39,31,32,33,33,31,18,26,36,26,24,27,32,34,38,35,22,18,30
2028,34,28,31,28,29,30,30,29,48,31,39,27,32,34,31,36,25,32,22,29,29,37,42,34,37,31,31,35
2029,29,30,37,39,38,48,37,20,13,42,35,23,30,27,27,26,22,33,22,32,27,38,41,25,29,44,37,36
2030,24,32,30,44,37,30,33,27,18,34,32,37,44,32,34,29,27,28,20,24,27,30,21,24,20,34,31,27
2031,33,45,30,35,30,39,35,26,23,29,33,27,29,28,25,29,32,29,33,32,30,23,27,39,30,34,27,30
2032,30,34,37,36,30,25,32,35,42,33,45,31,36,37,27,24,25,34,32,34,29,30,35,31,29,25,15,28
2033,23,24,26,35,37,39,31,36,28,28,30,42,28,32,24,32,38,21,27,33,29,31,30,28,23,19,24,26
2034,35,42,31,31,29,27,33,36,22,29,38,41,31,33,28,37,23,31,25,38,30,32,32,41,23,30,33,32
2035,28,25,25,25,43,37,31,49,36,29,38,28,20,33,32,28,19,42,25,32,30,26,28,34,34,38,36,33
