Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
1972,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
1973,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1974,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1975,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1976,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1977,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0
1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1982,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
1983,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
1984,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1985,0,0,2,2,0,0,1,0,0,2,2,0,0,1,0,0,2,2,0,0,1,0,0,2,2,0,0,1
1986,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
1987,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,0,1,2,0,0,0,1,0,1,2,0,0,0,1,0,1,2,0,0,0,1,0,1,2,0,0,0,1
1990,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0
1991,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1992,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
1993,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
1994,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1995,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1996,1,0,0,2,0,1,1,1,0,0,2,0,1,1,1,0,0,2,0,1,1,1,0,0,2,0,1,1
1997,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1998,0,0,1,3,0,0,1,0,0,1,3,0,0,1,0,0,1,3,0,0,1,0,0,1,3,0,0,1
1999,1,0,0,0,2,0,1,1,0,0,0,2,0,1,1,0,0,0,2,0,1,1,0,0,0,2,0,1
2000,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2002,0,3,1,0,0,0,1,0,3,1,0,0,0,1,0,3,1,0,0,0,1,0,3,1,0,0,0,1
2003,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2004,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0
2005,0,0,4,1,0,0,1,0,0,4,1,0,0,1,0,0,4,1,0,0,1,0,0,4,1,0,0,1
2006,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0
2007,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,1,5,1,1,0,0,1,0,1,1,0,0,0,2,1,1,1,2,0,1,0,0,1,1
2009,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,1,0,1
2010,0,1,1,1,0,0,1,0,3,1,1,0,2,1,1,0,2,0,2,1,1,0,0,2,0,0,0,0
2011,0,0,0,1,0,2,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0,1
2012,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,5,1,0,0,0,1,1,0,0,0,0,0,0
2013,1,0,0,0,0,0,0,0,1,2,0,1,1,1,4,0,2,0,0,1,1,0,0,0,2,0,0,0
2014,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,1,0,1,0,1,0,1,1,2,0,1,1,1,1,0,2,0,1,0,0,1,1,0,0,2,0,0,1
2016,0,0,0,0,1,4,1,1,1,0,1,1,1,1,0,0,1,1,0,2,1,0,0,0,0,0,0,0
2017,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,1
2018,1,2,0,0,0,1,1,1,0,1,0,0,0,0,0,0,4,0,0,3,1,0,0,1,1,0,3,1
2019,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1
2020,0,1,0,0,0,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
2022,2,1,3,0,0,0,1,5,0,0,0,0,0,1,1,2,0,0,0,0,1,1,0,1,0,0,4,1
2023,2,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,3,1,2,0,0,1,1,0,1
2024,1,2,2,0,2,0,1,2,3,0,0,3,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1
2025,2,1,1,0,0,0,1,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,1
2026,1,2,1,2,0,0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,2,0,0,0,2,2,1
2027,4,2,2,0,0,0,1,0,0,1,0,0,2,1,0,0,0,1,0,1,0,4,0,0,2,0,0,1
2028,1,1,0,1,0,0,1,0,0,1,0,2,0,1,1,0,1,1,1,2,1,1,0,2,0,2,0,1
2029,1,2,0,1,1,0,1,1,2,2,2,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2030,1,0,1,0,1,0,1,0,0,1,1,3,0,1,2,0,0,0,0,0,0,1,0,0,2,0,0,1
2031,0,0,3,0,1,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0
2032,0,0,0,0,2,0,0,0,0,0,0,1,1,0,2,1,3,0,0,0,1,0,1,0,0,1,1,1
