Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,7,9,16,8,9,11,10,7,9,16,8,9,11,10,7,9,16,8,9,11,10,7,9,16,8,9,11,10
1973,8,2,12,10,10,12,9,8,2,12,10,10,12,9,8,2,12,10,10,12,9,8,2,12,10,10,12,9
1974,3,10,15,7,13,6,9,3,10,15,7,13,6,9,3,10,15,7,13,6,9,3,10,15,7,13,6,9
1975,2,5,9,10,22,4,9,2,5,9,10,22,4,9,2,5,9,10,22,4,9,2,5,9,10,22,4,9
1976,22,8,15,13,13,14,14,22,8,15,13,13,14,14,22,8,15,13,13,14,14,22,8,15,13,13,14,14
1977,11,12,8,20,2,6,10,11,12,8,20,2,6,10,11,12,8,20,2,6,10,11,12,8,20,2,6,10
1978,18,5,14,14,11,6,11,18,5,14,14,11,6,11,18,5,14,14,11,6,11,18,5,14,14,11,6,11
1979,9,9,11,14,7,15,11,9,9,11,14,7,15,11,9,9,11,14,7,15,11,9,9,11,14,7,15,11
1980,14,12,11,10,21,10,13,14,12,11,10,21,10,13,14,12,11,10,21,10,13,14,12,11,10,21,10,13
1981,11,4,14,9,24,10,12,11,4,14,9,24,10,12,11,4,14,9,24,10,12,11,4,14,9,24,10,12
1982,13,20,8,16,21,12,15,13,20,8,16,21,12,15,13,20,8,16,21,12,15,13,20,8,16,21,12,15
1983,11,3,15,9,9,6,9,11,3,15,9,9,6,9,11,3,15,9,9,6,9,11,3,15,9,9,6,9
1984,22,19,11,9,11,8,13,22,19,11,9,11,8,13,22,19,11,9,11,8,13,22,19,11,9,11,8,13
1985,9,17,6,10,6,20,11,9,17,6,10,6,20,11,9,17,6,10,6,20,11,9,17,6,10,6,20,11
1986,14,9,9,6,21,11,12,14,9,9,6,21,11,12,14,9,9,6,21,11,12,14,9,9,6,21,11,12
1987,7,8,3,22,6,14,10,7,8,3,22,6,14,10,7,8,3,22,6,14,10,7,8,3,22,6,14,10
1988,4,9,10,14,12,13,10,4,9,10,14,12,13,10,4,9,10,14,12,13,10,4,9,10,14,12,13,10
