Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,35,31,21,36,33,30,31,35,31,21,36,33,30,31,35,31,21,36,33,30,31,35,31,21,36,33,30,31
1972,38,29,37,24,39,24,32,38,29,37,24,39,24,32,38,29,37,24,39,24,32,38,29,37,24,39,24,32
1973,31,31,23,35,19,35,29,31,31,23,35,19,35,29,31,31,23,35,19,35,29,31,31,23,35,19,35,29
1974,34,28,30,30,32,39,32,34,28,30,30,32,39,32,34,28,30,30,32,39,32,34,28,30,30,32,39,32
1975,39,44,27,33,26,30,33,39,44,27,33,26,30,33,39,44,27,33,26,30,33,39,44,27,33,26,30,33
1976,30,43,30,46,33,34,36,30,43,30,46,33,34,36,30,43,30,46,33,34,36,30,43,30,46,33,34,36
1977,54,28,34,40,23,41,37,54,28,34,40,23,41,37,54,28,34,40,23,41,37,54,28,34,40,23,41,37
1978,31,34,24,23,34,36,30,31,34,24,23,34,36,30,31,34,24,23,34,36,30,31,34,24,23,34,36,30
1979,44,30,27,41,21,34,33,44,30,27,41,21,34,33,44,30,27,41,21,34,33,44,30,27,41,21,34,33
1980,27,30,31,43,32,31,32,27,30,31,43,32,31,32,27,30,31,43,32,31,32,27,30,31,43,32,31,32
1981,41,30,23,38,33,31,33,41,30,23,38,33,31,33,41,30,23,38,33,31,33,41,30,23,38,33,31,33
1982,28,31,35,36,29,45,34,28,31,35,36,29,45,34,28,31,35,36,29,45,34,28,31,35,36,29,45,34
