Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,44,42,29,38,44,45,40,44,42,29,38,44,45,40,44,42,29,38,44,45,40,44,42,29,38,44,45,40
1972,37,33,32,42,33,35,35,37,33,32,42,33,35,35,37,33,32,42,33,35,35,37,33,32,42,33,35,35
1973,38,34,43,33,36,35,37,38,34,43,33,36,35,37,38,34,43,33,36,35,37,38,34,43,33,36,35,37
1974,42,43,35,28,37,41,38,42,43,35,28,37,41,38,42,43,35,28,37,41,38,42,43,35,28,37,41,38
1975,30,42,37,40,40,44,39,30,42,37,40,40,44,39,30,42,37,40,40,44,39,30,42,37,40,40,44,39
1976,42,41,36,39,45,31,39,42,41,36,39,45,31,39,42,41,36,39,45,31,39,42,41,36,39,45,31,39
1977,42,38,37,37,37,34,38,42,38,37,37,37,34,38,42,38,37,37,37,34,38,42,38,37,37,37,34,38
1978,36,33,38,37,42,37,37,36,33,38,37,42,37,37,36,33,38,37,42,37,37,36,33,38,37,42,37,37
1979,42,41,35,40,48,49,43,42,41,35,40,48,49,43,42,41,35,40,48,49,43,42,41,35,40,48,49,43
1980,42,40,34,38,34,31,37,42,40,34,38,34,31,37,42,40,34,38,34,31,37,42,40,34,38,34,31,37
1981,33,40,39,43,32,41,38,33,40,39,43,32,41,38,33,40,39,43,32,41,38,33,40,39,43,32,41,38
1982,48,39,35,38,32,34,38,48,39,35,38,32,34,38,48,39,35,38,32,34,38,48,39,35,38,32,34,38
1983,31,37,41,40,39,34,37,31,37,41,40,39,34,37,31,37,41,40,39,34,37,31,37,41,40,39,34,37
1984,42,41,31,29,39,31,36,42,41,31,29,39,31,36,42,41,31,29,39,31,36,42,41,31,29,39,31,36
1985,41,51,31,32,30,39,37,41,51,31,32,30,39,37,41,51,31,32,30,39,37,41,51,31,32,30,39,37
1986,29,34,41,29,40,41,36,29,34,41,29,40,41,36,29,34,41,29,40,41,36,29,34,41,29,40,41,36
1987,35,41,35,29,35,36,35,35,41,35,29,35,36,35,35,41,35,29,35,36,35,35,41,35,29,35,36,35
1988,36,40,48,42,31,39,39,36,40,48,42,31,39,39,36,40,48,42,31,39,39,36,40,48,42,31,39,39
1989,38,36,32,43,24,22,33,38,36,32,43,24,22,33,38,36,32,43,24,22,33,38,36,32,43,24,22,33
1990,41,33,39,34,37,28,35,41,33,39,34,37,28,35,41,33,39,34,37,28,35,41,33,39,34,37,28,35
1991,37,36,38,27,29,35,34,37,36,38,27,29,35,34,37,36,38,27,29,35,34,37,36,38,27,29,35,34
1992,36,38,29,45,36,37,37,36,38,29,45,36,37,37,36,38,29,45,36,37,37,36,38,29,45,36,37,37
1993,33,37,46,42,27,40,38,33,37,46,42,27,40,38,33,37,46,42,27,40,38,33,37,46,42,27,40,38
1994,35,41,39,50,35,31,39,35,41,39,50,35,31,39,35,41,39,50,35,31,39,35,41,39,50,35,31,39
1995,33,40,38,30,38,31,35,33,40,38,30,38,31,35,33,40,38,30,38,31,35,33,40,38,30,38,31,35
1996,31,30,41,31,34,29,33,31,30,41,31,34,29,33,31,30,41,31,34,29,33,31,30,41,31,34,29,33
1997,26,33,37,39,44,40,37,26,33,37,39,44,40,37,26,33,37,39,44,40,37,26,33,37,39,44,40,37
1998,39,35,37,36,37,41,38,39,35,37,36,37,41,38,39,35,37,36,37,41,38,39,35,37,36,37,41,38
1999,30,28,40,30,36,41,34,30,28,40,30,36,41,34,30,28,40,30,36,41,34,30,28,40,30,36,41,34
2000,37,38,41,33,35,40,37,37,38,41,33,35,40,37,37,38,41,33,35,40,37,37,38,41,33,35,40,37
2001,35,48,34,53,43,43,43,35,48,34,53,43,43,43,35,48,34,53,43,43,43,35,48,34,53,43,43,43
2002,36,30,37,28,40,38,35,36,30,37,28,40,38,35,36,30,37,28,40,38,35,36,30,37,28,40,38,35
2003,40,33,28,34,41,42,36,40,33,28,34,41,42,36,40,33,28,34,41,42,36,40,33,28,34,41,42,36
2004,35,45,38,42,35,29,37,35,45,38,42,35,29,37,35,45,38,42,35,29,37,35,45,38,42,35,29,37
2005,44,44,32,34,37,35,38,44,44,32,34,37,35,38,44,44,32,34,37,35,38,44,44,32,34,37,35,38
2006,34,28,48,41,33,32,36,37,37,43,41,30,32,37,48,36,31,40,39,31,38,36,30,45,33,41,44,38
2007,34,40,41,45,37,40,40,36,36,38,40,43,35,38,39,41,38,31,40,34,37,42,37,33,45,39,43,40
2008,36,38,42,41,40,36,39,33,29,37,30,38,28,33,39,34,41,36,46,37,39,33,47,40,51,43,46,43
