Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,35,37,27,32,32,26,32,35,37,27,32,32,26,32,35,37,27,32,32,26,32,35,37,27,32,32,26,32
1973,25,26,20,29,29,28,26,25,26,20,29,29,28,26,25,26,20,29,29,28,26,25,26,20,29,29,28,26
1974,34,35,25,39,35,39,35,34,35,25,39,35,39,35,34,35,25,39,35,39,35,34,35,25,39,35,39,35
1975,37,49,34,33,25,44,37,37,49,34,33,25,44,37,37,49,34,33,25,44,37,37,49,34,33,25,44,37
1976,23,34,28,29,35,21,28,23,34,28,29,35,21,28,23,34,28,29,35,21,28,23,34,28,29,35,21,28
1977,42,41,33,23,39,32,35,42,41,33,23,39,32,35,42,41,33,23,39,32,35,42,41,33,23,39,32,35
1978,31,33,28,35,43,42,35,31,33,28,35,43,42,35,31,33,28,35,43,42,35,31,33,28,35,43,42,35
1979,35,23,40,28,45,25,33,35,23,40,28,45,25,33,35,23,40,28,45,25,33,35,23,40,28,45,25,33
1980,23,35,24,30,30,30,29,23,35,24,30,30,30,29,23,35,24,30,30,30,29,23,35,24,30,30,30,29
1981,32,29,33,35,30,26,31,32,29,33,35,30,26,31,32,29,33,35,30,26,31,32,29,33,35,30,26,31
1982,36,33,35,23,27,39,32,36,33,35,23,27,39,32,36,33,35,23,27,39,32,36,33,35,23,27,39,32
