Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,34,32,34,31,36,40,35,34,32,34,31,36,40,35,34,32,34,31,36,40,35,34,32,34,31,36,40,35
1972,31,43,37,37,32,33,36,31,43,37,37,32,33,36,31,43,37,37,32,33,36,31,43,37,37,32,33,36
1973,33,34,36,27,28,41,33,33,34,36,27,28,41,33,33,34,36,27,28,41,33,33,34,36,27,28,41,33
1974,31,34,24,36,32,21,30,31,34,24,36,32,21,30,31,34,24,36,32,21,30,31,34,24,36,32,21,30
1975,43,40,43,39,39,19,37,43,40,43,39,39,19,37,43,40,43,39,39,19,37,43,40,43,39,39,19,37
1976,33,36,36,45,41,40,39,33,36,36,45,41,40,39,33,36,36,45,41,40,39,33,36,36,45,41,40,39
1977,31,30,18,34,26,30,28,31,30,18,34,26,30,28,31,30,18,34,26,30,28,31,30,18,34,26,30,28
1978,47,28,28,35,32,34,34,47,28,28,35,32,34,34,47,28,28,35,32,34,34,47,28,28,35,32,34,34
1979,35,24,21,35,28,35,30,35,24,21,35,28,35,30,35,24,21,35,28,35,30,35,24,21,35,28,35,30
1980,34,29,45,34,40,31,36,34,29,45,34,40,31,36,34,29,45,34,40,31,36,34,29,45,34,40,31,36
1981,31,25,40,35,38,29,33,31,25,40,35,38,29,33,31,25,40,35,38,29,33,31,25,40,35,38,29,33
1982,42,34,32,30,38,30,34,42,34,32,30,38,30,34,42,34,32,30,38,30,34,42,34,32,30,38,30,34
1983,23,34,28,37,34,35,32,23,34,28,37,34,35,32,23,34,28,37,34,35,32,23,34,28,37,34,35,32
1984,26,39,32,32,32,28,32,26,39,32,32,32,28,32,26,39,32,32,32,28,32,26,39,32,32,32,28,32
1985,33,38,34,32,32,44,36,33,38,34,32,32,44,36,33,38,34,32,32,44,36,33,38,34,32,32,44,36
1986,33,24,26,27,33,29,29,33,24,26,27,33,29,29,33,24,26,27,33,29,29,33,24,26,27,33,29,29
1987,37,28,35,29,38,29,33,37,28,35,29,38,29,33,37,28,35,29,38,29,33,37,28,35,29,38,29,33
1988,27,35,30,31,32,29,31,27,35,30,31,32,29,31,27,35,30,31,32,29,31,27,35,30,31,32,29,31
1989,38,36,35,28,30,36,34,38,36,35,28,30,36,34,38,36,35,28,30,36,34,38,36,35,28,30,36,34
1990,36,34,41,49,35,35,38,36,34,41,49,35,35,38,36,34,41,49,35,35,38,36,34,41,49,35,35,38
1991,18,35,33,37,37,45,34,18,35,33,37,37,45,34,18,35,33,37,37,45,34,18,35,33,37,37,45,34
1992,31,29,37,32,29,33,32,31,29,37,32,29,33,32,31,29,37,32,29,33,32,31,29,37,32,29,33,32
1993,44,38,28,32,29,23,32,44,38,28,32,29,23,32,44,38,28,32,29,23,32,44,38,28,32,29,23,32
1994,34,29,26,34,33,31,31,34,29,26,34,33,31,31,34,29,26,34,33,31,31,34,29,26,34,33,31,31
1995,24,36,33,29,37,37,33,24,36,33,29,37,37,33,24,36,33,29,37,37,33,24,36,33,29,37,37,33
1996,30,30,27,35,37,39,33,30,30,27,35,37,39,33,30,30,27,35,37,39,33,30,30,27,35,37,39,33
1997,29,22,35,40,35,29,32,29,22,35,40,35,29,32,29,22,35,40,35,29,32,29,22,35,40,35,29,32
1998,25,32,23,33,28,32,29,25,32,23,33,28,32,29,25,32,23,33,28,32,29,25,32,23,33,28,32,29
1999,29,29,34,28,30,37,31,29,29,34,28,30,37,31,29,29,34,28,30,37,31,29,29,34,28,30,37,31
