Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,1,3,2,2,3,3,2,1,3,2,2,3,3,2,1,3,2,2,3,3,2,1,3,2,2,3,3,2
1972,0,5,4,2,3,3,3,0,5,4,2,3,3,3,0,5,4,2,3,3,3,0,5,4,2,3,3,3
1973,3,1,0,1,5,2,2,3,1,0,1,5,2,2,3,1,0,1,5,2,2,3,1,0,1,5,2,2
1974,4,5,0,1,1,0,2,4,5,0,1,1,0,2,4,5,0,1,1,0,2,4,5,0,1,1,0,2
1975,3,1,4,1,1,0,2,3,1,4,1,1,0,2,3,1,4,1,1,0,2,3,1,4,1,1,0,2
1976,3,1,3,2,9,3,4,3,1,3,2,9,3,4,3,1,3,2,9,3,4,3,1,3,2,9,3,4
1977,0,1,1,4,1,1,1,0,1,1,4,1,1,1,0,1,1,4,1,1,1,0,1,1,4,1,1,1
1978,0,2,1,1,0,3,1,0,2,1,1,0,3,1,0,2,1,1,0,3,1,0,2,1,1,0,3,1
1979,2,0,1,2,0,3,1,2,0,1,2,0,3,1,2,0,1,2,0,3,1,2,0,1,2,0,3,1
1980,3,2,1,1,2,7,3,3,2,1,1,2,7,3,3,2,1,1,2,7,3,3,2,1,1,2,7,3
1981,0,3,11,1,1,0,3,0,3,11,1,1,0,3,0,3,11,1,1,0,3,0,3,11,1,1,0,3
1982,6,0,0,2,2,1,2,6,0,0,2,2,1,2,6,0,0,2,2,1,2,6,0,0,2,2,1,2
1983,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
1984,5,4,1,2,6,3,4,5,4,1,2,6,3,4,5,4,1,2,6,3,4,5,4,1,2,6,3,4
1985,1,3,1,2,1,4,2,1,3,1,2,1,4,2,1,3,1,2,1,4,2,1,3,1,2,1,4,2
1986,3,1,1,0,3,0,1,3,1,1,0,3,0,1,3,1,1,0,3,0,1,3,1,1,0,3,0,1
1987,6,4,4,1,1,1,3,6,4,4,1,1,1,3,6,4,4,1,1,1,3,6,4,4,1,1,1,3
1988,4,0,1,0,3,0,1,4,0,1,0,3,0,1,4,0,1,0,3,0,1,4,0,1,0,3,0,1
1989,1,0,0,4,1,8,2,1,0,0,4,1,8,2,1,0,0,4,1,8,2,1,0,0,4,1,8,2
1990,0,0,5,0,2,8,3,0,0,5,0,2,8,3,0,0,5,0,2,8,3,0,0,5,0,2,8,3
1991,3,2,2,7,1,2,3,3,2,2,7,1,2,3,3,2,2,7,1,2,3,3,2,2,7,1,2,3
1992,0,2,1,0,3,1,1,0,2,1,0,3,1,1,0,2,1,0,3,1,1,0,2,1,0,3,1,1
1993,5,1,1,1,1,2,2,5,1,1,1,1,2,2,5,1,1,1,1,2,2,5,1,1,1,1,2,2
1994,2,5,1,3,0,1,2,2,5,1,3,0,1,2,2,5,1,3,0,1,2,2,5,1,3,0,1,2
1995,2,2,7,3,1,4,3,2,2,7,3,1,4,3,2,2,7,3,1,4,3,2,2,7,3,1,4,3
1996,1,7,2,7,4,3,4,1,7,2,7,4,3,4,1,7,2,7,4,3,4,1,7,2,7,4,3,4
1997,0,5,4,5,0,1,3,0,5,4,5,0,1,3,0,5,4,5,0,1,3,0,5,4,5,0,1,3
