Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,2,1,4,4,1,0,2,2,1,4,4,1,0,2,2,1,4,4,1,0,2,2,1,4,4,1,0,2
1972,3,0,0,0,1,2,1,3,0,0,0,1,2,1,3,0,0,0,1,2,1,3,0,0,0,1,2,1
1973,0,2,0,1,6,2,2,0,2,0,1,6,2,2,0,2,0,1,6,2,2,0,2,0,1,6,2,2
1974,0,5,4,2,3,1,3,0,5,4,2,3,1,3,0,5,4,2,3,1,3,0,5,4,2,3,1,3
1975,0,2,0,0,2,0,1,0,2,0,0,2,0,1,0,2,0,0,2,0,1,0,2,0,0,2,0,1
1976,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0
1977,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0
1978,0,3,0,2,1,0,1,0,3,0,2,1,0,1,0,3,0,2,1,0,1,0,3,0,2,1,0,1
1979,2,2,2,1,1,0,1,2,2,2,1,1,0,1,2,2,2,1,1,0,1,2,2,2,1,1,0,1
1980,1,1,0,6,1,2,2,1,1,0,6,1,2,2,1,1,0,6,1,2,2,1,1,0,6,1,2,2
1981,2,3,9,4,3,0,4,2,3,9,4,3,0,4,2,3,9,4,3,0,4,2,3,9,4,3,0,4
1982,1,2,5,1,0,2,2,1,2,5,1,0,2,2,1,2,5,1,0,2,2,1,2,5,1,0,2,2
1983,3,6,3,1,0,0,2,3,6,3,1,0,0,2,3,6,3,1,0,0,2,3,6,3,1,0,0,2
1984,4,1,0,2,2,0,2,4,1,0,2,2,0,2,4,1,0,2,2,0,1,4,1,0,2,2,0,2
1985,0,0,4,0,3,2,2,0,0,4,0,3,2,2,0,0,4,0,3,2,2,0,0,4,0,3,2,2
1986,3,4,1,0,0,0,1,3,4,1,0,0,0,1,3,4,1,0,0,0,1,3,4,1,0,0,0,1
1987,0,1,2,0,0,0,1,0,1,2,0,0,0,1,0,1,2,0,0,0,1,0,1,2,0,0,0,1
1988,0,3,1,1,1,3,2,0,3,1,1,1,3,2,0,3,1,1,1,3,2,0,3,1,1,1,3,2
1989,0,1,1,2,3,3,2,0,1,1,2,3,3,2,0,1,1,2,3,3,2,0,1,1,2,3,3,2
1990,0,2,0,6,2,0,2,0,2,0,6,2,0,2,0,2,0,6,2,0,2,0,2,0,6,2,0,2
1991,4,0,3,1,1,3,2,4,0,3,1,1,3,2,4,0,3,1,1,3,2,4,0,3,1,1,3,2
1992,1,1,0,0,0,2,1,1,1,0,0,0,2,1,1,1,0,0,0,2,1,1,1,0,0,0,2,1
1993,2,4,2,1,0,0,2,2,4,2,1,0,0,2,2,4,2,1,0,0,1,2,4,2,1,0,0,2
1994,0,2,1,2,1,0,1,0,2,1,2,1,0,1,0,2,1,2,1,0,1,0,2,1,2,1,0,1
1995,4,0,1,2,6,1,2,4,0,1,2,6,1,2,4,0,1,2,6,1,2,4,0,1,2,6,1,2
1996,2,1,2,3,0,2,2,2,1,2,3,0,2,2,2,1,2,3,0,2,2,2,1,2,3,0,2,2
1997,0,5,2,2,1,1,2,0,5,2,2,1,1,2,0,5,2,2,1,1,2,0,5,2,2,1,1,2
1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,4,0,2,1,2,0,2,4,0,2,1,2,0,2,4,0,2,1,2,0,1,4,0,2,1,2,0,2
2000,3,0,3,0,0,4,2,3,0,3,0,0,4,2,3,0,3,0,0,4,1,3,0,3,0,0,4,2
2001,4,2,2,0,2,1,2,4,2,2,0,2,1,2,4,2,2,0,2,1,1,4,2,2,0,2,1,2
2002,1,0,4,4,3,0,2,1,0,4,4,3,0,2,1,0,4,4,3,0,2,1,0,4,4,3,0,2
2003,2,0,6,4,3,2,3,2,0,6,4,3,2,3,2,0,6,4,3,2,3,2,0,6,4,3,2,3
2004,1,0,4,3,2,8,3,1,0,4,3,2,8,3,1,0,4,3,2,8,3,1,0,4,3,2,8,3
2005,0,2,1,1,4,0,1,0,2,1,1,4,0,1,0,2,1,1,4,0,2,0,2,1,1,4,0,1
2006,0,2,7,3,0,2,2,0,6,3,1,2,3,3,0,7,1,1,1,1,2,2,1,1,3,0,2,2
2007,3,3,3,5,3,0,3,0,0,2,1,2,0,1,2,2,0,0,4,2,2,6,1,2,1,2,0,2
2008,0,4,4,1,0,5,2,2,1,2,3,3,10,4,3,5,0,0,0,2,1,0,2,1,1,5,5,2
2009,2,1,4,1,0,2,2,3,1,2,1,6,3,3,2,0,3,3,3,0,2,0,4,3,2,1,1,2
2010,5,2,6,2,2,0,3,1,2,6,1,0,3,2,1,0,4,1,5,2,2,1,0,2,0,0,7,2
2011,3,2,5,1,2,3,3,0,5,3,1,5,4,3,6,2,4,3,0,3,2,2,6,0,2,2,1,2
2012,3,3,2,3,1,2,2,4,4,0,3,1,0,2,5,12,3,2,2,0,4,0,1,2,2,3,1,2
2013,1,0,5,1,1,3,2,6,0,1,6,6,1,3,3,2,2,1,0,6,2,0,4,0,3,1,3,2
2014,3,0,6,4,1,2,3,2,1,4,0,1,3,2,3,9,0,3,2,1,3,2,2,5,1,2,1,2
2015,0,1,1,4,4,1,2,1,1,0,7,2,0,2,4,2,3,0,7,1,3,1,3,7,4,1,1,3
2016,0,3,2,3,0,2,2,4,2,3,4,0,1,2,0,0,2,1,5,5,3,1,2,1,0,0,0,1
2017,1,6,7,3,4,1,4,2,0,6,8,2,0,3,2,4,4,0,1,2,2,3,5,5,8,3,3,5
2018,0,2,2,0,3,2,2,1,1,3,1,9,0,3,3,6,10,0,5,1,4,1,1,3,0,0,3,1
2019,7,1,3,5,2,0,3,7,0,4,1,4,2,3,1,0,3,2,5,1,2,2,2,2,1,7,2,3
2020,1,4,3,1,1,4,2,1,0,7,6,5,3,4,1,6,2,1,3,2,3,4,3,4,2,3,6,4
2021,3,8,2,4,1,0,3,1,2,4,2,1,6,3,6,4,0,0,1,0,1,2,3,1,4,8,3,4
2022,5,8,14,2,3,0,5,6,6,2,1,0,2,3,2,4,4,2,1,5,3,1,6,4,15,1,7,6
2023,6,3,4,1,1,1,3,1,1,9,4,0,2,3,0,1,3,1,7,4,3,1,2,8,0,0,5,3
