Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,29,17,50,28,29,25,30,29,17,50,28,29,25,30,29,17,50,28,29,25,30,29,17,50,28,29,25,30
1973,19,22,27,30,27,16,24,19,22,27,30,27,16,24,19,22,27,30,27,16,24,19,22,27,30,27,16,24
1974,17,11,30,22,28,36,24,17,11,30,22,28,36,24,17,11,30,22,28,36,24,17,11,30,22,28,36,24
1975,8,13,21,10,22,13,15,8,13,21,10,22,13,15,8,13,21,10,22,13,15,8,13,21,10,22,13,15
1976,35,17,17,15,29,27,23,35,17,17,15,29,27,23,35,17,17,15,29,27,23,35,17,17,15,29,27,23
1977,32,9,20,28,11,8,18,32,9,20,28,11,8,18,32,9,20,28,11,8,18,32,9,20,28,11,8,18
1978,23,10,27,20,20,7,18,23,10,27,20,20,7,18,23,10,27,20,20,7,18,23,10,27,20,20,7,18
1979,30,20,24,30,13,28,24,30,20,24,30,13,28,24,30,20,24,30,13,28,24,30,20,24,30,13,28,24
1980,35,32,20,23,23,17,25,35,32,20,23,23,17,25,35,32,20,23,23,17,25,35,32,20,23,23,17,25
1981,13,5,35,12,22,38,21,13,5,35,12,22,38,21,13,5,35,12,22,38,21,13,5,35,12,22,38,21
1982,11,24,24,32,42,32,28,11,24,24,32,42,32,28,11,24,24,32,42,32,28,11,24,24,32,42,32,28
1983,11,27,18,28,23,5,19,11,27,18,28,23,5,19,11,27,18,28,23,5,19,11,27,18,28,23,5,19
1984,40,31,28,20,23,10,25,40,31,28,20,23,10,25,40,31,28,20,23,10,25,40,31,28,20,23,10,25
1985,27,24,10,29,12,32,22,27,24,10,29,12,32,22,27,24,10,29,12,32,22,27,24,10,29,12,32,22
1986,23,9,26,19,35,31,24,23,9,26,19,35,31,24,23,9,26,19,35,31,24,23,9,26,19,35,31,24
1987,13,30,16,42,16,9,21,13,30,16,42,16,9,21,13,30,16,42,16,9,21,13,30,16,42,16,9,21
1988,18,34,17,36,13,17,23,18,34,17,36,13,17,23,18,34,17,36,13,17,23,18,34,17,36,13,17,23
1989,28,22,6,21,15,11,17,28,22,6,21,15,11,17,28,22,6,21,15,11,17,28,22,6,21,15,11,17
1990,15,17,11,19,44,30,23,15,17,11,19,44,30,23,15,17,11,19,44,30,23,15,17,11,19,44,30,23
1991,33,21,29,24,35,30,29,33,21,29,24,35,30,29,33,21,29,24,35,30,29,33,21,29,24,35,30,29
1992,10,20,11,18,39,25,21,10,20,11,18,39,25,21,10,20,11,18,39,25,21,10,20,11,18,39,25,21
1993,36,17,9,16,18,30,21,36,17,9,16,18,30,21,36,17,9,16,18,30,21,36,17,9,16,18,30,21
1994,20,28,31,31,10,29,25,20,28,31,31,10,29,25,20,28,31,31,10,29,25,20,28,31,31,10,29,25
1995,17,31,31,25,26,31,27,17,31,31,25,26,31,27,17,31,31,25,26,31,27,17,31,31,25,26,31,27
1996,23,31,12,22,18,26,22,23,31,12,22,18,26,22,23,31,12,22,18,26,22,23,31,12,22,18,26,22
1997,18,30,34,36,17,20,26,18,30,34,36,17,20,26,18,30,34,36,17,20,26,18,30,34,36,17,20,26
1998,51,44,38,30,25,27,36,51,44,38,30,25,27,36,51,44,38,30,25,27,36,51,44,38,30,25,27,36
1999,35,26,36,31,22,43,32,35,26,36,31,22,43,32,35,26,36,31,22,43,32,35,26,36,31,22,43,32
2000,40,27,40,28,32,37,34,40,27,40,28,32,37,34,40,27,40,28,32,37,34,40,27,40,28,32,37,34
2001,32,37,37,24,25,30,31,32,37,37,24,25,30,31,32,37,37,24,25,30,31,32,37,37,24,25,30,31
2002,12,22,12,32,32,30,23,12,22,12,32,32,30,23,12,22,12,32,32,30,23,12,22,12,32,32,30,23
2003,16,10,46,23,24,33,25,16,10,46,23,24,33,25,16,10,46,23,24,33,25,16,10,46,23,24,33,25
2004,30,24,36,39,29,40,33,30,24,36,39,29,40,33,30,24,36,39,29,40,33,30,24,36,39,29,40,33
2005,35,37,42,15,35,29,32,35,37,42,15,35,29,32,35,37,42,15,35,29,32,35,37,42,15,35,29,32
2006,29,29,24,13,37,33,28,30,28,33,20,41,21,29,34,28,27,28,36,32,31,18,27,29,27,37,21,27
2007,38,28,14,46,18,37,30,36,31,33,31,28,27,31,25,20,35,32,17,22,25,33,29,27,24,30,38,30
2008,19,15,35,33,44,35,30,28,29,38,28,31,30,31,38,28,14,35,27,40,30,13,26,39,17,26,24,24
2009,35,27,40,31,35,47,36,17,44,32,22,38,31,31,14,20,30,31,27,21,24,29,37,21,30,13,40,28
2010,33,27,43,39,23,32,33,30,31,17,37,39,41,33,25,5,37,18,31,22,23,19,21,40,27,17,35,27
2011,39,30,22,39,29,22,30,16,40,20,24,25,29,26,26,21,41,31,23,27,28,21,36,33,12,21,27,25
2012,21,21,31,34,34,21,27,13,38,50,28,21,21,29,15,28,26,34,24,43,28,36,24,42,33,27,25,31
2013,22,24,26,36,30,34,29,32,18,42,28,36,18,29,41,34,31,40,36,29,35,34,35,37,29,34,30,33
2014,24,13,47,22,50,25,30,38,32,7,36,49,36,33,15,28,46,24,24,15,25,29,30,33,33,24,46,33
2015,39,46,35,42,27,33,37,32,22,60,38,26,19,33,18,26,29,31,23,20,25,25,21,35,23,35,19,26
2016,36,35,52,30,33,24,35,35,18,33,31,19,24,27,32,34,38,24,31,37,33,35,21,38,28,23,21,28
2017,18,25,45,33,19,21,27,39,28,54,38,5,34,33,35,26,31,37,41,39,35,23,28,40,32,27,25,29
2018,36,20,60,31,34,32,36,33,13,39,24,39,27,29,29,17,31,16,14,28,23,16,46,31,47,11,37,31
2019,43,27,39,28,20,32,32,32,34,33,32,43,24,33,46,31,52,37,40,36,40,40,17,20,23,15,33,25
2020,34,36,42,29,52,28,37,24,25,30,21,16,39,26,44,33,49,30,37,34,38,53,26,47,28,45,33,39
2021,30,31,32,37,37,28,33,19,25,56,43,35,32,35,32,25,34,20,36,23,28,41,34,39,39,36,44,39
2022,39,26,27,32,21,22,28,24,25,47,38,24,27,31,43,16,14,36,39,35,31,32,25,40,34,44,23,33
2023,45,35,49,30,43,35,40,27,30,38,35,42,27,33,35,48,40,16,39,34,35,44,28,31,41,17,28,32
2024,18,43,39,32,30,31,32,46,28,47,26,13,33,32,20,29,51,30,17,21,28,22,12,51,38,36,51,35
2025,45,22,40,24,34,20,31,37,24,33,34,62,42,39,36,34,35,26,23,36,32,31,23,42,27,32,49,34
2026,19,42,50,31,42,17,34,30,41,42,35,52,15,36,40,24,40,31,29,42,34,51,33,38,33,32,32,37
2027,24,35,39,22,28,34,30,45,16,34,38,49,24,34,40,22,41,38,35,34,35,40,28,23,31,31,21,29
2028,34,36,41,25,28,38,34,47,44,41,31,38,44,41,37,21,47,32,33,22,32,20,43,39,26,45,36,35
2029,28,11,43,23,42,24,29,40,22,40,37,35,18,32,29,30,36,27,30,28,30,35,26,53,37,45,20,36
2030,36,16,27,39,32,14,27,35,17,60,50,30,34,38,27,29,52,35,27,38,35,26,35,49,26,53,37,38
2031,36,46,35,23,32,44,36,35,46,47,38,18,32,36,28,37,37,30,57,30,37,38,31,32,13,59,32,34
2032,36,39,33,23,30,45,34,21,36,46,24,35,38,33,36,30,35,37,33,25,33,34,45,48,37,39,51,42
2033,42,48,29,47,33,27,38,38,19,42,28,37,38,34,33,44,25,40,34,26,34,34,57,54,39,28,29,40
2034,27,45,26,16,36,33,31,24,32,24,27,21,41,28,33,38,31,37,38,31,35,32,22,40,26,25,43,31
2035,31,19,34,37,42,42,34,46,47,44,29,43,40,42,45,28,42,30,14,33,32,29,22,37,30,38,45,34
2036,42,45,22,28,53,25,36,34,31,28,16,45,37,32,39,39,44,24,31,24,34,61,30,29,35,38,34,38
2037,28,17,31,34,44,48,34,36,31,45,44,36,18,35,44,52,47,45,39,36,44,31,45,50,27,30,41,37
2038,20,25,24,44,39,45,33,57,18,46,45,28,44,40,45,36,55,44,36,43,43,28,31,53,33,39,42,38
2039,17,10,47,26,18,25,24,47,39,45,25,54,46,43,53,33,31,35,22,32,34,30,42,52,40,34,18,36
2040,37,37,55,34,30,13,34,43,38,47,47,46,25,41,42,36,39,25,39,46,38,45,23,41,30,31,34,34
2041,17,31,39,20,45,38,32,22,31,44,42,26,35,33,48,34,27,25,53,21,35,46,38,51,37,39,21,39
2042,34,18,36,43,46,41,36,33,38,55,16,27,22,32,34,32,31,32,28,19,29,35,52,61,34,54,47,47
2043,40,27,29,2,50,34,30,48,20,43,35,38,41,38,40,31,65,33,31,29,38,33,43,41,31,40,32,37
2044,39,54,43,36,43,29,41,43,22,41,34,27,36,34,46,38,46,25,46,28,38,34,43,37,25,43,45,38
2045,34,41,41,37,31,39,37,52,39,38,39,42,31,40,37,35,65,37,36,40,42,38,21,28,40,49,46,37
2046,47,43,41,30,40,12,36,38,37,33,28,22,40,33,33,36,41,20,43,46,37,40,23,44,51,34,46,40
2047,36,24,47,33,28,30,33,37,26,58,13,44,36,36,38,40,42,38,41,19,36,34,32,27,49,26,46,36
