Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,25,30,30,32,33,33,31,25,30,30,32,33,33,31,25,30,30,32,33,33,31,25,30,30,32,33,33,31
1972,33,31,35,28,28,27,30,33,31,35,28,28,27,30,33,31,35,28,28,27,30,33,31,35,28,28,27,30
1973,38,34,29,42,29,30,34,38,34,29,42,29,30,34,38,34,29,42,29,30,34,38,34,29,42,29,30,34
1974,43,26,42,29,33,29,34,43,26,42,29,33,29,34,43,26,42,29,33,29,34,43,26,42,29,33,29,34
1975,32,52,26,36,24,21,32,32,52,26,36,24,21,32,32,52,26,36,24,21,32,32,52,26,36,24,21,32
1976,35,41,27,38,39,30,35,35,41,27,38,39,30,35,35,41,27,38,39,30,35,35,41,27,38,39,30,35
1977,38,43,28,27,34,32,34,38,43,28,27,34,32,34,38,43,28,27,34,32,34,38,43,28,27,34,32,34
1978,43,26,30,34,30,42,34,43,26,30,34,30,42,34,43,26,30,34,30,42,34,43,26,30,34,30,42,34
1979,36,28,18,26,23,32,27,36,28,18,26,23,32,27,36,28,18,26,23,32,27,36,28,18,26,23,32,27
1980,31,40,33,35,31,26,33,31,40,33,35,31,26,33,31,40,33,35,31,26,33,31,40,33,35,31,26,33
1981,41,29,27,38,34,26,33,41,29,27,38,34,26,33,41,29,27,38,34,26,33,41,29,27,38,34,26,33
1982,26,36,34,36,33,33,33,26,36,34,36,33,33,33,26,36,34,36,33,33,33,26,36,34,36,33,33,33
1983,32,35,25,22,27,39,30,32,35,25,22,27,39,30,32,35,25,22,27,39,30,32,35,25,22,27,39,30
1984,20,30,41,35,39,33,33,20,30,41,35,39,33,33,20,30,41,35,39,33,33,20,30,41,35,39,33,33
1985,34,36,36,32,32,33,34,34,36,36,32,32,33,34,34,36,36,32,32,33,34,34,36,36,32,32,33,34
1986,30,40,21,21,34,23,28,30,40,21,21,34,23,28,30,40,21,21,34,23,28,30,40,21,21,34,23,28
1987,27,38,38,42,21,31,33,27,38,38,42,21,31,33,27,38,38,42,21,31,33,27,38,38,42,21,31,33
1988,34,24,25,36,36,42,33,34,24,25,36,36,42,33,34,24,25,36,36,42,33,34,24,25,36,36,42,33
1989,30,37,40,37,24,30,33,30,37,40,37,24,30,33,30,37,40,37,24,30,33,30,37,40,37,24,30,33
1990,29,25,30,28,26,29,28,29,25,30,28,26,29,28,29,25,30,28,26,29,28,29,25,30,28,26,29,28
1991,30,20,32,37,35,24,30,30,20,32,37,35,24,30,30,20,32,37,35,24,30,30,20,32,37,35,24,30
1992,60,35,31,27,40,24,36,60,35,31,27,40,24,36,60,35,31,27,40,24,36,60,35,31,27,40,24,36
1993,23,35,34,31,32,31,31,23,35,34,31,32,31,31,23,35,34,31,32,31,31,23,35,34,31,32,31,31
1994,28,32,35,33,20,38,31,28,32,35,33,20,38,31,28,32,35,33,20,38,31,28,32,35,33,20,38,31
1995,34,41,31,27,30,23,31,34,41,31,27,30,23,31,34,41,31,27,30,23,31,34,41,31,27,30,23,31
1996,29,30,28,28,32,24,29,29,30,28,28,32,24,29,29,30,28,28,32,24,29,29,30,28,28,32,24,29
1997,33,20,27,30,28,35,29,33,20,27,30,28,35,29,33,20,27,30,28,35,29,33,20,27,30,28,35,29
1998,28,31,34,40,39,29,34,28,31,34,40,39,29,34,28,31,34,40,39,29,34,28,31,34,40,39,29,34
1999,25,29,33,42,37,35,34,25,29,33,42,37,35,34,25,29,33,42,37,35,34,25,29,33,42,37,35,34
