Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,26,30,29,34,35,38,32,26,30,29,34,35,38,32,26,30,29,34,35,38,32,26,30,29,34,35,38,32
1972,41,46,33,35,40,29,37,41,46,33,35,40,29,37,41,46,33,35,40,29,37,41,46,33,35,40,29,37
1973,42,34,34,27,30,38,34,42,34,34,27,30,38,34,42,34,34,27,30,38,34,42,34,34,27,30,38,34
1974,45,36,30,33,28,37,35,45,36,30,33,28,37,35,45,36,30,33,28,37,35,45,36,30,33,28,37,35
1975,30,36,40,49,36,40,39,30,36,40,49,36,40,39,30,36,40,49,36,40,39,30,36,40,49,36,40,39
1976,44,28,42,35,43,35,38,44,28,42,35,43,35,38,44,28,42,35,43,35,38,44,28,42,35,43,35,38
1977,41,37,29,35,43,30,36,41,37,29,35,43,30,36,41,37,29,35,43,30,36,41,37,29,35,43,30,36
1978,34,33,43,52,35,39,39,34,33,43,52,35,39,39,34,33,43,52,35,39,39,34,33,43,52,35,39,39
1979,32,36,26,27,36,44,34,32,36,26,27,36,44,34,32,36,26,27,36,44,34,32,36,26,27,36,44,34
1980,49,32,37,29,45,31,37,49,32,37,29,45,31,37,49,32,37,29,45,31,37,49,32,37,29,45,31,37
1981,38,34,37,25,40,28,34,38,34,37,25,40,28,34,38,34,37,25,40,28,34,38,34,37,25,40,28,34
1982,38,37,27,31,38,44,36,38,37,27,31,38,44,36,38,37,27,31,38,44,36,38,37,27,31,38,44,36
1983,34,32,44,33,40,28,35,34,32,44,33,40,28,35,34,32,44,33,40,28,35,34,32,44,33,40,28,35
