Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,34,28,19,25,28,29,27,34,28,19,25,28,29,27,34,28,19,25,28,29,27,34,28,19,25,28,29,27
1973,32,30,29,19,24,34,28,32,30,29,19,24,34,28,32,30,29,19,24,34,28,32,30,29,19,24,34,28
1974,29,32,26,19,25,25,26,29,32,26,19,25,25,26,29,32,26,19,25,25,26,29,32,26,19,25,25,26
1975,28,37,22,37,28,31,31,28,37,22,37,28,31,31,28,37,22,37,28,31,31,28,37,22,37,28,31,31
1976,18,37,28,25,18,36,27,18,37,28,25,18,36,27,18,37,28,25,18,36,27,18,37,28,25,18,36,27
1977,18,45,22,23,25,34,28,18,45,22,23,25,34,28,18,45,22,23,25,34,28,18,45,22,23,25,34,28
1978,29,38,29,27,28,40,32,29,38,29,27,28,40,32,29,38,29,27,28,40,32,29,38,29,27,28,40,32
1979,23,20,25,20,31,26,24,23,20,25,20,31,26,24,23,20,25,20,31,26,24,23,20,25,20,31,26,24
1980,12,24,39,31,24,28,26,12,24,39,31,24,28,26,12,24,39,31,24,28,26,12,24,39,31,24,28,26
1981,35,30,22,34,31,21,29,35,30,22,34,31,21,29,35,30,22,34,31,21,29,35,30,22,34,31,21,29
1982,36,27,27,17,21,16,24,36,27,27,17,21,16,24,36,27,27,17,21,16,24,36,27,27,17,21,16,24
1983,47,26,35,20,26,37,32,47,26,35,20,26,37,32,47,26,35,20,26,37,32,47,26,35,20,26,37,32
1984,20,21,23,25,25,35,25,20,21,23,25,25,35,25,20,21,23,25,25,35,25,20,21,23,25,25,35,25
1985,22,32,31,23,28,20,26,22,32,31,23,28,20,26,22,32,31,23,28,20,26,22,32,31,23,28,20,26
1986,20,34,26,34,27,26,28,20,34,26,34,27,26,28,20,34,26,34,27,26,28,20,34,26,34,27,26,28
