Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,41,41,29,35,28,31,34,41,41,29,35,28,31,34,41,41,29,35,28,31,34,41,41,29,35,28,31,34
1972,26,41,32,36,30,32,33,26,41,32,36,30,32,33,26,41,32,36,30,32,33,26,41,32,36,30,32,33
1973,24,39,33,36,27,35,32,24,39,33,36,27,35,32,24,39,33,36,27,35,32,24,39,33,36,27,35,32
1974,25,27,18,31,39,23,27,25,27,18,31,39,23,27,25,27,18,31,39,23,27,25,27,18,31,39,23,27
1975,33,32,31,26,26,30,30,33,32,31,26,26,30,30,33,32,31,26,26,30,30,33,32,31,26,26,30,30
1976,28,28,39,36,28,34,32,28,28,39,36,28,34,32,28,28,39,36,28,34,32,28,28,39,36,28,34,32
1977,30,31,22,29,30,26,28,30,31,22,29,30,26,28,30,31,22,29,30,26,28,30,31,22,29,30,26,28
1978,36,30,32,35,28,27,31,36,30,32,35,28,27,31,36,30,32,35,28,27,31,36,30,32,35,28,27,31
1979,22,33,28,32,28,37,30,22,33,28,32,28,37,30,22,33,28,32,28,37,30,22,33,28,32,28,37,30
1980,38,32,41,38,28,45,37,38,32,41,38,28,45,37,38,32,41,38,28,45,37,38,32,41,38,28,45,37
1981,35,27,38,37,31,30,33,35,27,38,37,31,30,33,35,27,38,37,31,30,33,35,27,38,37,31,30,33
1982,45,33,29,24,37,23,32,45,33,29,24,37,23,32,45,33,29,24,37,23,32,45,33,29,24,37,23,32
1983,26,24,29,40,28,39,31,26,24,29,40,28,39,31,26,24,29,40,28,39,31,26,24,29,40,28,39,31
1984,35,40,27,34,35,31,34,35,40,27,34,35,31,34,35,40,27,34,35,31,34,35,40,27,34,35,31,34
1985,43,40,29,34,42,42,38,43,40,29,34,42,42,38,43,40,29,34,42,42,38,43,40,29,34,42,42,38
1986,26,23,22,35,23,36,28,26,23,22,35,23,36,28,26,23,22,35,23,36,28,26,23,22,35,23,36,28
1987,33,33,37,31,38,22,32,33,33,37,31,38,22,32,33,33,37,31,38,22,32,33,33,37,31,38,22,32
1988,32,28,38,30,24,32,31,32,28,38,30,24,32,31,32,28,38,30,24,32,31,32,28,38,30,24,32,31
1989,32,24,33,28,24,30,29,32,24,33,28,24,30,29,32,24,33,28,24,30,29,32,24,33,28,24,30,29
1990,37,31,26,33,23,40,32,37,31,26,33,23,40,32,37,31,26,33,23,40,32,37,31,26,33,23,40,32
1991,20,49,34,24,31,34,32,20,49,34,24,31,34,32,20,49,34,24,31,34,32,20,49,34,24,31,34,32
1992,26,34,39,31,24,28,30,26,34,39,31,24,28,30,26,34,39,31,24,28,30,26,34,39,31,24,28,30
1993,32,37,28,33,29,18,30,32,37,28,33,29,18,30,32,37,28,33,29,18,30,32,37,28,33,29,18,30
1994,31,24,38,46,31,29,33,31,24,38,46,31,29,33,31,24,38,46,31,29,33,31,24,38,46,31,29,33
1995,18,34,36,43,24,33,31,18,34,36,43,24,33,31,18,34,36,43,24,33,31,18,34,36,43,24,33,31
1996,27,24,28,28,35,30,29,27,24,28,28,35,30,29,27,24,28,28,35,30,29,27,24,28,28,35,30,29
1997,24,24,31,29,26,26,27,24,24,31,29,26,26,27,24,24,31,29,26,26,27,24,24,31,29,26,26,27
1998,24,35,20,28,37,23,28,24,35,20,28,37,23,28,24,35,20,28,37,23,28,24,35,20,28,37,23,28
1999,26,33,33,34,20,24,28,26,33,33,34,20,24,28,26,33,33,34,20,24,28,26,33,33,34,20,24,28
2000,26,31,24,34,32,26,29,26,31,24,34,32,26,29,26,31,24,34,32,26,29,26,31,24,34,32,26,29
2001,32,44,24,24,33,22,30,32,44,24,24,33,22,30,32,44,24,24,33,22,30,32,44,24,24,33,22,30
2002,30,38,32,37,29,40,34,30,38,32,37,29,40,34,30,38,32,37,29,40,34,30,38,32,37,29,40,34
2003,32,40,29,27,39,41,35,32,40,29,27,39,41,35,32,40,29,27,39,41,35,32,40,29,27,39,41,35
2004,29,27,32,37,27,36,31,29,27,32,37,27,36,31,29,27,32,37,27,36,31,29,27,32,37,27,36,31
2005,29,32,36,42,30,30,33,29,32,36,42,30,30,33,29,32,36,42,30,30,33,29,32,36,42,30,30,33
2006,35,30,32,22,38,34,32,23,25,36,30,21,42,30,37,23,26,40,28,30,31,23,24,24,31,28,23,26
2007,43,36,26,24,29,30,31,27,34,33,32,29,37,32,32,34,26,34,34,28,31,21,28,23,45,41,29,31
2008,26,22,34,30,26,28,28,36,21,33,33,38,31,32,25,33,28,33,36,24,30,31,36,31,27,33,16,29
2009,33,48,30,24,31,34,33,35,26,42,21,41,29,32,26,34,40,41,22,35,33,23,16,26,44,30,27,28
2010,35,30,25,29,28,29,29,27,38,26,36,20,33,30,36,38,36,35,30,26,34,22,33,30,28,32,35,30
2011,44,27,34,37,39,33,36,40,22,35,46,36,23,34,25,25,33,29,27,31,28,33,35,32,40,35,38,36
2012,27,29,33,34,45,31,33,36,24,29,30,39,29,31,30,25,34,31,32,30,30,41,42,24,32,28,34,34
2013,42,29,26,36,31,32,33,35,35,24,39,35,38,34,36,38,25,27,19,27,29,22,31,49,18,31,24,29
2014,22,31,37,33,34,34,32,24,44,38,36,28,27,33,27,27,35,40,28,27,31,29,33,28,26,29,39,31
2015,35,47,31,25,32,34,34,38,48,31,34,32,38,37,30,38,34,36,33,33,34,30,34,29,42,31,21,31
2016,43,29,27,27,47,30,34,28,27,26,53,29,23,31,39,45,42,34,30,28,36,34,29,35,35,26,41,33
2017,33,41,32,36,38,26,34,33,36,45,22,34,27,33,21,29,15,38,24,21,25,26,36,34,18,38,37,32
2018,26,31,33,33,46,28,33,37,40,44,28,27,31,35,22,32,31,30,34,35,31,26,27,22,25,38,31,28
2019,34,30,23,31,44,31,32,35,26,34,26,26,33,30,40,36,19,45,34,29,34,29,34,16,25,33,30,28
2020,40,40,31,29,31,43,36,21,43,29,32,27,34,31,38,36,23,34,35,30,33,47,39,33,29,27,29,34
2021,26,27,22,31,27,42,29,35,27,28,32,44,40,34,31,29,24,28,24,28,27,49,32,31,35,40,34,37
2022,34,12,39,29,35,30,30,38,20,33,47,33,40,35,42,33,41,31,44,29,37,37,34,30,31,23,37,32
2023,35,23,34,32,25,27,29,33,32,41,23,40,40,35,26,38,18,30,35,35,30,35,32,40,33,32,41,36
2024,35,25,36,27,32,27,30,24,35,39,18,31,21,28,24,41,34,15,40,30,31,47,34,43,32,27,34,36
2025,34,30,31,33,30,32,32,32,37,30,30,26,32,31,27,37,22,28,37,27,30,32,39,38,29,30,25,32
2026,34,31,26,40,38,27,33,28,37,27,38,33,30,32,20,27,19,34,36,30,28,45,38,34,25,41,33,36
2027,24,22,32,29,30,31,28,35,30,33,23,40,33,32,29,33,21,26,50,41,33,39,39,31,20,39,45,36
2028,35,35,29,47,41,36,37,47,17,24,28,40,30,31,28,29,25,34,45,27,31,29,32,31,34,22,32,30
2029,45,33,26,51,23,38,36,33,29,24,36,25,37,31,34,36,33,32,38,29,34,27,34,41,29,34,29,32
2030,38,33,27,19,34,31,30,22,53,31,37,27,30,33,32,25,39,37,41,35,35,27,52,34,36,31,41,37
2031,37,32,29,43,32,29,34,26,48,40,35,41,28,36,40,39,20,30,31,35,33,49,34,32,22,36,32,34
2032,32,34,33,25,27,28,30,25,26,31,21,37,28,28,29,37,39,31,34,35,34,42,27,35,26,39,36,34
2033,32,37,40,34,27,25,33,23,46,38,28,23,33,32,41,36,27,39,32,40,36,35,33,32,43,43,40,38
