Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,3,2,13,10,9,5,7,3,2,13,10,9,5,7,3,2,13,10,9,5,7,3,2,13,10,9,5,7
1973,7,2,5,1,4,5,4,7,2,5,1,4,5,4,7,2,5,1,4,5,4,7,2,5,1,4,5,4
1974,2,10,9,2,6,1,5,2,10,9,2,6,1,5,2,10,9,2,6,1,5,2,10,9,2,6,1,5
1975,1,0,3,3,3,1,2,1,0,3,3,3,1,2,1,0,3,3,3,1,2,1,0,3,3,3,1,2
1976,3,3,6,0,2,6,3,3,3,6,0,2,6,3,3,3,6,0,2,6,3,3,3,6,0,2,6,3
1977,1,1,5,5,0,2,2,1,1,5,5,0,2,2,1,1,5,5,0,2,2,1,1,5,5,0,2,2
1978,10,4,9,6,4,1,6,10,4,9,6,4,1,6,10,4,9,6,4,1,6,10,4,9,6,4,1,6
1979,0,3,0,14,3,4,4,0,3,0,14,3,4,4,0,3,0,14,3,4,4,0,3,0,14,3,4,4
1980,6,8,6,5,8,6,7,6,8,6,5,8,6,7,6,8,6,5,8,6,7,6,8,6,5,8,6,7
1981,7,0,5,0,6,8,4,7,0,5,0,6,8,4,7,0,5,0,6,8,4,7,0,5,0,6,8,4
1982,5,13,0,5,14,2,7,5,13,0,5,14,2,7,5,13,0,5,14,2,7,5,13,0,5,14,2,7
1983,9,3,5,9,7,3,6,9,3,5,9,7,3,6,9,3,5,9,7,3,6,9,3,5,9,7,3,6
