Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,40,35,30,27,33,33,33,40,35,30,27,33,33,33,40,35,30,27,33,33,33,40,35,30,27,33,33,33
1972,43,40,36,28,35,31,36,43,40,36,28,35,31,36,43,40,36,28,35,31,36,43,40,36,28,35,31,36
1973,37,34,23,44,24,43,34,37,34,23,44,24,43,34,37,34,23,44,24,43,34,37,34,23,44,24,43,34
1974,36,28,33,28,35,35,33,36,28,33,28,35,35,33,36,28,33,28,35,35,33,36,28,33,28,35,35,33
1975,38,32,28,28,29,38,32,38,32,28,28,29,38,32,38,32,28,28,29,38,32,38,32,28,28,29,38,32
1976,31,42,34,38,31,31,35,31,42,34,38,31,31,35,31,42,34,38,31,31,35,31,42,34,38,31,31,35
1977,33,22,42,34,28,53,35,33,22,42,34,28,53,35,33,22,42,34,28,53,35,33,22,42,34,28,53,35
1978,40,37,33,25,28,35,33,40,37,33,25,28,35,33,40,37,33,25,28,35,33,40,37,33,25,28,35,33
1979,41,34,25,36,24,32,32,41,34,25,36,24,32,32,41,34,25,36,24,32,32,41,34,25,36,24,32,32
1980,27,34,30,43,34,23,32,27,34,30,43,34,23,32,27,34,30,43,34,23,32,27,34,30,43,34,23,32
1981,43,34,32,36,32,39,36,43,34,32,36,32,39,36,43,34,32,36,32,39,36,43,34,32,36,32,39,36
1982,36,30,38,37,34,46,37,36,30,38,37,34,46,37,36,30,38,37,34,46,37,36,30,38,37,34,46,37
1983,35,37,28,34,29,25,31,35,37,28,34,29,25,31,35,37,28,34,29,25,31,35,37,28,34,29,25,31
1984,31,28,23,30,25,35,29,31,28,23,30,25,35,29,31,28,23,30,25,35,29,31,28,23,30,25,35,29
1985,35,33,32,32,33,23,31,35,33,32,32,33,23,31,35,33,32,32,33,23,31,35,33,32,32,33,23,31
1986,23,35,45,25,30,32,32,23,35,45,25,30,32,32,23,35,45,25,30,32,32,23,35,45,25,30,32,32
1987,28,42,35,32,33,35,34,28,42,35,32,33,35,34,28,42,35,32,33,35,34,28,42,35,32,33,35,34
1988,34,24,29,28,40,33,31,34,24,29,28,40,33,31,34,24,29,28,40,33,31,34,24,29,28,40,33,31
1989,28,35,42,36,36,33,35,28,35,42,36,36,33,35,28,35,42,36,36,33,35,28,35,42,36,36,33,35
1990,26,31,43,32,26,30,31,26,31,43,32,26,30,31,26,31,43,32,26,30,31,26,31,43,32,26,30,31
1991,34,33,34,33,36,27,33,34,33,34,33,36,27,33,34,33,34,33,36,27,33,34,33,34,33,36,27,33
1992,29,29,36,42,26,35,33,29,29,36,42,26,35,33,29,29,36,42,26,35,33,29,29,36,42,26,35,33
1993,33,29,22,40,25,26,29,33,29,22,40,25,26,29,33,29,22,40,25,26,29,33,29,22,40,25,26,29
1994,36,30,32,32,31,46,35,36,30,32,32,31,46,35,36,30,32,32,31,46,35,36,30,32,32,31,46,35
1995,35,40,36,37,31,35,36,35,40,36,37,31,35,36,35,40,36,37,31,35,36,35,40,36,37,31,35,36
1996,35,28,38,36,29,34,33,35,28,38,36,29,34,33,35,28,38,36,29,34,33,35,28,38,36,29,34,33
1997,29,36,33,32,20,23,29,29,36,33,32,20,23,29,29,36,33,32,20,23,29,29,36,33,32,20,23,29
1998,25,29,28,36,29,23,28,25,29,28,36,29,23,28,25,29,28,36,29,23,28,25,29,28,36,29,23,28
1999,29,35,32,34,28,41,33,29,35,32,34,28,41,33,29,35,32,34,28,41,33,29,35,32,34,28,41,33
2000,30,30,23,31,29,31,29,30,30,23,31,29,31,29,30,30,23,31,29,31,29,30,30,23,31,29,31,29
2001,37,27,35,27,32,36,32,37,27,35,27,32,36,32,37,27,35,27,32,36,32,37,27,35,27,32,36,32
2002,28,39,24,32,24,37,31,28,39,24,32,24,37,31,28,39,24,32,24,37,31,28,39,24,32,24,37,31
2003,31,36,33,32,27,20,30,31,36,33,32,27,20,30,31,36,33,32,27,20,30,31,36,33,32,27,20,30
2004,38,31,36,42,30,33,35,38,31,36,42,30,33,35,38,31,36,42,30,33,35,38,31,36,42,30,33,35
2005,37,31,27,32,34,40,34,37,31,27,32,34,40,34,37,31,27,32,34,40,34,37,31,27,32,34,40,34
2006,25,33,32,27,27,27,29,28,28,27,26,32,28,28,36,30,41,27,43,36,36,31,30,29,37,30,39,33
2007,32,27,46,31,35,23,32,28,30,39,31,34,31,32,23,31,32,30,35,36,31,31,35,35,40,30,36,35
2008,34,26,27,29,33,22,29,36,34,31,29,30,31,32,19,26,27,30,37,33,29,28,34,41,38,37,36,36
2009,35,27,30,29,29,31,30,25,25,27,29,27,35,28,35,28,28,32,36,30,32,37,28,41,35,33,30,34
2010,22,34,36,38,37,34,34,34,36,30,29,42,34,34,30,22,27,36,29,33,30,36,28,23,29,33,32,30
2011,33,33,40,42,28,40,36,37,31,26,37,34,33,33,29,38,31,37,30,36,34,33,28,34,31,30,30,31
2012,28,38,32,30,17,28,29,27,33,38,33,31,42,34,34,31,34,26,31,33,32,38,22,47,33,43,34,36
2013,32,32,36,26,32,25,31,26,34,26,33,29,27,29,29,34,35,32,32,36,33,32,27,34,32,27,28,30
