Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,43,33,32,44,39,48,40,43,33,32,44,39,48,40,43,33,32,44,39,48,40,43,33,32,44,39,48,40
1972,37,33,29,46,34,38,36,37,33,29,46,34,38,36,37,33,29,46,34,38,36,37,33,29,46,34,38,36
1973,35,31,39,32,34,35,34,35,31,39,32,34,35,34,35,31,39,32,34,35,34,35,31,39,32,34,35,34
1974,37,45,34,29,38,44,38,37,45,34,29,38,44,38,37,45,34,29,38,44,38,37,45,34,29,38,44,38
1975,31,37,39,34,36,39,36,31,37,39,34,36,39,36,31,37,39,34,36,39,36,31,37,39,34,36,39,36
1976,47,39,45,44,46,36,43,47,39,45,44,46,36,43,47,39,45,44,46,36,43,47,39,45,44,46,36,43
1977,45,36,40,28,37,25,35,45,36,40,28,37,25,35,45,36,40,28,37,25,35,45,36,40,28,37,25,35
1978,38,38,39,32,38,37,37,38,38,39,32,38,37,37,38,38,39,32,38,37,37,38,38,39,32,38,37,37
1979,48,38,33,43,39,48,42,48,38,33,43,39,48,42,48,38,33,43,39,48,42,48,38,33,43,39,48,42
1980,34,37,35,32,39,32,35,34,37,35,32,39,32,35,34,37,35,32,39,32,35,34,37,35,32,39,32,35
1981,38,32,33,39,33,34,35,38,32,33,39,33,34,35,38,32,33,39,33,34,35,38,32,33,39,33,34,35
1982,38,38,32,31,32,34,34,38,38,32,31,32,34,34,38,38,32,31,32,34,34,38,38,32,31,32,34,34
1983,31,38,37,32,38,37,36,31,38,37,32,38,37,36,31,38,37,32,38,37,36,31,38,37,32,38,37,36
1984,37,43,34,35,43,29,37,37,43,34,35,43,29,37,37,43,34,35,43,29,37,37,43,34,35,43,29,37
1985,38,39,36,31,33,35,35,38,39,36,31,33,35,35,38,39,36,31,33,35,35,38,39,36,31,33,35,35
1986,34,35,41,36,36,40,37,34,35,41,36,36,40,37,34,35,41,36,36,40,37,34,35,41,36,36,40,37
1987,39,35,38,34,28,38,35,39,35,38,34,28,38,35,39,35,38,34,28,38,35,39,35,38,34,28,38,35
1988,37,40,47,36,36,41,40,37,40,47,36,36,41,40,37,40,47,36,36,41,40,37,40,47,36,36,41,40
1989,39,40,36,38,25,26,34,39,40,36,38,25,26,34,39,40,36,38,25,26,34,39,40,36,38,25,26,34
1990,42,38,29,28,35,30,34,42,38,29,28,35,30,34,42,38,29,28,35,30,34,42,38,29,28,35,30,34
1991,36,35,28,24,28,37,31,36,35,28,24,28,37,31,36,35,28,24,28,37,31,36,35,28,24,28,37,31
1992,33,33,36,39,40,32,36,33,33,36,39,40,32,36,33,33,36,39,40,32,36,33,33,36,39,40,32,36
1993,30,35,45,39,32,31,35,30,35,45,39,32,31,35,30,35,45,39,32,31,35,30,35,45,39,32,31,35
1994,31,36,45,45,41,31,38,31,36,45,45,41,31,38,31,36,45,45,41,31,38,31,36,45,45,41,31,38
1995,33,37,32,33,38,32,34,33,37,32,33,38,32,34,33,37,32,33,38,32,34,33,37,32,33,38,32,34
1996,29,36,31,32,42,34,34,29,36,31,32,42,34,34,29,36,31,32,42,34,34,29,36,31,32,42,34,34
1997,32,29,33,39,34,34,34,32,29,33,39,34,34,34,32,29,33,39,34,34,34,32,29,33,39,34,34,34
1998,37,34,39,35,35,34,36,37,34,39,35,35,34,36,37,34,39,35,35,34,36,37,34,39,35,35,34,36
1999,31,35,32,33,31,39,34,31,35,32,33,31,39,34,31,35,32,33,31,39,34,31,35,32,33,31,39,34
2000,37,36,36,39,38,35,37,37,36,36,39,38,35,37,37,36,36,39,38,35,37,37,36,36,39,38,35,37
2001,42,41,47,44,34,34,40,42,41,47,44,34,34,40,42,41,47,44,34,34,40,42,41,47,44,34,34,40
