Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,31,26,23,25,18,28,25,31,26,23,25,18,28,25,31,26,23,25,18,28,25,31,26,23,25,18,28,25
1973,32,27,27,26,26,31,28,32,27,27,26,26,31,28,32,27,27,26,26,31,28,32,27,27,26,26,31,28
1974,38,28,25,31,31,32,31,38,28,25,31,31,32,31,38,28,25,31,31,32,31,38,28,25,31,31,32,31
1975,36,42,26,32,28,36,33,36,42,26,32,28,36,33,36,42,26,32,28,36,33,36,42,26,32,28,36,33
1976,18,31,25,29,31,24,26,18,31,25,29,31,24,26,18,31,25,29,31,24,26,18,31,25,29,31,24,26
1977,29,43,30,23,29,29,31,29,43,30,23,29,29,31,29,43,30,23,29,29,31,29,43,30,23,29,29,31
1978,19,29,28,33,35,36,30,19,29,28,33,35,36,30,19,29,28,33,35,36,30,19,29,28,33,35,36,30
1979,30,25,33,28,37,31,31,30,25,33,28,37,31,31,30,25,33,28,37,31,31,30,25,33,28,37,31,31
1980,19,34,31,33,29,29,29,19,34,31,33,29,29,29,19,34,31,33,29,29,29,19,34,31,33,29,29,29
1981,32,30,33,39,27,27,31,32,30,33,39,27,27,31,32,30,33,39,27,27,31,32,30,33,39,27,27,31
1982,34,20,31,22,24,31,27,34,20,31,22,24,31,27,34,20,31,22,24,31,27,34,20,31,22,24,31,27
1983,32,36,27,32,25,27,30,32,36,27,32,25,27,30,32,36,27,32,25,27,30,32,36,27,32,25,27,30
1984,25,14,30,35,30,33,28,25,14,30,35,30,33,28,25,14,30,35,30,33,28,25,14,30,35,30,33,28
1985,30,22,26,29,28,14,25,30,22,26,29,28,14,25,30,22,26,29,28,14,25,30,22,26,29,28,14,25
1986,28,35,30,22,18,26,27,28,35,30,22,18,26,27,28,35,30,22,18,26,27,28,35,30,22,18,26,27
1987,34,40,33,17,35,32,32,34,40,33,17,35,32,32,34,40,33,17,35,32,32,34,40,33,17,35,32,32
1988,39,32,32,18,32,25,30,39,32,32,18,32,25,30,39,32,32,18,32,25,30,39,32,32,18,32,25,30
1989,32,31,32,25,24,31,29,32,31,32,25,24,31,29,32,31,32,25,24,31,29,32,31,32,25,24,31,29
1990,20,30,28,22,24,24,25,20,30,28,22,24,24,25,20,30,28,22,24,24,25,20,30,28,22,24,24,25
1991,28,38,22,22,34,25,28,28,38,22,22,34,25,28,28,38,22,22,34,25,28,28,38,22,22,34,25,28
1992,43,36,34,40,26,29,35,43,36,34,40,26,29,35,43,36,34,40,26,29,35,43,36,34,40,26,29,35
1993,27,34,21,28,26,24,27,27,34,21,28,26,24,27,27,34,21,28,26,24,27,27,34,21,28,26,24,27
1994,38,27,29,20,33,35,30,38,27,29,20,33,35,30,38,27,29,20,33,35,30,38,27,29,20,33,35,30
1995,33,31,32,32,25,26,30,33,31,32,32,25,26,30,33,31,32,32,25,26,30,33,31,32,32,25,26,30
1996,22,28,34,30,34,25,29,22,28,34,30,34,25,29,22,28,34,30,34,25,29,22,28,34,30,34,25,29
1997,25,37,24,25,31,33,29,25,37,24,25,31,33,29,25,37,24,25,31,33,29,25,37,24,25,31,33,29
1998,20,23,28,16,37,29,26,20,23,28,16,37,29,26,20,23,28,16,37,29,26,20,23,28,16,37,29,26
1999,30,24,30,21,36,22,27,30,24,30,21,36,22,27,30,24,30,21,36,22,27,30,24,30,21,36,22,27
2000,20,24,16,26,29,35,25,20,24,16,26,29,35,25,20,24,16,26,29,35,25,20,24,16,26,29,35,25
2001,25,19,36,35,34,24,29,25,19,36,35,34,24,29,25,19,36,35,34,24,29,25,19,36,35,34,24,29
2002,28,33,25,24,27,36,29,28,33,25,24,27,36,29,28,33,25,24,27,36,29,28,33,25,24,27,36,29
2003,37,28,23,32,32,35,31,37,28,23,32,32,35,31,37,28,23,32,32,35,31,37,28,23,32,32,35,31
2004,38,34,34,31,26,24,31,38,34,34,31,26,24,31,38,34,34,31,26,24,31,38,34,34,31,26,24,31
2005,33,33,29,31,24,32,30,33,33,29,31,24,32,30,33,33,29,31,24,32,30,33,33,29,31,24,32,30
2006,24,34,33,24,34,22,29,23,36,29,35,28,31,30,22,30,35,27,17,28,27,32,38,28,22,26,30,29
2007,28,28,32,24,34,34,30,25,19,32,30,30,32,28,24,31,25,31,33,28,29,25,31,30,29,15,31,27
2008,35,40,29,23,26,17,28,32,28,24,27,33,22,28,26,31,26,23,37,28,29,37,24,29,44,30,37,34
2009,18,35,29,36,26,26,28,33,17,30,29,22,24,26,28,38,42,31,30,32,34,33,25,40,28,39,23,31
2010,30,22,23,20,26,31,25,26,35,31,29,33,29,31,26,30,36,31,27,30,30,32,38,19,28,34,28,30
2011,31,27,28,33,36,26,30,35,35,30,40,23,28,32,25,30,29,23,29,33,28,21,32,27,32,26,28,28
2012,33,37,35,25,30,23,31,38,27,26,36,25,32,31,42,26,29,22,20,37,29,20,23,32,27,37,31,28
2013,23,34,34,35,24,31,30,32,30,26,27,28,27,28,24,28,29,24,25,32,27,18,25,31,34,28,35,29
