Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,44,38,40,36,45,47,42,44,38,40,36,45,47,42,44,38,40,36,45,47,42,44,38,40,36,45,47,42
1972,46,46,42,43,45,43,44,46,46,42,43,45,43,44,46,46,42,43,45,43,44,46,46,42,43,45,43,44
1973,41,38,37,44,39,47,41,41,38,37,44,39,47,41,41,38,37,44,39,47,41,41,38,37,44,39,47,41
1974,49,37,57,50,44,48,48,49,37,57,50,44,48,48,49,37,57,50,44,48,48,49,37,57,50,44,48,48
1975,46,43,48,50,51,39,46,46,43,48,50,51,39,46,46,43,48,50,51,39,46,46,43,48,50,51,39,46
1976,44,43,43,48,48,39,44,44,43,43,48,48,39,44,44,43,43,48,48,39,44,44,43,43,48,48,39,44
1977,39,41,48,53,47,37,44,39,41,48,53,47,37,44,39,41,48,53,47,37,44,39,41,48,53,47,37,44
1978,45,39,43,36,56,46,44,45,39,43,36,56,46,44,45,39,43,36,56,46,44,45,39,43,36,56,46,44
1979,44,42,37,50,36,43,42,44,42,37,50,36,43,42,44,42,37,50,36,43,42,44,42,37,50,36,43,42
1980,42,43,47,33,39,41,41,42,43,47,33,39,41,41,42,43,47,33,39,41,41,42,43,47,33,39,41,41
1981,45,42,39,37,40,46,42,45,42,39,37,40,46,42,45,42,39,37,40,46,42,45,42,39,37,40,46,42
1982,48,41,45,41,45,41,44,48,41,45,41,45,41,44,48,41,45,41,45,41,44,48,41,45,41,45,41,44
1983,32,53,41,47,47,39,43,32,53,41,47,47,39,43,32,53,41,47,47,39,43,32,53,41,47,47,39,43
1984,36,44,34,47,38,42,40,36,44,34,47,38,42,40,36,44,34,47,38,42,40,36,44,34,47,38,42,40
1985,39,36,40,34,40,38,38,39,36,40,34,40,38,38,39,36,40,34,40,38,38,39,36,40,34,40,38,38
1986,41,39,39,37,51,42,42,41,39,39,37,51,42,42,41,39,39,37,51,42,42,41,39,39,37,51,42,42
1987,35,39,48,44,37,39,40,35,39,48,44,37,39,40,35,39,48,44,37,39,40,35,39,48,44,37,39,40
1988,35,42,43,39,38,41,40,35,42,43,39,38,41,40,35,42,43,39,38,41,40,35,42,43,39,38,41,40
1989,36,45,44,41,41,47,42,36,45,44,41,41,47,42,36,45,44,41,41,47,42,36,45,44,41,41,47,42
1990,41,39,44,54,45,42,44,41,39,44,54,45,42,44,41,39,44,54,45,42,44,41,39,44,54,45,42,44
1991,37,42,32,44,39,45,40,37,42,32,44,39,45,40,37,42,32,44,39,45,40,37,42,32,44,39,45,40
1992,45,44,35,43,49,50,44,45,44,35,43,49,50,44,45,44,35,43,49,50,44,45,44,35,43,49,50,44
1993,47,33,45,37,43,34,40,47,33,45,37,43,34,40,47,33,45,37,43,34,40,47,33,45,37,43,34,40
1994,48,56,38,37,48,37,44,48,56,38,37,48,37,44,48,56,38,37,48,37,44,48,56,38,37,48,37,44
1995,44,45,39,42,51,46,45,44,45,39,42,51,46,45,44,45,39,42,51,46,45,44,45,39,42,51,46,45
1996,48,41,43,48,42,48,45,48,41,43,48,42,48,45,48,41,43,48,42,48,45,48,41,43,48,42,48,45
1997,39,37,42,50,45,38,42,39,37,42,50,45,38,42,39,37,42,50,45,38,42,39,37,42,50,45,38,42
1998,38,34,44,38,46,43,41,38,34,44,38,46,43,41,38,34,44,38,46,43,41,38,34,44,38,46,43,41
1999,46,41,50,39,46,37,43,46,41,50,39,46,37,43,46,41,50,39,46,37,43,46,41,50,39,46,37,43
2000,41,44,41,39,37,42,41,41,44,41,39,37,42,41,41,44,41,39,37,42,41,41,44,41,39,37,42,41
2001,45,41,47,38,38,43,42,45,41,47,38,38,43,42,45,41,47,38,38,43,42,45,41,47,38,38,43,42
2002,42,43,38,31,48,33,39,42,43,38,31,48,33,39,42,43,38,31,48,33,39,42,43,38,31,48,33,39
2003,50,41,43,50,39,40,44,50,41,43,50,39,40,44,50,41,43,50,39,40,44,50,41,43,50,39,40,44
2004,45,41,41,39,39,45,42,45,41,41,39,39,45,42,45,41,41,39,39,45,42,45,41,41,39,39,45,42
2005,42,49,36,48,44,52,45,42,49,36,48,44,52,45,42,49,36,48,44,52,45,42,49,36,48,44,52,45
2006,31,42,50,39,35,45,40,41,41,49,47,41,39,43,44,54,37,33,55,39,44,40,42,41,43,36,56,43
2007,37,44,42,46,39,35,41,44,42,42,50,44,38,43,48,43,39,42,34,45,42,53,48,46,38,35,49,45
2008,30,47,40,44,44,43,41,39,51,37,51,43,41,44,47,44,39,37,38,46,42,46,50,48,43,49,50,48
2009,32,40,43,43,40,44,40,49,37,38,40,36,38,40,38,31,39,40,42,41,39,38,51,41,32,41,46,42
2010,32,47,37,48,41,50,43,42,34,34,41,50,39,40,37,43,44,44,37,42,41,48,49,43,44,37,35,43
2011,27,53,45,43,45,36,42,42,44,45,34,44,50,43,36,43,32,38,39,40,38,48,47,38,49,31,35,41
2012,34,37,41,36,34,43,38,40,30,54,43,37,54,43,43,45,47,42,46,46,45,44,40,42,40,43,45,42
2013,41,28,37,29,39,29,34,48,39,33,41,36,40,40,43,45,39,40,49,39,43,45,42,35,48,51,50,45
2014,46,41,44,41,38,38,41,58,38,38,51,48,36,45,48,51,45,40,40,48,45,40,37,44,41,43,46,42
2015,35,41,46,47,40,42,42,49,37,41,42,48,39,43,46,39,51,35,44,41,43,37,36,43,35,39,47,40
2016,42,42,40,48,35,37,41,57,43,40,28,33,39,40,49,45,42,46,42,33,43,50,50,47,44,36,33,43
2017,47,39,40,43,50,47,44,40,46,44,46,47,51,46,46,41,14,40,42,46,38,46,41,39,39,44,41,42
2018,38,41,44,39,37,42,40,40,38,35,40,43,40,39,41,39,21,42,36,42,37,46,40,45,40,45,50,44
2019,40,39,43,36,44,43,41,46,36,31,35,38,36,37,53,45,23,46,33,44,41,35,33,48,49,43,44,42
2020,38,50,39,44,38,37,41,41,37,43,41,34,45,40,42,42,19,46,43,48,40,39,43,46,43,40,47,43
2021,31,44,32,46,48,48,42,39,32,43,43,35,33,38,44,49,29,43,37,34,39,42,49,39,36,40,48,42
2022,41,36,40,49,48,41,43,43,40,43,41,47,44,43,44,49,33,39,39,42,41,40,40,45,40,46,45,43
2023,45,42,39,33,40,44,41,34,40,38,59,40,53,44,44,32,32,38,40,49,39,46,33,47,39,35,39,40
2024,42,38,40,35,46,45,41,42,37,45,50,44,51,45,36,42,30,48,35,54,41,35,40,42,41,35,41,39
2025,40,34,42,38,46,53,42,41,42,43,50,42,44,44,51,43,30,42,42,31,40,35,37,36,43,58,52,44
2026,42,46,38,47,42,41,43,46,44,37,46,51,38,44,45,42,30,33,42,37,38,41,36,39,45,42,42,41
2027,43,52,44,42,42,48,45,47,39,48,45,45,50,46,42,28,26,49,50,37,39,38,40,51,35,36,32,39
2028,42,36,43,47,44,34,41,37,41,41,53,31,37,40,45,39,23,41,37,41,38,49,43,57,46,38,44,46
2029,46,37,41,35,45,46,42,33,36,47,48,35,42,40,47,43,37,40,39,42,41,44,50,46,42,60,45,48
2030,30,46,39,48,46,39,41,47,33,45,43,43,40,42,36,42,32,47,28,37,37,41,42,38,38,54,48,44
2031,42,50,47,46,45,44,46,37,37,41,35,36,30,36,39,38,33,42,47,42,40,37,43,46,37,46,44,42
2032,39,42,38,52,36,39,41,33,51,39,52,39,39,42,38,32,30,35,40,45,37,37,35,45,44,34,28,37
2033,40,33,33,49,43,41,40,43,37,35,40,47,42,41,38,32,36,46,40,45,40,40,44,42,46,23,41,39
2034,46,43,41,32,38,43,41,49,42,42,45,47,43,45,35,36,30,44,39,41,38,42,43,47,34,39,34,40
2035,42,31,41,37,51,43,41,48,41,43,44,49,30,43,45,38,26,53,35,40,40,34,43,43,59,37,48,44
2036,48,42,33,52,27,43,41,38,35,34,42,37,44,38,37,42,34,38,46,45,40,46,41,36,42,48,47,43
2037,46,42,38,44,43,39,42,43,37,38,42,37,52,42,48,35,28,38,32,49,38,33,38,32,40,40,45,38
2038,43,45,43,47,44,35,43,40,39,38,30,39,41,38,36,33,31,41,37,38,36,37,37,35,45,38,46,40
2039,40,34,39,44,46,30,39,33,37,40,29,42,34,36,41,44,29,50,39,53,43,44,41,40,46,42,45,43
2040,42,51,50,48,34,37,44,38,29,39,52,33,40,39,46,43,16,34,38,42,37,51,42,36,42,47,33,42
2041,36,38,40,34,42,41,39,51,45,38,42,49,48,46,42,48,33,51,51,37,44,44,37,35,48,46,46,43
2042,38,37,53,37,43,47,43,44,35,48,43,44,37,42,42,35,20,31,45,35,35,41,42,48,51,38,42,44
2043,41,43,32,35,36,46,39,47,39,36,42,39,45,41,47,45,28,45,32,35,39,44,26,40,44,44,32,38
2044,36,37,37,39,50,43,40,42,27,43,40,43,41,39,46,44,22,44,35,39,38,32,36,41,49,46,46,42
2045,44,32,38,42,40,34,38,40,42,39,45,33,38,40,48,39,37,33,44,39,40,35,44,35,42,33,44,39
2046,45,41,48,38,44,48,44,40,45,37,40,42,35,40,41,30,36,38,33,47,38,36,44,36,37,41,32,38
2047,50,39,42,51,32,43,43,39,36,37,36,39,44,39,52,31,23,44,39,34,37,31,35,36,42,35,40,37
2048,52,41,35,47,31,45,42,36,42,38,51,40,54,44,39,47,31,35,36,40,38,42,37,38,47,33,44,40
2049,44,37,41,43,40,53,43,46,36,35,52,43,42,42,31,31,37,42,41,44,38,41,30,46,36,41,36,38
2050,46,46,42,40,41,52,45,37,39,38,37,44,51,41,32,42,40,43,41,49,41,40,37,41,42,39,40,40
2051,46,41,39,41,40,45,42,42,47,29,41,38,43,40,43,41,33,42,38,37,39,39,40,38,41,42,36,39
2052,37,37,34,59,29,47,41,46,36,44,41,48,47,44,36,35,30,52,38,51,40,40,47,40,37,42,45,42
2053,38,38,40,43,38,41,40,33,50,39,46,43,53,44,35,35,31,52,37,55,41,37,43,37,37,40,40,39
2054,34,40,35,40,40,43,39,45,40,33,44,35,54,42,33,37,29,43,43,43,38,46,32,49,53,45,42,45
2055,39,40,43,43,36,45,41,41,33,44,42,29,44,39,28,31,16,40,44,35,32,35,37,32,39,42,46,39
2056,45,39,36,51,37,42,42,40,50,39,39,34,52,42,52,32,31,42,40,38,39,46,37,28,49,48,45,42
2057,44,51,37,46,55,43,46,31,42,33,38,39,52,39,37,34,26,38,36,37,35,42,50,39,42,35,49,43
2058,48,41,42,41,45,32,42,39,41,43,35,39,29,38,40,39,30,46,38,41,39,27,29,29,45,45,42,36
2059,43,44,56,40,36,54,46,38,35,40,36,39,39,38,37,35,22,43,43,47,38,40,34,42,48,36,42,40
2060,45,44,31,50,46,32,41,49,45,39,41,46,32,42,45,38,30,38,36,54,40,35,34,49,44,46,30,40
2061,56,42,41,45,39,50,46,45,45,37,38,33,41,40,39,29,29,43,28,46,36,54,42,40,36,41,36,42
