Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,3,2,7,3,7,1,4,3,2,7,3,7,1,4,3,2,7,3,7,1,4,3,2,7,3,7,1,4
1973,5,0,2,3,1,2,2,5,0,2,3,1,2,2,5,0,2,3,1,2,2,5,0,2,3,1,2,2
1974,1,3,6,1,1,5,3,1,3,6,1,1,5,3,1,3,6,1,1,5,3,1,3,6,1,1,5,3
1975,0,1,1,0,0,4,1,0,1,1,0,0,4,1,0,1,1,0,0,4,1,0,1,1,0,0,4,1
1976,3,0,4,4,6,3,3,3,0,4,4,6,3,3,3,0,4,4,6,3,3,3,0,4,4,6,3,3
1977,6,0,0,6,3,4,3,6,0,0,6,3,4,3,6,0,0,6,3,4,3,6,0,0,6,3,4,3
1978,7,4,2,2,3,0,3,7,4,2,2,3,0,3,7,4,2,2,3,0,3,7,4,2,2,3,0,3
1979,5,0,0,9,2,2,3,5,0,0,9,2,2,3,5,0,0,9,2,2,3,5,0,0,9,2,2,3
1980,2,2,3,4,4,1,3,2,2,3,4,4,1,3,2,2,3,4,4,1,3,2,2,3,4,4,1,3
1981,1,0,3,0,5,9,3,1,0,3,0,5,9,3,1,0,3,0,5,9,3,1,0,3,0,5,9,3
1982,4,5,3,0,13,6,5,4,5,3,0,13,6,5,4,5,3,0,13,6,5,4,5,3,0,13,6,5
1983,0,7,3,2,1,0,2,0,7,3,2,1,0,2,0,7,3,2,1,0,2,0,7,3,2,1,0,2
1984,13,6,1,6,1,4,5,13,6,1,6,1,4,5,13,6,1,6,1,4,5,13,6,1,6,1,4,5
1985,4,4,2,7,2,3,4,4,4,2,7,2,3,4,4,4,2,7,2,3,4,4,4,2,7,2,3,4
1986,5,1,6,4,4,2,4,5,1,6,4,4,2,4,5,1,6,4,4,2,4,5,1,6,4,4,2,4
1987,3,7,3,10,2,3,5,3,7,3,10,2,3,5,3,7,3,10,2,3,5,3,7,3,10,2,3,5
1988,2,6,3,4,2,1,3,2,6,3,4,2,1,3,2,6,3,4,2,1,3,2,6,3,4,2,1,3
1989,7,2,1,1,4,1,3,7,2,1,1,4,1,3,7,2,1,1,4,1,3,7,2,1,1,4,1,3
1990,4,2,3,5,6,5,4,4,2,3,5,6,5,4,4,2,3,5,6,5,4,4,2,3,5,6,5,4
1991,1,7,4,1,8,1,4,1,7,4,1,8,1,4,1,7,4,1,8,1,4,1,7,4,1,8,1,4
1992,1,3,2,7,4,4,4,1,3,2,7,4,4,4,1,3,2,7,4,4,4,1,3,2,7,4,4,4
1993,4,3,1,0,2,6,3,4,3,1,0,2,6,3,4,3,1,0,2,6,3,4,3,1,0,2,6,3
1994,4,3,11,5,2,6,5,4,3,11,5,2,6,5,4,3,11,5,2,6,5,4,3,11,5,2,6,5
1995,2,7,8,3,5,6,5,2,7,8,3,5,6,5,2,7,8,3,5,6,5,2,7,8,3,5,6,5
1996,8,4,4,4,1,3,4,8,4,4,4,1,3,4,8,4,4,4,1,3,4,8,4,4,4,1,3,4
1997,2,5,9,7,0,9,5,2,5,9,7,0,9,5,2,5,9,7,0,9,5,2,5,9,7,0,9,5
