Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,35,40,31,39,41,47,39,35,40,31,39,41,47,39,35,40,31,39,41,47,39,35,40,31,39,41,47,39
1972,45,47,39,40,44,36,42,45,47,39,40,44,36,42,45,47,39,40,44,36,42,45,47,39,40,44,36,42
1973,41,44,33,57,41,40,43,41,44,33,57,41,40,43,41,44,33,57,41,40,43,41,44,33,57,41,40,43
1974,50,42,54,40,42,53,47,50,42,54,40,42,53,47,50,42,54,40,42,53,47,50,42,54,40,42,53,47
1975,53,61,38,40,31,35,43,53,61,38,40,31,35,43,53,61,38,40,31,35,43,53,61,38,40,31,35,43
1976,45,51,37,52,50,36,45,45,51,37,52,50,36,45,45,51,37,52,50,36,45,45,51,37,52,50,36,45
1977,56,40,38,38,36,46,42,56,40,38,38,36,46,42,56,40,38,38,36,46,42,56,40,38,38,36,46,42
1978,53,39,42,45,33,55,45,53,39,42,45,33,55,45,53,39,42,45,33,55,45,53,39,42,45,33,55,45
1979,57,49,27,38,23,35,38,57,49,27,38,23,35,38,57,49,27,38,23,35,38,57,49,27,38,23,35,38
1980,39,46,39,49,35,41,42,39,46,39,49,35,41,42,39,46,39,49,35,41,42,39,46,39,49,35,41,42
1981,48,39,35,44,41,29,39,48,39,35,44,41,29,39,48,39,35,44,41,29,39,48,39,35,44,41,29,39
1982,40,42,45,50,45,62,47,40,42,45,50,45,62,47,40,42,45,50,45,62,47,40,42,45,50,45,62,47
1983,38,45,25,30,34,48,37,38,45,25,30,34,48,37,38,45,25,30,34,48,37,38,45,25,30,34,48,37
1984,34,48,45,41,44,40,42,34,48,45,41,44,40,42,34,48,45,41,44,40,42,34,48,45,41,44,40,42
1985,46,33,45,30,44,37,39,46,33,45,30,44,37,39,46,33,45,30,44,37,39,46,33,45,30,44,37,39
1986,40,48,28,34,39,31,37,40,48,28,34,39,31,37,40,48,28,34,39,31,37,40,48,28,34,39,31,37
1987,37,46,41,46,40,47,43,37,46,41,46,40,47,43,37,46,41,46,40,47,43,37,46,41,46,40,47,43
1988,43,37,34,51,48,49,44,43,37,34,51,48,49,44,43,37,34,51,48,49,44,43,37,34,51,48,49,44
1989,40,53,47,43,36,27,41,40,53,47,43,36,27,41,40,53,47,43,36,27,41,40,53,47,43,36,27,41
1990,27,33,39,35,33,34,34,27,33,39,35,33,34,34,27,33,39,35,33,34,34,27,33,39,35,33,34,34
1991,49,38,46,50,39,35,43,49,38,46,50,39,35,43,49,38,46,50,39,35,43,49,38,46,50,39,35,43
1992,67,39,45,38,48,44,47,67,39,45,38,48,44,47,67,39,45,38,48,44,47,67,39,45,38,48,44,47
1993,44,47,46,42,48,40,45,44,47,46,42,48,40,45,44,47,46,42,48,40,45,44,47,46,42,48,40,45
1994,44,47,49,43,38,44,44,44,47,49,43,38,44,44,44,47,49,43,38,44,44,44,47,49,43,38,44,44
1995,44,47,48,32,47,36,42,44,47,48,32,47,36,42,44,47,48,32,47,36,42,44,47,48,32,47,36,42
1996,45,29,45,33,41,50,41,45,29,45,33,41,50,41,45,29,45,33,41,50,41,45,29,45,33,41,50,41
1997,46,31,42,48,33,43,41,46,31,42,48,33,43,41,46,31,42,48,33,43,41,46,31,42,48,33,43,41
1998,38,38,45,51,55,37,44,38,38,45,51,55,37,44,38,38,45,51,55,37,44,38,38,45,51,55,37,44
1999,36,46,40,45,43,48,43,36,46,40,45,43,48,43,36,46,40,45,43,48,43,36,46,40,45,43,48,43
2000,41,44,31,41,41,43,40,41,44,31,41,41,43,40,41,44,31,41,41,43,40,41,44,31,41,41,43,40
2001,40,37,44,46,29,52,41,40,37,44,46,29,52,41,40,37,44,46,29,52,41,40,37,44,46,29,52,41
2002,47,48,22,47,46,42,42,47,48,22,47,46,42,42,47,48,22,47,46,42,42,47,48,22,47,46,42,42
2003,34,35,33,44,45,37,38,34,35,33,44,45,37,38,34,35,33,44,45,37,38,34,35,33,44,45,37,38
2004,42,41,58,44,55,37,46,42,41,58,44,55,37,46,42,41,58,44,55,37,46,42,41,58,44,55,37,46
2005,40,43,28,50,44,43,41,40,43,28,50,44,43,41,40,43,28,50,44,43,41,40,43,28,50,44,43,41
2006,37,38,47,41,44,40,41,30,39,41,40,50,36,39,39,43,54,45,45,44,45,47,43,45,36,35,43,42
2007,43,23,43,40,54,44,41,41,37,41,48,47,35,42,40,36,45,50,42,38,42,37,48,51,54,43,40,46
2008,29,51,41,48,36,28,39,47,39,44,37,42,40,42,22,42,51,36,53,48,42,41,35,48,37,50,46,43
2009,41,44,36,36,39,45,40,33,35,45,37,50,36,39,41,46,39,40,43,52,44,47,45,39,46,39,38,42
2010,44,50,45,37,40,42,43,46,54,34,50,37,41,44,50,39,42,41,41,45,43,41,42,35,49,52,38,43
2011,42,46,54,52,33,55,47,42,40,40,45,37,39,41,41,55,39,39,31,42,41,39,36,39,36,41,47,40
2012,33,37,35,34,33,42,36,50,39,49,31,40,43,42,37,29,43,35,49,41,39,36,30,41,35,50,39,39
2013,59,40,30,37,47,42,43,38,53,39,53,35,28,41,38,47,26,35,40,42,38,46,36,51,34,38,41,41
2014,42,48,50,39,37,37,42,47,42,45,40,44,35,42,49,59,53,42,33,45,47,40,35,48,40,40,42,41
2015,42,59,34,34,30,38,40,45,33,34,38,43,38,39,34,39,38,42,41,32,38,36,36,34,49,44,42,40
2016,47,37,42,44,43,44,43,56,37,38,49,44,51,46,36,27,45,48,31,45,39,44,45,52,68,43,45,50
2017,46,38,30,40,37,31,37,39,33,43,46,44,38,41,38,33,37,41,35,39,37,37,42,36,35,39,40,38
2018,48,28,39,44,43,43,41,34,48,54,46,34,33,42,56,45,44,42,45,41,46,35,34,39,53,34,38,39
2019,33,42,48,39,33,51,41,38,45,37,51,42,44,43,31,45,29,24,47,47,37,42,40,36,46,37,40,40
2020,30,44,41,45,42,34,39,49,43,29,55,47,32,43,38,57,43,46,34,49,45,35,34,44,38,45,37,39
2021,39,39,47,39,40,44,41,43,45,40,39,41,38,41,38,36,45,39,32,47,40,42,44,25,35,46,54,41
2022,33,40,37,37,43,43,39,24,45,46,39,33,39,38,38,38,51,39,39,45,42,45,36,25,35,36,46,37
2023,43,40,35,41,40,49,41,45,41,42,39,42,35,41,34,62,34,50,40,46,44,41,40,35,43,35,40,39
2024,57,30,51,44,45,44,45,33,37,35,40,44,43,39,38,43,29,40,38,47,39,35,43,34,33,52,44,40
2025,41,44,41,49,35,50,43,48,43,36,38,40,43,41,35,51,40,38,31,26,37,40,46,41,46,44,44,44
2026,32,39,38,45,40,45,40,44,45,41,46,46,39,44,37,40,37,36,40,46,39,36,42,28,45,38,36,38
2027,40,44,48,43,46,57,46,48,34,51,35,44,29,40,26,42,38,45,49,49,42,38,40,36,39,39,35,38
2028,43,46,40,52,46,45,45,31,38,39,32,35,36,35,38,52,50,37,42,36,43,39,40,41,47,49,33,42
2029,57,51,33,42,48,38,45,29,43,33,33,50,44,39,47,55,50,42,45,37,46,28,44,47,30,43,47,40
2030,37,28,39,50,45,35,39,39,37,58,44,36,42,43,43,44,26,41,48,43,41,37,38,46,36,41,33,39
2031,50,40,41,33,56,37,43,39,41,32,38,44,29,37,39,32,45,40,53,47,43,30,46,39,29,37,49,38
2032,42,58,40,37,36,37,42,44,32,39,36,43,46,40,37,43,36,49,40,37,40,39,50,38,38,36,42,41
2033,37,42,52,42,35,30,40,46,49,44,39,37,43,43,37,38,32,44,52,41,41,35,39,34,43,34,42,38
2034,32,35,46,32,41,34,37,46,48,42,33,57,53,47,49,45,41,38,41,42,43,47,43,47,41,39,41,43
2035,35,39,36,42,40,27,37,48,29,40,32,40,42,39,49,48,32,53,35,54,45,36,47,27,45,32,46,39
2036,46,31,24,35,49,39,37,46,32,50,40,36,30,39,43,39,39,50,46,41,43,40,44,48,51,47,37,45
2037,50,42,48,34,41,36,42,35,44,37,40,42,43,40,35,30,33,42,47,41,38,41,50,47,55,42,42,46
2038,42,48,35,41,40,39,41,37,46,37,42,41,30,39,38,39,37,45,45,47,42,33,42,36,41,45,46,41
2039,35,40,48,33,33,38,38,39,29,30,33,36,42,35,27,53,39,35,40,33,38,48,34,35,41,46,36,40
2040,30,44,46,43,38,36,40,46,33,33,41,46,43,40,37,44,47,26,39,43,39,32,35,35,55,52,38,41
2041,45,54,47,39,44,45,46,39,37,44,32,46,37,39,49,31,54,38,39,45,43,30,51,42,53,40,39,43
2042,46,36,47,48,47,50,46,37,42,21,47,60,39,41,49,50,43,39,41,38,43,40,47,46,39,31,32,39
2043,37,38,35,36,41,44,39,40,47,43,45,49,41,44,40,47,36,34,51,32,40,39,41,39,45,42,39,41
2044,46,41,35,41,51,39,42,41,39,35,44,39,47,41,46,43,47,46,41,38,44,47,34,41,39,39,38,40
2045,32,43,40,36,49,45,41,32,42,45,46,44,38,41,44,38,34,37,53,41,41,49,28,54,39,46,36,42
2046,44,55,51,41,46,34,45,28,40,36,36,41,35,36,33,44,38,40,47,38,40,43,34,34,34,44,35,37
