Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,47,54,43,59,47,57,51,47,54,43,59,47,57,51,47,54,43,59,47,57,51,47,54,43,59,47,57,51
1972,62,53,53,49,53,52,54,62,53,53,49,53,52,54,62,53,53,49,53,52,54,62,53,53,49,53,52,54
1973,54,52,55,54,38,50,51,54,52,55,54,38,50,51,54,52,55,54,38,50,51,54,52,55,54,38,50,51
1974,52,55,43,48,45,52,49,52,55,43,48,45,52,49,52,55,43,48,45,52,49,52,55,43,48,45,52,49
1975,60,56,57,64,46,55,56,60,56,57,64,46,55,56,60,56,57,64,46,55,56,60,56,57,64,46,55,56
1976,62,48,61,56,54,51,55,62,48,61,56,54,51,55,62,48,61,56,54,51,55,62,48,61,56,54,51,55
1977,63,55,37,47,50,46,50,63,55,37,47,50,46,50,63,55,37,47,50,46,50,63,55,37,47,50,46,50
1978,51,53,61,64,47,41,53,51,53,61,64,47,41,53,51,53,61,64,47,41,53,51,53,61,64,47,41,53
1979,59,60,50,49,53,60,55,59,60,50,49,53,60,55,59,60,50,49,53,60,55,59,60,50,49,53,60,55
1980,72,51,49,41,58,38,52,72,51,49,41,58,38,52,72,51,49,41,58,38,52,72,51,49,41,58,38,52
1981,45,42,59,43,54,37,47,45,42,59,43,54,37,47,45,42,59,43,54,37,47,45,42,59,43,54,37,47
1982,55,50,42,48,49,59,51,55,50,42,48,49,59,51,55,50,42,48,49,59,51,55,50,42,48,49,59,51
1983,36,51,56,47,54,48,49,36,51,56,47,54,48,49,36,51,56,47,54,48,49,36,51,56,47,54,48,49
1984,58,59,49,42,52,50,52,58,59,49,42,52,50,52,58,59,49,42,52,50,52,58,59,49,42,52,50,52
1985,50,54,49,47,46,50,49,50,54,49,47,46,50,49,50,54,49,47,46,50,49,50,54,49,47,46,50,49
1986,43,55,55,52,50,62,53,43,55,55,52,50,62,53,43,55,55,52,50,62,53,43,55,55,52,50,62,53
1987,51,57,54,44,52,58,53,51,57,54,44,52,58,53,51,57,54,44,52,58,53,51,57,54,44,52,58,53
1988,50,48,61,59,53,49,53,50,48,61,59,53,49,53,50,48,61,59,53,49,53,50,48,61,59,53,49,53
1989,48,55,47,54,39,35,46,48,55,47,54,39,35,46,48,55,47,54,39,35,46,48,55,47,54,39,35,46
1990,54,48,52,44,54,48,50,54,48,52,44,54,48,50,54,48,52,44,54,48,50,54,48,52,44,54,48,50
1991,49,58,46,50,49,45,50,49,58,46,50,49,45,50,49,58,46,50,49,45,50,49,58,46,50,49,45,50
1992,49,56,49,48,44,54,50,49,56,49,48,44,54,50,49,56,49,48,44,54,50,49,56,49,48,44,54,50
1993,51,55,55,51,49,51,52,51,55,55,51,49,51,52,51,55,55,51,49,51,52,51,55,55,51,49,51,52
1994,58,60,63,63,58,52,59,58,60,63,63,58,52,59,58,60,63,63,58,52,59,58,60,63,63,58,52,59
1995,51,53,41,38,45,54,47,51,53,41,38,45,54,47,51,53,41,38,45,54,47,51,53,41,38,45,54,47
