Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,40,36,37,52,39,48,42,40,36,37,52,39,48,42,40,36,37,52,39,48,42,40,36,37,52,39,48,42
1973,35,40,36,30,31,48,37,35,40,36,30,31,48,37,35,40,36,30,31,48,37,35,40,36,30,31,48,37
1974,34,49,38,37,32,41,39,34,49,38,37,32,41,39,34,49,38,37,32,41,39,34,49,38,37,32,41,39
1975,45,60,40,50,31,56,47,45,60,40,50,31,56,47,45,60,40,50,31,56,47,45,60,40,50,31,56,47
1976,23,53,36,33,34,35,36,23,53,36,33,34,35,36,23,53,36,33,34,35,36,23,53,36,33,34,35,36
1977,41,61,38,32,38,49,43,41,61,38,32,38,49,43,41,61,38,32,38,49,43,41,61,38,32,38,49,43
1978,36,51,37,41,44,46,43,36,51,37,41,44,46,43,36,51,37,41,44,46,43,36,51,37,41,44,46,43
1979,42,37,43,26,41,34,37,42,37,43,26,41,34,37,42,37,43,26,41,34,37,42,37,43,26,41,34,37
1980,23,41,35,45,33,42,37,23,41,35,45,33,42,37,23,41,35,45,33,42,37,23,41,35,45,33,42,37
1981,53,45,32,43,30,23,38,53,45,32,43,30,23,38,53,45,32,43,30,23,38,53,45,32,43,30,23,38
1982,40,34,37,26,27,42,34,40,34,37,26,27,42,34,40,34,37,26,27,42,34,40,34,37,26,27,42,34
1983,47,47,41,39,47,41,44,47,47,41,39,47,41,44,47,47,41,39,47,41,44,47,47,41,39,47,41,44
1984,35,39,36,40,43,48,40,35,39,36,40,43,48,40,35,39,36,40,43,48,40,35,39,36,40,43,48,40
1985,43,37,42,43,39,23,38,43,37,42,43,39,23,38,43,37,42,43,39,23,38,43,37,42,43,39,23,38
1986,31,45,41,38,32,35,37,31,45,41,38,32,35,37,31,45,41,38,32,35,37,31,45,41,38,32,35,37
1987,44,46,46,22,39,50,41,44,46,46,22,39,50,41,44,46,46,22,39,50,41,44,46,46,22,39,50,41
1988,41,34,27,33,47,45,38,41,34,27,33,47,45,38,41,34,27,33,47,45,38,41,34,27,33,47,45,38
1989,40,54,51,43,31,42,44,40,54,51,43,31,42,44,40,54,51,43,31,42,44,40,54,51,43,31,42,44
1990,33,38,44,39,30,29,36,33,38,44,39,30,29,36,33,38,44,39,30,29,36,33,38,44,39,30,29,36
1991,37,45,34,41,34,43,39,37,45,34,41,34,43,39,37,45,34,41,34,43,39,37,45,34,41,34,43,39
1992,58,40,46,34,33,39,42,58,40,46,34,33,39,42,58,40,46,34,33,39,42,58,40,46,34,33,39,42
1993,36,40,56,38,47,40,43,36,40,56,38,47,40,43,36,40,56,38,47,40,43,36,40,56,38,47,40,43
1994,51,30,40,38,43,39,40,51,30,40,38,43,39,40,51,30,40,38,43,39,40,51,30,40,38,43,39,40
1995,51,40,45,29,36,36,40,51,40,45,29,36,36,40,51,40,45,29,36,36,40,51,40,45,29,36,36,40
1996,37,38,49,45,43,42,42,37,38,49,45,43,42,42,37,38,49,45,43,42,42,37,38,49,45,43,42,42
1997,25,33,29,39,41,52,37,25,33,29,39,41,52,37,25,33,29,39,41,52,37,25,33,29,39,41,52,37
1998,23,36,29,30,40,31,32,23,36,29,30,40,31,32,23,36,29,30,40,31,32,23,36,29,30,40,31,32
1999,41,34,33,28,38,18,32,41,34,33,28,38,18,32,41,34,33,28,38,18,32,41,34,33,28,38,18,32
2000,30,38,26,41,36,34,34,30,38,26,41,36,34,34,30,38,26,41,36,34,34,30,38,26,41,36,34,34
2001,40,29,43,39,40,30,37,40,29,43,39,40,30,37,40,29,43,39,40,30,37,40,29,43,39,40,30,37
2002,55,44,55,32,48,39,46,55,44,55,32,48,39,46,55,44,55,32,48,39,46,55,44,55,32,48,39,46
2003,43,43,36,43,47,42,42,43,43,36,43,47,42,42,43,43,36,43,47,42,42,43,43,36,43,47,42,42
2004,35,51,31,40,29,46,39,35,51,31,40,29,46,39,35,51,31,40,29,46,39,35,51,31,40,29,46,39
2005,48,31,44,48,23,36,38,48,31,44,48,23,36,38,48,31,44,48,23,36,38,48,31,44,48,23,36,38
2006,38,43,38,43,30,30,37,27,44,25,42,26,35,33,35,43,32,35,37,32,36,41,49,34,33,35,35,38
2007,19,39,44,29,41,35,35,32,30,35,33,36,33,33,28,44,34,39,40,43,38,27,34,38,37,33,28,33
2008,42,57,35,27,34,30,38,33,40,41,37,37,44,39,36,46,47,39,45,29,40,47,27,38,47,40,43,40
2009,30,42,34,37,42,22,35,42,18,51,34,32,29,34,39,49,50,38,39,37,42,41,27,34,24,55,35,36
2010,41,32,35,28,46,35,36,34,37,37,40,34,32,36,39,48,39,44,40,35,41,47,46,29,32,38,38,38
2011,27,32,50,40,38,39,38,51,30,36,47,39,38,40,36,44,41,33,41,38,39,33,34,40,48,33,29,36
2012,46,39,40,30,45,36,39,49,32,24,43,41,37,38,48,33,43,44,40,32,40,38,36,34,28,38,46,37
