Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,60,54,39,44,48,52,50,60,54,39,44,48,52,50,60,54,39,44,48,52,50,60,54,39,44,48,52,50
1972,44,57,51,54,38,43,48,44,57,51,54,38,43,48,44,57,51,54,38,43,48,44,57,51,54,38,43,48
1973,34,55,37,39,45,40,42,34,55,37,39,45,40,42,34,55,37,39,45,40,42,34,55,37,39,45,40,42
1974,33,34,26,43,48,36,37,33,34,26,43,48,36,37,33,34,26,43,48,36,37,33,34,26,43,48,36,37
1975,45,38,54,48,45,39,45,45,38,54,48,45,39,45,45,38,54,48,45,39,45,45,38,54,48,45,39,45
1976,40,39,56,48,36,49,45,40,39,56,48,36,49,45,40,39,56,48,36,49,45,40,39,56,48,36,49,45
1977,37,42,26,34,37,39,36,37,42,26,34,37,39,36,37,42,26,34,37,39,36,37,42,26,34,37,39,36
1978,47,49,47,53,35,42,46,47,49,47,53,35,42,46,47,49,47,53,35,42,46,47,49,47,53,35,42,46
1979,38,44,35,48,44,50,43,38,44,35,48,44,50,43,38,44,35,48,44,50,43,38,44,35,48,44,50,43
1980,54,43,52,48,45,51,49,54,43,52,48,45,51,49,54,43,52,48,45,51,49,54,43,52,48,45,51,49
1981,43,47,53,50,43,47,47,43,47,53,50,43,47,47,43,47,53,50,43,47,47,43,47,53,50,43,47,47
1982,57,42,38,32,51,44,44,57,42,38,32,51,44,44,57,42,38,32,51,44,44,57,42,38,32,51,44,44
1983,39,32,47,48,47,48,44,39,32,47,48,47,48,44,39,32,47,48,47,48,44,39,32,47,48,47,48,44
1984,40,48,29,35,48,51,42,40,48,29,35,48,51,42,40,48,29,35,48,51,42,40,48,29,35,48,51,42
1985,59,45,48,42,51,54,50,59,45,48,42,51,54,50,59,45,48,42,51,54,50,59,45,48,42,51,54,50
1986,32,35,35,46,30,40,36,32,35,35,46,30,40,36,32,35,35,46,30,40,36,32,35,35,46,30,40,36
1987,43,47,46,37,48,38,43,43,47,46,37,48,38,43,43,47,46,37,48,38,43,43,47,46,37,48,38,43
1988,44,34,40,47,34,39,40,44,34,40,47,34,39,40,44,34,40,47,34,39,40,44,34,40,47,34,39,40
1989,40,38,47,46,45,43,43,40,38,47,46,45,43,43,40,38,47,46,45,43,43,40,38,47,46,45,43,43
1990,51,46,46,46,42,48,47,51,46,46,46,42,48,47,51,46,46,46,42,48,47,51,46,46,46,42,48,47
1991,32,53,47,42,42,43,43,32,53,47,42,42,43,43,32,53,47,42,42,43,43,32,53,47,42,42,43,43
1992,47,43,56,40,31,38,43,47,43,56,40,31,38,43,47,43,56,40,31,38,43,47,43,56,40,31,38,43
1993,45,58,36,54,39,31,44,45,58,36,54,39,31,44,45,58,36,54,39,31,44,45,58,36,54,39,31,44
1994,45,33,35,50,35,47,41,45,33,35,50,35,47,41,45,33,35,50,35,47,41,45,33,35,50,35,47,41
1995,28,49,46,48,42,48,44,28,49,46,48,42,48,44,28,49,46,48,42,48,44,28,49,46,48,42,48,44
1996,44,31,42,45,53,32,41,44,31,42,45,53,32,41,44,31,42,45,53,32,41,44,31,42,45,53,32,41
1997,44,34,43,43,43,32,40,44,34,43,43,43,32,40,44,34,43,43,43,32,40,44,34,43,43,43,32,40
1998,34,44,41,40,47,37,41,34,44,41,40,47,37,41,34,44,41,40,47,37,41,34,44,41,40,47,37,41
1999,36,46,51,29,42,48,42,36,46,51,29,42,48,42,36,46,51,29,42,48,42,36,46,51,29,42,48,42
2000,40,43,32,50,42,26,39,40,43,32,50,42,26,39,40,43,32,50,42,26,39,40,43,32,50,42,26,39
2001,45,51,31,32,45,37,40,45,51,31,32,45,37,40,45,51,31,32,45,37,40,45,51,31,32,45,37,40
2002,36,47,55,43,43,49,46,36,47,55,43,43,49,46,36,47,55,43,43,49,46,36,47,55,43,43,49,46
2003,44,45,50,41,55,48,47,44,45,50,41,55,48,47,44,45,50,41,55,48,47,44,45,50,41,55,48,47
2004,36,42,53,49,28,58,44,36,42,53,49,28,58,44,36,42,53,49,28,58,44,36,42,53,49,28,58,44
2005,42,45,52,42,47,40,45,42,45,52,42,47,40,45,42,45,52,42,47,40,45,42,45,52,42,47,40,45
2006,51,48,50,31,44,55,47,40,38,50,41,44,54,45,55,41,35,43,34,50,43,45,39,50,39,30,41,41
2007,54,46,43,45,44,43,46,37,47,51,52,50,52,48,43,46,45,47,49,52,47,46,41,51,43,61,45,48
2008,40,47,47,46,38,40,43,52,41,45,53,49,51,49,42,56,38,58,58,35,48,46,53,52,32,50,50,47
2009,49,56,46,21,44,50,44,41,36,51,43,54,35,43,53,44,50,41,44,41,46,50,41,39,50,35,48,44
2010,45,42,38,41,38,43,41,39,41,42,53,42,51,45,54,55,54,52,36,37,48,37,47,48,41,47,56,46
2011,56,38,41,48,44,45,45,40,34,45,58,51,34,44,35,44,43,36,37,39,39,50,49,44,53,48,53,50
2012,36,48,51,41,60,54,48,43,48,42,27,47,38,41,37,34,56,47,47,48,45,52,46,35,46,45,44,45
2013,63,35,38,45,45,47,46,49,42,24,49,48,48,43,54,50,42,35,33,44,43,37,35,53,43,45,36,42
2014,24,40,47,46,46,53,43,38,49,45,51,26,41,42,39,29,40,45,38,40,39,46,49,45,37,42,48,45
2015,46,65,40,44,42,40,46,40,58,42,39,41,47,45,46,42,46,52,47,53,48,49,55,49,56,55,37,50
2016,54,45,32,40,57,40,45,43,42,35,65,50,30,44,42,54,49,46,52,31,46,50,39,46,55,37,50,46
2017,48,60,48,41,45,33,46,44,41,57,51,48,49,48,28,43,18,40,34,31,32,39,47,48,39,53,49,46
2018,40,37,42,40,47,42,41,49,52,59,38,32,36,44,32,40,38,50,55,51,44,35,36,31,33,48,35,36
2019,40,37,40,38,51,35,40,42,40,41,27,45,48,41,51,50,35,66,44,55,50,53,50,26,38,53,32,42
2020,48,46,36,41,42,58,45,38,61,38,44,40,42,44,54,51,25,45,51,47,46,60,60,62,40,37,56,53
2021,42,38,44,44,40,46,42,50,45,37,42,52,57,47,34,44,37,40,34,43,39,66,52,43,48,51,47,51
2022,40,41,55,54,41,41,45,56,40,42,61,50,44,49,42,49,48,47,58,40,47,51,46,45,38,44,59,47
2023,55,31,48,44,40,38,43,44,43,52,36,47,42,44,41,50,38,44,47,44,44,45,48,61,49,53,52,51
2024,50,41,46,44,49,48,46,38,52,56,32,45,38,44,36,69,42,27,47,41,44,53,49,54,36,41,52,48
2025,46,43,37,41,41,43,42,50,49,40,42,39,42,44,43,61,25,39,43,40,42,46,46,42,30,46,41,42
2026,49,47,33,55,55,34,46,38,46,45,40,37,37,41,43,44,32,51,48,48,44,39,51,48,35,47,40,43
2027,38,34,45,39,49,37,40,43,43,42,44,53,46,45,35,40,33,43,55,52,43,49,52,39,46,48,49,47
2028,37,46,48,56,53,48,48,55,27,44,34,56,28,41,45,38,26,60,45,41,43,40,44,38,38,33,42,39
2029,54,43,44,53,32,43,45,49,50,49,50,41,48,48,52,47,38,39,52,36,44,36,41,47,42,51,38,43
2030,57,45,42,19,45,44,42,41,70,35,49,43,48,48,40,41,41,52,53,47,46,35,52,53,40,45,49,46
2031,53,43,51,55,47,38,48,43,51,52,45,53,38,47,62,54,37,48,46,49,49,63,46,44,41,46,47,48
2032,34,41,43,39,45,44,41,42,42,48,35,49,51,45,41,49,36,38,40,53,43,44,37,38,43,44,63,45
2033,47,55,58,51,39,48,50,30,45,40,35,34,43,38,51,48,34,60,48,53,49,48,41,50,48,41,56,47
2034,40,40,55,40,39,51,44,43,51,45,32,48,50,45,42,52,48,44,48,41,46,51,45,42,46,38,36,43
2035,43,49,48,46,33,45,44,28,38,52,36,47,37,40,44,47,38,36,48,52,44,46,52,44,42,48,43,46
2036,34,44,49,49,34,48,43,36,41,46,53,43,38,43,53,50,28,53,55,51,48,43,47,39,61,43,58,49
2037,39,46,53,40,61,39,46,46,48,32,47,54,35,44,43,45,38,32,46,41,41,46,50,46,51,52,49,49
2038,38,38,46,34,47,45,41,47,46,37,39,46,45,43,41,37,41,42,62,40,44,36,52,48,43,45,35,43
2039,39,36,55,45,53,35,44,52,43,49,42,48,40,46,44,46,35,35,42,53,43,47,53,43,50,46,49,48
2040,55,50,48,47,38,33,45,50,42,36,27,43,53,42,45,65,32,40,48,32,44,41,50,42,48,37,42,43
2041,45,39,44,50,53,33,44,39,47,42,35,40,34,40,41,43,34,37,34,45,39,52,45,56,55,40,47,49
2042,50,36,49,48,51,53,48,42,40,48,49,63,43,48,44,44,31,56,52,49,46,45,29,30,48,54,38,41
2043,50,46,52,50,42,42,47,47,28,50,55,51,51,47,33,42,28,48,50,42,41,54,49,52,54,44,56,52
2044,48,53,45,31,48,44,45,31,57,53,36,41,51,45,49,38,34,36,43,54,42,60,43,53,52,55,45,51
2045,41,57,43,41,52,58,49,42,46,63,53,48,49,50,44,54,44,42,60,54,50,33,50,44,51,42,49,45
2046,56,50,41,46,40,48,47,32,38,56,33,58,48,44,43,51,35,40,37,37,41,19,45,57,48,48,40,43
2047,43,55,51,38,48,49,47,40,51,47,45,50,49,47,31,51,38,39,45,43,41,48,46,28,50,39,45,43
2048,39,58,51,42,50,49,48,39,58,48,56,47,46,49,39,42,36,45,51,45,43,43,47,43,49,56,40,46
2049,57,46,38,44,35,40,43,41,48,43,62,40,44,46,56,43,39,50,51,44,47,42,39,52,40,42,52,45
2050,46,43,48,47,48,30,44,47,35,38,57,52,43,45,41,36,50,43,44,26,40,57,39,45,34,54,44,46
2051,40,29,42,48,36,42,40,41,50,57,55,40,43,48,41,49,38,46,48,36,43,32,52,38,55,48,50,46
2052,41,52,55,29,58,48,47,43,58,38,32,25,56,42,49,49,37,42,53,34,44,58,52,51,51,49,52,52
2053,49,46,43,52,39,47,46,43,50,54,49,43,61,50,52,40,35,36,53,53,45,47,39,48,59,44,38,46
2054,40,57,34,52,54,40,46,41,53,47,53,46,54,49,42,47,28,56,52,52,46,42,43,51,39,52,46,46
2055,44,55,48,49,58,45,50,45,39,41,36,52,36,42,47,44,34,39,34,43,40,45,47,48,50,47,40,46
2056,33,49,52,43,42,45,44,50,48,43,55,53,33,47,38,63,22,50,52,40,44,60,50,47,50,52,41,50
2057,50,38,53,34,32,39,41,42,41,45,51,46,50,46,42,49,37,49,53,34,44,36,40,44,40,60,42,44
2058,39,53,47,52,45,45,47,38,50,44,46,47,55,47,36,34,37,34,43,38,37,47,33,45,47,52,44,45
2059,40,45,34,47,37,38,40,53,44,37,57,46,46,47,41,48,40,62,47,45,47,44,50,62,44,67,45,52
2060,55,28,51,45,62,45,48,53,46,36,39,44,34,42,48,67,42,38,45,21,44,36,47,59,42,47,54,48
2061,36,50,49,48,51,38,45,37,57,41,51,49,45,47,48,45,32,38,48,32,41,50,46,46,41,50,53,48
2062,53,68,48,38,43,43,49,52,38,55,56,48,42,49,43,53,36,49,42,34,43,42,55,46,49,53,61,51
2063,42,57,47,47,46,38,46,36,40,51,41,49,43,43,36,58,42,52,45,46,47,50,52,55,47,52,53,52
2064,50,41,56,56,38,44,48,49,45,41,44,50,47,46,37,51,37,57,41,47,45,42,60,49,43,44,50,48
