Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,3,12,0,5,1,7,5,3,12,0,5,1,7,5,3,12,0,5,1,7,5,3,12,0,5,1,7,5
1972,0,2,3,2,1,1,2,0,2,3,2,1,1,2,0,2,3,2,1,1,2,0,2,3,2,1,1,2
1973,11,2,0,1,5,4,4,11,2,0,1,5,4,4,11,2,0,1,5,4,4,11,2,0,1,5,4,4
1974,1,0,4,3,1,0,2,1,0,4,3,1,0,2,1,0,4,3,1,0,2,1,0,4,3,1,0,2
1975,3,4,0,2,7,2,3,3,4,0,2,7,2,3,3,4,0,2,7,2,3,3,4,0,2,7,2,3
1976,8,1,2,3,0,0,2,8,1,2,3,0,0,2,8,1,2,3,0,0,2,8,1,2,3,0,0,2
1977,0,0,5,2,2,6,3,0,0,5,2,2,6,3,0,0,5,2,2,6,3,0,0,5,2,2,6,3
1978,7,0,2,3,2,1,3,7,0,2,3,2,1,3,7,0,2,3,2,1,3,7,0,2,3,2,1,3
1979,7,3,1,0,3,8,4,7,3,1,0,3,8,4,7,3,1,0,3,8,4,7,3,1,0,3,8,4
1980,8,2,1,9,0,0,3,8,2,1,9,0,0,3,8,2,1,9,0,0,3,8,2,1,9,0,0,3
1981,3,4,1,0,6,1,3,3,4,1,0,6,1,3,3,4,1,0,6,1,3,3,4,1,0,6,1,3
1982,2,2,1,2,6,2,3,2,2,1,2,6,2,3,2,2,1,2,6,2,3,2,2,1,2,6,2,3
1983,2,1,1,9,1,0,2,2,1,1,9,1,0,2,2,1,1,9,1,0,2,2,1,1,9,1,0,2
1984,2,2,1,1,5,8,3,2,2,1,1,5,8,3,2,2,1,1,5,8,3,2,2,1,1,5,8,3
1985,1,1,2,3,1,5,2,1,1,2,3,1,5,2,1,1,2,3,1,5,2,1,1,2,3,1,5,2
1986,0,3,4,1,3,3,2,0,3,4,1,3,3,2,0,3,4,1,3,3,2,0,3,4,1,3,3,2
1987,0,1,0,3,1,7,2,0,1,0,3,1,7,2,0,1,0,3,1,7,2,0,1,0,3,1,7,2
1988,0,0,1,5,3,11,3,0,0,1,5,3,11,3,0,0,1,5,3,11,3,0,0,1,5,3,11,3
1989,6,0,6,1,1,6,3,6,0,6,1,1,6,3,6,0,6,1,1,6,3,6,0,6,1,1,6,3
1990,2,5,9,2,4,4,4,2,5,9,2,4,4,4,2,5,9,2,4,4,4,2,5,9,2,4,4,4
1991,1,4,6,13,9,8,7,1,4,6,13,9,8,7,1,4,6,13,9,8,7,1,4,6,13,9,8,7
1992,6,6,1,4,2,0,3,6,6,1,4,2,0,3,6,6,1,4,2,0,3,6,6,1,4,2,0,3
1993,7,1,0,4,3,0,3,7,1,0,4,3,0,3,7,1,0,4,3,0,3,7,1,0,4,3,0,3
1994,1,1,5,2,1,4,2,1,1,5,2,1,4,2,1,1,5,2,1,4,2,1,1,5,2,1,4,2
1995,4,3,1,1,6,1,3,4,3,1,1,6,1,3,4,3,1,1,6,1,3,4,3,1,1,6,1,3
1996,3,1,3,0,9,5,4,3,1,3,0,9,5,4,3,1,3,0,9,5,4,3,1,3,0,9,5,4
1997,15,4,1,7,1,1,5,15,4,1,7,1,1,5,15,4,1,7,1,1,5,15,4,1,7,1,1,5
