Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,13,18,41,26,27,10,23,13,18,41,26,27,10,23,13,18,41,26,27,10,23,13,18,41,26,27,10,23
1973,29,30,20,23,12,12,21,29,30,20,23,12,12,21,29,30,20,23,12,12,21,29,30,20,23,12,12,21
1974,4,20,17,18,17,11,15,4,20,17,18,17,11,15,4,20,17,18,17,11,15,4,20,17,18,17,11,15
1975,15,23,22,28,43,28,27,15,23,22,28,43,28,27,15,23,22,28,43,28,27,15,23,22,28,43,28,27
1976,31,25,27,27,13,5,21,31,25,27,27,13,5,21,31,25,27,27,13,5,21,31,25,27,27,13,5,21
1977,7,16,24,13,6,17,14,7,16,24,13,6,17,14,7,16,24,13,6,17,14,7,16,24,13,6,17,14
1978,23,22,25,27,14,26,23,23,22,25,27,14,26,23,23,22,25,27,14,26,23,23,22,25,27,14,26,23
1979,28,23,8,15,14,43,22,28,23,8,15,14,43,22,28,23,8,15,14,43,22,28,23,8,15,14,43,22
1980,20,13,22,39,24,37,26,20,13,22,39,24,37,26,20,13,22,39,24,37,26,20,13,22,39,24,37,26
1981,17,21,28,14,33,29,24,17,21,28,14,33,29,24,17,21,28,14,33,29,24,17,21,28,14,33,29,24
1982,21,26,12,16,31,21,21,21,26,12,16,31,21,21,21,26,12,16,31,21,21,21,26,12,16,31,21,21
1983,16,20,39,38,21,30,27,16,20,39,38,21,30,27,16,20,39,38,21,30,27,16,20,39,38,21,30,27
1984,33,13,28,14,28,29,24,33,13,28,14,28,29,24,33,13,28,14,28,29,24,33,13,28,14,28,29,24
1985,15,17,12,16,17,29,18,15,17,12,16,17,29,18,15,17,12,16,17,29,18,15,17,12,16,17,29,18
1986,25,22,24,17,20,12,20,25,22,24,17,20,12,20,25,22,24,17,20,12,20,25,22,24,17,20,12,20
1987,10,19,7,23,15,25,17,10,19,7,23,15,25,17,10,19,7,23,15,25,17,10,19,7,23,15,25,17
1988,6,12,32,13,19,32,19,6,12,32,13,19,32,19,6,12,32,13,19,32,19,6,12,32,13,19,32,19
1989,18,23,13,23,23,25,21,18,23,13,23,23,25,21,18,23,13,23,23,25,21,18,23,13,23,23,25,21
1990,24,36,38,13,31,11,26,24,36,38,13,31,11,26,24,36,38,13,31,11,26,24,36,38,13,31,11,26
1991,19,25,37,30,31,48,32,19,25,37,30,31,48,32,19,25,37,30,31,48,32,19,25,37,30,31,48,32
1992,21,16,34,22,27,37,26,21,16,34,22,27,37,26,21,16,34,22,27,37,26,21,16,34,22,27,37,26
1993,19,14,25,13,23,24,20,19,14,25,13,23,24,20,19,14,25,13,23,24,20,19,14,25,13,23,24,20
1994,30,13,31,20,23,30,25,30,13,31,20,23,30,25,30,13,31,20,23,30,25,30,13,31,20,23,30,25
1995,29,33,28,16,15,11,22,29,33,28,16,15,11,22,29,33,28,16,15,11,22,29,33,28,16,15,11,22
1996,16,26,23,16,24,31,23,16,26,23,16,24,31,23,16,26,23,16,24,31,23,16,26,23,16,24,31,23
1997,41,20,13,36,27,24,27,41,20,13,36,27,24,27,41,20,13,36,27,24,27,41,20,13,36,27,24,27
1998,33,31,17,19,11,23,22,33,31,17,19,11,23,22,33,31,17,19,11,23,22,33,31,17,19,11,23,22
1999,19,19,29,47,23,26,27,19,19,29,47,23,26,27,19,19,29,47,23,26,27,19,19,29,47,23,26,27
2000,19,42,34,38,16,20,28,19,42,34,38,16,20,28,19,42,34,38,16,20,28,19,42,34,38,16,20,28
2001,42,32,26,35,25,40,33,42,32,26,35,25,40,33,42,32,26,35,25,40,33,42,32,26,35,25,40,33
2002,35,20,32,13,4,33,23,35,20,32,13,4,33,23,35,20,32,13,4,33,23,35,20,32,13,4,33,23
2003,28,17,29,14,4,13,18,28,17,29,14,4,13,18,28,17,29,14,4,13,18,28,17,29,14,4,13,18
2004,7,42,52,20,7,41,28,7,42,52,20,7,41,28,7,42,52,20,7,41,28,7,42,52,20,7,41,28
2005,30,19,25,7,0,14,16,30,19,25,7,0,14,16,30,19,25,7,0,14,16,30,19,25,7,0,14,16
2006,27,32,28,52,31,33,34,32,25,40,55,20,28,33,25,20,34,47,20,18,27,20,35,37,47,22,33,32
2007,31,34,36,33,19,38,32,16,43,44,10,6,27,24,28,19,46,19,13,19,24,25,30,24,22,25,22,25
2008,9,24,33,21,43,27,26,15,41,27,15,8,11,20,12,29,13,40,33,15,24,29,43,55,31,37,14,35
2009,50,26,31,33,34,18,32,30,24,58,38,18,32,33,26,23,30,24,43,19,28,46,20,36,24,31,45,34
2010,24,31,50,17,34,31,31,24,23,22,32,22,24,25,27,14,15,35,20,46,26,34,28,29,13,50,31,31
2011,23,20,50,37,10,40,30,18,39,22,36,56,25,33,31,28,36,23,38,34,32,16,35,31,32,25,28,28
2012,36,25,14,17,17,24,22,22,21,31,26,25,8,22,25,9,52,22,32,18,26,16,21,33,20,27,23,23
2013,26,20,28,47,29,45,33,35,33,37,39,33,14,32,43,20,40,21,53,42,37,30,25,30,7,36,22,25
2014,21,39,21,30,30,22,27,16,27,33,21,39,47,31,25,31,25,29,43,24,30,20,35,33,37,33,36,32
2015,23,25,55,11,41,20,29,14,31,23,38,19,32,26,29,45,35,32,36,19,33,26,34,39,27,23,11,27
2016,19,49,41,26,25,14,29,23,26,50,35,20,35,32,47,22,55,22,21,26,32,21,45,22,38,41,28,33
2017,31,45,38,56,56,33,43,42,22,45,36,28,16,32,33,43,37,21,33,17,31,19,14,20,41,12,26,22
2018,16,43,35,23,38,20,29,27,57,54,19,24,23,34,23,40,56,16,38,11,31,42,23,37,30,14,24,28
2019,38,18,30,32,35,28,30,39,30,38,20,44,25,33,20,24,39,49,15,31,30,11,23,48,13,30,29,26
2020,26,31,61,30,41,25,36,24,24,48,31,28,11,28,21,47,30,26,24,28,29,25,44,27,14,45,29,31
2021,22,37,49,23,29,36,33,20,23,52,26,26,29,29,19,30,51,23,25,36,31,41,25,33,45,34,31,35
2022,42,28,37,31,21,18,30,19,37,29,18,30,28,27,39,48,30,25,37,32,35,43,47,36,20,31,17,32
2023,30,21,40,43,33,22,32,56,34,32,44,15,54,39,48,28,38,21,33,19,31,19,23,17,31,30,22,24
2024,27,20,43,20,44,31,31,49,37,30,26,55,44,40,23,32,40,26,38,43,34,33,32,50,36,48,28,38
2025,36,21,40,43,38,30,35,30,52,21,26,32,25,31,37,21,27,20,61,20,31,31,19,24,29,38,12,26
2026,26,24,44,38,31,22,31,45,40,46,50,49,36,44,27,24,36,25,29,23,27,60,45,48,11,24,19,35
2027,29,20,26,41,30,41,31,33,48,16,39,33,33,34,33,45,48,32,39,27,37,31,33,58,31,26,46,38
2028,32,13,42,24,33,41,31,25,37,36,34,51,27,35,28,20,43,33,18,43,31,28,36,41,19,19,25,28
2029,37,23,30,33,43,40,34,32,24,42,30,41,24,32,38,30,45,32,28,24,33,36,51,49,41,39,36,42
2030,45,53,22,41,35,31,38,21,37,37,31,34,29,32,63,30,53,39,44,31,43,37,41,32,26,49,37,37
2031,22,40,57,46,45,44,42,39,27,64,28,31,36,38,25,28,42,17,45,28,31,19,48,45,25,39,32,35
2032,39,31,32,28,31,23,31,33,21,50,42,29,30,34,22,29,39,32,47,35,34,42,39,32,24,40,30,35
2033,23,27,28,44,29,26,30,26,20,34,43,28,35,31,39,31,34,27,35,33,33,21,33,33,29,32,38,31
2034,33,42,39,18,40,26,33,34,35,30,39,41,37,36,27,43,32,27,46,16,32,42,26,58,22,41,44,39
2035,54,26,44,31,35,29,37,20,42,69,29,44,33,40,13,29,36,48,51,26,34,22,42,38,56,27,29,36
2036,32,44,40,32,39,56,41,42,44,58,30,49,17,40,31,39,41,15,44,50,37,46,47,46,19,28,30,36
2037,38,47,31,37,43,30,38,21,39,43,46,40,25,36,52,18,48,48,46,25,40,30,32,43,37,48,43,39
2038,24,33,47,15,25,39,31,44,55,45,27,42,36,42,36,35,43,17,28,44,34,29,35,55,45,44,51,43
2039,26,43,40,19,55,21,34,43,34,42,32,38,46,39,26,46,36,39,60,37,41,42,30,36,41,43,33,38
2040,14,31,48,26,53,31,34,44,39,31,29,50,36,38,18,17,40,40,29,46,32,38,28,56,51,51,27,42
2041,31,45,23,13,47,23,30,47,36,57,20,49,51,43,27,45,37,49,42,32,39,45,40,51,38,52,45,45
2042,43,33,59,32,49,25,40,42,35,50,25,51,42,41,31,41,26,41,40,55,39,48,44,49,62,64,46,52
2043,35,45,18,34,34,20,31,55,25,47,27,34,34,37,33,37,33,33,31,28,33,45,39,46,43,29,40,40
2044,43,30,47,46,44,41,42,32,42,48,48,35,57,44,30,22,43,31,36,41,34,52,70,47,48,49,21,48
2045,38,30,49,23,37,23,33,28,58,60,40,48,44,46,35,52,52,26,55,30,42,47,49,59,43,36,68,50
2046,24,28,44,30,46,31,34,60,60,53,43,36,38,48,34,45,64,34,27,29,39,16,68,63,24,42,57,45
2047,52,49,41,25,37,23,38,44,30,42,24,41,38,37,28,27,57,48,45,21,38,46,54,32,30,48,49,43
2048,57,65,29,45,31,25,42,29,50,58,44,35,29,41,57,30,36,23,38,39,37,33,44,37,29,67,26,39
2049,26,43,46,25,35,32,35,32,50,40,33,44,39,40,47,35,48,26,56,36,41,40,46,56,26,72,57,50
2050,55,62,41,24,41,32,43,33,34,54,51,51,55,46,36,34,58,39,60,52,47,38,38,51,44,45,55,45
2051,18,48,23,20,46,29,31,30,42,43,65,73,31,47,27,46,64,48,50,34,45,23,60,66,39,47,36,45
2052,25,45,29,40,36,28,34,51,43,58,27,51,33,44,36,46,29,41,27,44,37,43,43,44,54,50,31,44
2053,35,33,31,18,49,35,34,26,53,56,36,38,60,45,46,36,47,55,42,30,43,57,50,56,37,61,52,52
2054,13,48,47,26,19,51,34,45,27,37,50,47,34,40,26,32,46,37,46,43,38,41,50,57,47,60,41,49
2055,68,22,29,36,52,40,41,18,75,58,39,37,37,44,43,47,45,37,40,49,44,41,44,46,40,53,26,42
2056,48,51,26,22,54,23,37,59,40,51,46,52,27,46,27,45,59,28,38,16,36,48,59,33,45,62,35,47
2057,44,54,57,15,45,25,40,42,39,39,34,60,40,42,42,43,57,45,60,36,47,38,55,70,32,68,40,51
