Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,35,40,26,31,39,38,35,35,40,26,31,39,38,35,35,40,26,31,39,38,35,35,40,26,31,39,38,35
1972,33,47,33,35,44,50,40,33,47,33,35,44,50,40,33,47,33,35,44,50,40,33,47,33,35,44,50,40
1973,44,27,29,46,21,47,36,44,27,29,46,21,47,36,44,27,29,46,21,47,36,44,27,29,46,21,47,36
1974,32,30,34,33,35,45,35,32,30,34,33,35,45,35,32,30,34,33,35,45,35,32,30,34,33,35,45,35
1975,39,38,27,27,29,46,34,39,38,27,27,29,46,34,39,38,27,27,29,46,34,39,38,27,27,29,46,34
1976,28,40,37,34,28,25,32,28,40,37,34,28,25,32,28,40,37,34,28,25,32,28,40,37,34,28,25,32
1977,49,28,39,35,35,45,39,49,28,39,35,35,45,39,49,28,39,35,35,45,39,49,28,39,35,35,45,39
1978,33,47,35,45,25,40,38,33,47,35,45,25,40,38,33,47,35,45,25,40,38,33,47,35,45,25,40,38
1979,36,35,40,38,33,35,36,36,35,40,38,33,35,36,36,35,40,38,33,35,36,36,35,40,38,33,35,36
1980,32,35,24,44,39,38,35,32,35,24,44,39,38,35,32,35,24,44,39,38,35,32,35,24,44,39,38,35
1981,51,49,31,35,27,37,38,51,49,31,35,27,37,38,51,49,31,35,27,37,38,51,49,31,35,27,37,38
1982,44,44,48,36,43,47,44,44,44,48,36,43,47,44,44,44,48,36,43,47,44,44,44,48,36,43,47,44
1983,32,46,38,39,42,30,38,32,46,38,39,42,30,38,32,46,38,39,42,30,38,32,46,38,39,42,30,38
1984,45,36,31,40,36,34,37,45,36,31,40,36,34,37,45,36,31,40,36,34,37,45,36,31,40,36,34,37
1985,28,38,33,35,39,27,33,28,38,33,35,39,27,33,28,38,33,35,39,27,33,28,38,33,35,39,27,33
1986,26,34,33,20,36,37,31,26,34,33,20,36,37,31,26,34,33,20,36,37,31,26,34,33,20,36,37,31
