Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,40,33,42,41,42,41,40,40,33,42,41,42,41,40,40,33,42,41,42,41,40,40,33,42,41,42,41,40
1972,43,34,34,39,44,42,39,43,34,34,39,44,42,39,43,34,34,39,44,42,39,43,34,34,39,44,42,39
1973,41,34,47,45,39,38,41,41,34,47,45,39,38,41,41,34,47,45,39,38,41,41,34,47,45,39,38,41
1974,47,47,33,43,41,48,43,47,47,33,43,41,48,43,47,47,33,43,41,48,43,47,47,33,43,41,48,43
1975,38,38,31,40,43,43,39,38,38,31,40,43,43,39,38,38,31,40,43,43,39,38,38,31,40,43,43,39
1976,46,43,37,46,39,36,41,46,43,37,46,39,36,41,46,43,37,46,39,36,41,46,43,37,46,39,36,41
1977,42,35,42,46,45,43,42,42,35,42,46,45,43,42,42,35,42,46,45,43,42,42,35,42,46,45,43,42
1978,48,30,28,35,41,37,37,48,30,28,35,41,37,37,48,30,28,35,41,37,37,48,30,28,35,41,37,37
1979,54,52,30,59,49,56,50,54,52,30,59,49,56,50,54,52,30,59,49,56,50,54,52,30,59,49,56,50
1980,47,43,36,45,41,37,42,47,43,36,45,41,37,42,47,43,36,45,41,37,42,47,43,36,45,41,37,42
1981,35,43,39,44,36,39,39,35,43,39,44,36,39,39,35,43,39,44,36,39,39,35,43,39,44,36,39,39
1982,46,35,37,38,34,41,39,46,35,37,38,34,41,39,46,35,37,38,34,41,39,46,35,37,38,34,41,39
1983,38,43,49,55,34,39,43,38,43,49,55,34,39,43,38,43,49,55,34,39,43,38,43,49,55,34,39,43
1984,39,41,35,41,43,34,39,39,41,35,41,43,34,39,39,41,35,41,43,34,39,39,41,35,41,43,34,39
1985,47,39,47,26,46,43,41,47,39,47,26,46,43,41,47,39,47,26,46,43,41,47,39,47,26,46,43,41
1986,39,33,41,36,49,46,41,39,33,41,36,49,46,41,39,33,41,36,49,46,41,39,33,41,36,49,46,41
1987,43,52,31,41,39,38,41,43,52,31,41,39,38,41,43,52,31,41,39,38,41,43,52,31,41,39,38,41
1988,37,50,37,42,37,45,41,37,50,37,42,37,45,41,37,50,37,42,37,45,41,37,50,37,42,37,45,41
1989,38,37,35,48,36,34,38,38,37,35,48,36,34,38,38,37,35,48,36,34,38,38,37,35,48,36,34,38
1990,44,38,43,26,37,35,37,44,38,43,26,37,35,37,44,38,43,26,37,35,37,44,38,43,26,37,35,37
1991,42,38,49,41,46,38,42,42,38,49,41,46,38,42,42,38,49,41,46,38,42,42,38,49,41,46,38,42
1992,41,35,32,42,53,36,40,41,35,32,42,53,36,40,41,35,32,42,53,36,40,41,35,32,42,53,36,40
1993,31,39,52,45,44,35,41,31,39,52,45,44,35,41,31,39,52,45,44,35,41,31,39,52,45,44,35,41
1994,43,36,45,44,35,33,39,43,36,45,44,35,33,39,43,36,45,44,35,33,39,43,36,45,44,35,33,39
1995,48,34,52,48,47,42,45,48,34,52,48,47,42,45,48,34,52,48,47,42,45,48,34,52,48,47,42,45
1996,20,33,41,35,52,38,37,20,33,41,35,52,38,37,20,33,41,35,52,38,37,20,33,41,35,52,38,37
1997,34,34,29,43,41,31,35,34,34,29,43,41,31,35,34,34,29,43,41,31,35,34,34,29,43,41,31,35
1998,36,26,45,39,25,42,36,36,26,45,39,25,42,36,36,26,45,39,25,42,36,36,26,45,39,25,42,36
1999,36,40,30,35,34,47,37,36,40,30,35,34,47,37,36,40,30,35,34,47,37,36,40,30,35,34,47,37
2000,43,31,49,31,34,46,39,43,31,49,31,34,46,39,43,31,49,31,34,46,39,43,31,49,31,34,46,39
2001,45,48,46,41,44,45,45,45,48,46,41,44,45,45,45,48,46,41,44,45,45,45,48,46,41,44,45,45
2002,30,33,32,48,37,41,37,30,33,32,48,37,41,37,30,33,32,48,37,41,37,30,33,32,48,37,41,37
2003,40,35,39,40,38,43,39,40,35,39,40,38,43,39,40,35,39,40,38,43,39,40,35,39,40,38,43,39
2004,38,43,39,48,38,43,42,38,43,39,48,38,43,42,38,43,39,48,38,43,42,38,43,39,48,38,43,42
2005,36,49,36,37,43,48,42,36,49,36,37,43,48,42,36,49,36,37,43,48,42,36,49,36,37,43,48,42
2006,34,35,38,33,32,30,34,44,36,42,41,38,27,38,45,50,37,45,41,36,42,32,36,42,33,37,37,36
2007,43,46,45,41,40,37,42,39,42,31,42,35,44,39,46,44,42,34,57,43,44,52,29,31,33,45,35,38
2008,29,38,38,32,45,26,35,35,44,38,32,32,26,35,44,37,39,39,47,29,39,39,46,35,41,38,36,39
2009,33,40,35,46,47,37,40,48,39,34,40,33,36,38,42,37,42,38,37,47,41,41,36,41,31,42,55,41
2010,27,33,38,48,37,40,37,45,36,41,53,39,49,44,32,32,35,30,46,33,35,37,41,36,40,48,56,43
2011,38,41,43,45,35,44,41,39,41,39,31,34,34,36,44,37,26,39,40,48,39,33,43,49,36,37,41,40
2012,37,39,32,53,41,28,38,56,46,42,43,41,37,44,39,37,33,39,50,32,38,33,49,26,39,32,37,36
2013,38,45,52,42,35,45,43,50,46,34,39,34,44,41,40,45,32,38,37,38,38,34,40,24,40,28,49,36
2014,39,40,41,30,33,44,38,38,41,49,44,48,33,42,39,34,31,44,27,37,35,40,38,21,44,34,47,37
2015,32,27,36,42,29,34,33,39,27,25,36,39,40,34,35,29,32,38,25,28,31,28,35,51,22,32,39,35
2016,27,27,30,38,45,37,34,31,24,37,44,36,32,34,41,25,41,39,37,39,37,40,33,42,47,36,33,39
2017,39,43,47,40,31,39,40,34,32,36,53,31,33,37,49,40,12,39,42,32,36,37,37,43,46,37,46,41
