Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!,,,,,,,#DIV/0!
1972,33,37,18,33,39,34,32,33,37,18,33,39,34,32,33,37,18,33,39,34,32,33,37,18,33,39,34,32
1973,16,22,35,23,28,30,26,16,22,35,23,28,30,26,16,22,35,23,28,30,26,16,22,35,23,28,30,26
1974,41,29,27,32,39,40,35,41,29,27,32,39,40,35,41,29,27,32,39,40,35,41,29,27,32,39,40,35
1975,29,39,26,22,18,38,29,29,39,26,22,18,38,29,29,39,26,22,18,38,29,29,39,26,22,18,38,29
1976,16,39,23,18,46,36,30,16,39,23,18,46,36,30,16,39,23,18,46,36,30,16,39,23,18,46,36,30
1977,35,31,26,18,34,40,31,35,31,26,18,34,40,31,35,31,26,18,34,40,31,35,31,26,18,34,40,31
1978,22,28,23,29,38,28,28,22,28,23,29,38,28,28,22,28,23,29,38,28,28,22,28,23,29,38,28,28
1979,30,25,31,41,37,33,33,30,25,31,41,37,33,33,30,25,31,41,37,33,33,30,25,31,41,37,33,33
1980,22,35,17,24,41,23,27,22,35,17,24,41,23,27,22,35,17,24,41,23,27,22,35,17,24,41,23,27
1981,35,28,37,33,21,32,31,35,28,37,33,21,32,31,35,28,37,33,21,32,31,35,28,37,33,21,32,31
1982,38,34,31,22,30,45,33,38,34,31,22,30,45,33,38,34,31,22,30,45,33,38,34,31,22,30,45,33
1983,25,47,17,17,46,22,29,25,47,17,17,46,22,29,25,47,17,17,46,22,29,25,47,17,17,46,22,29
1984,15,30,28,42,36,24,29,15,30,28,42,36,24,29,15,30,28,42,36,24,29,15,30,28,42,36,24,29
1985,34,17,24,39,26,19,27,34,17,24,39,26,19,27,34,17,24,39,26,19,27,34,17,24,39,26,19,27
1986,29,29,26,34,20,43,30,29,29,26,34,20,43,30,29,29,26,34,20,43,30,29,29,26,34,20,43,30
1987,27,50,40,28,36,33,36,27,50,40,28,36,33,36,27,50,40,28,36,33,36,27,50,40,28,36,33,36
1988,53,43,32,28,23,28,35,53,43,32,28,23,28,35,53,43,32,28,23,28,35,53,43,32,28,23,28,35
1989,31,31,19,21,24,26,25,31,31,19,21,24,26,25,31,31,19,21,24,26,25,31,31,19,21,24,26,25
1990,16,28,16,27,25,30,24,16,28,16,27,25,30,24,16,28,16,27,25,30,24,16,28,16,27,25,30,24
1991,27,26,26,33,32,22,28,27,26,26,33,32,22,28,27,26,26,33,32,22,28,27,26,26,33,32,22,28
1992,38,33,28,30,40,25,32,38,33,28,30,40,25,32,38,33,28,30,40,25,32,38,33,28,30,40,25,32
1993,28,28,19,26,23,24,25,28,28,19,26,23,24,25,28,28,19,26,23,24,25,28,28,19,26,23,24,25
1994,42,32,39,25,37,25,33,42,32,39,25,37,25,33,42,32,39,25,37,25,33,42,32,39,25,37,25,33
1995,31,41,24,47,25,40,35,31,41,24,47,25,40,35,31,41,24,47,25,40,35,31,41,24,47,25,40,35
1996,34,36,36,45,33,20,34,34,36,36,45,33,20,34,34,36,36,45,33,20,34,34,36,36,45,33,20,34
1997,14,27,31,23,17,38,25,14,27,31,23,17,38,25,14,27,31,23,17,38,25,14,27,31,23,17,38,25
1998,31,33,37,29,43,47,37,31,33,37,29,43,47,37,31,33,37,29,43,47,37,31,33,37,29,43,47,37
1999,34,38,24,14,28,24,27,34,38,24,14,28,24,27,34,38,24,14,28,24,27,34,38,24,14,28,24,27
2000,23,13,22,30,38,33,27,23,13,22,30,38,33,27,23,13,22,30,38,33,27,23,13,22,30,38,33,27
2001,16,22,43,34,23,27,28,16,22,43,34,23,27,28,16,22,43,34,23,27,28,16,22,43,34,23,27,28
2002,26,34,24,44,45,33,34,26,34,24,44,45,33,34,26,34,24,44,45,33,34,26,34,24,44,45,33,34
2003,29,22,37,43,33,35,33,29,22,37,43,33,35,33,29,22,37,43,33,35,33,29,22,37,43,33,35,33
2004,39,22,11,30,15,24,24,39,22,11,30,15,24,24,39,22,11,30,15,24,24,39,22,11,30,15,24,24
2005,40,38,42,46,29,31,38,40,38,42,46,29,31,38,40,38,42,46,29,31,38,40,38,42,46,29,31,38
2006,27,30,27,17,39,25,28,18,45,22,22,22,36,28,19,38,26,21,25,42,29,34,32,23,12,22,25,25
2007,22,24,35,31,22,33,28,36,16,22,35,42,36,31,14,41,23,36,28,28,28,32,28,33,31,33,25,30
2008,27,31,44,22,36,27,31,35,32,43,32,50,36,38,28,34,38,29,45,35,35,24,10,25,45,29,26,27
2009,14,23,23,40,20,40,27,21,30,25,26,30,24,26,19,44,44,31,22,34,32,28,40,28,36,31,20,31
2010,29,24,20,27,37,33,28,28,28,20,24,27,22,25,28,34,35,28,24,22,29,40,39,25,35,25,31,33
2011,28,23,23,18,35,21,25,37,32,22,30,21,53,33,26,26,32,29,22,19,26,32,29,40,26,24,26,30
2012,26,36,43,37,32,26,33,39,34,29,40,19,36,33,37,36,14,31,26,36,30,42,25,33,42,32,50,37
2013,31,35,31,43,41,36,36,25,19,38,24,37,40,31,19,30,26,37,24,26,27,25,24,32,37,41,31,32
