Year,BCC-CSM1.1_RCP2.6,CESM1-CAM5_RCP2.6,GFDL-CM3_RCP2.6,GISS-EL-R_RCP2.6,HadGEM2-ES_RCP2.6,NorESM1-M_RCP2.6,ENS-AV_RCP2.6,BCC-CSM1.1_RCP4.5,CESM1-CAM5_RCP4.5,GFDL-CM3_RCP4.5,GISS-EL-R_RCP4.5,HadGEM2-ES_RCP4.5,NorESM1-M_RCP4.5,ENS-AV_RCP4.5,BCC-CSM1.1_RCP6.0,CESM1-CAM5_RCP6.0,GFDL-CM3_RCP6.0,GISS-EL-R_RCP6.0,HadGEM2-ES_RCP6.0,NorESM1-M_RCP6.0,ENS-AV_RCP6.0,BCC-CSM1.1_RCP8.5,CESM1-CAM5_RCP8.5,GFDL-CM3_RCP8.5,GISS-EL-R_RCP8.5,HadGEM2-ES_RCP8.5,NorESM1-M_RCP8.5,ENS-AV_RCP8.5
1971,53,50,52,47,61,60,54,53,50,52,47,61,60,54,53,50,52,47,61,60,54,53,50,52,47,61,60,54
1972,53,58,53,54,47,45,52,53,58,53,54,47,45,52,53,58,53,54,47,45,52,53,58,53,54,47,45,52
1973,54,39,54,48,58,48,50,54,39,54,48,58,48,50,54,39,54,48,58,48,50,54,39,54,48,58,48,50
1974,57,50,52,49,54,48,52,57,50,52,49,54,48,52,57,50,52,49,54,48,52,57,50,52,49,54,48,52
1975,49,46,53,64,59,47,53,49,46,53,64,59,47,53,49,46,53,64,59,47,53,49,46,53,64,59,47,53
1976,54,56,54,56,56,44,53,54,56,54,56,56,44,53,54,56,54,56,56,44,53,54,56,54,56,56,44,53
1977,39,53,54,58,51,51,51,39,53,54,58,51,51,51,39,53,54,58,51,51,51,39,53,54,58,51,51,51
1978,45,51,43,51,53,48,49,45,51,43,51,53,48,49,45,51,43,51,53,48,49,45,51,43,51,53,48,49
1979,51,51,49,44,49,42,48,51,51,49,44,49,42,48,51,51,49,44,49,42,48,51,51,49,44,49,42,48
1980,58,49,46,41,45,46,48,58,49,46,41,45,46,48,58,49,46,41,45,46,48,58,49,46,41,45,46,48
1981,53,53,48,52,40,46,49,53,53,48,52,40,46,49,53,53,48,52,40,46,49,53,53,48,52,40,46,49
1982,47,45,57,56,60,51,53,47,45,57,56,60,51,53,47,45,57,56,60,51,53,47,45,57,56,60,51,53
1983,53,53,50,43,57,54,52,53,53,50,43,57,54,52,53,53,50,43,57,54,52,53,53,50,43,57,54,52
1984,44,47,50,57,49,56,51,44,47,50,57,49,56,51,44,47,50,57,49,56,51,44,47,50,57,49,56,51
1985,45,51,58,50,44,41,48,45,51,58,50,44,41,48,45,51,58,50,44,41,48,45,51,58,50,44,41,48
1986,48,49,48,52,48,56,50,48,49,48,52,48,56,50,48,49,48,52,48,56,50,48,49,48,52,48,56,50
1987,47,56,50,52,46,55,51,47,56,50,52,46,55,51,47,56,50,52,46,55,51,47,56,50,52,46,55,51
1988,57,41,56,51,36,56,50,57,41,56,51,36,56,50,57,41,56,51,36,56,50,57,41,56,51,36,56,50
1989,39,52,48,53,53,58,51,39,52,48,53,53,58,51,39,52,48,53,53,58,51,39,52,48,53,53,58,51
1990,45,57,48,53,55,43,50,45,57,48,53,55,43,50,45,57,48,53,55,43,50,45,57,48,53,55,43,50
1991,45,52,47,57,48,49,50,45,52,47,57,48,49,50,45,52,47,57,48,49,50,45,52,47,57,48,49,50
1992,50,50,50,44,61,52,51,50,50,50,44,61,52,51,50,50,50,44,61,52,51,50,50,50,44,61,52,51
1993,46,44,53,43,54,44,47,46,44,53,43,54,44,47,46,44,53,43,54,44,47,46,44,53,43,54,44,47
1994,58,58,57,48,54,50,54,58,58,57,48,54,50,54,58,58,57,48,54,50,54,58,58,57,48,54,50,54
1995,48,53,56,48,52,49,51,48,53,56,48,52,49,51,48,53,56,48,52,49,51,48,53,56,48,52,49,51
1996,56,47,58,49,45,49,51,56,47,58,49,45,49,51,56,47,58,49,45,49,51,56,47,58,49,45,49,51
1997,50,44,56,47,52,54,51,50,44,56,47,52,54,51,50,44,56,47,52,54,51,50,44,56,47,52,54,51
1998,59,36,49,53,44,60,50,59,36,49,53,44,60,50,59,36,49,53,44,60,50,59,36,49,53,44,60,50
1999,46,42,48,55,41,48,47,46,42,48,55,41,48,47,46,42,48,55,41,48,47,46,42,48,55,41,48,47
2000,59,52,51,39,48,42,49,59,52,51,39,48,42,49,59,52,51,39,48,42,49,59,52,51,39,48,42,49
2001,51,48,56,48,49,54,51,51,48,56,48,49,54,51,51,48,56,48,49,54,51,51,48,56,48,49,54,51
2002,55,43,59,50,50,43,50,55,43,59,50,50,43,50,55,43,59,50,50,43,50,55,43,59,50,50,43,50
2003,49,53,64,64,47,43,53,49,53,64,64,47,43,53,49,53,64,64,47,43,53,49,53,64,64,47,43,53
2004,54,40,50,60,51,56,52,54,40,50,60,51,56,52,54,40,50,60,51,56,52,54,40,50,60,51,56,52
2005,53,48,46,53,43,55,50,53,48,46,53,43,55,50,53,48,46,53,43,55,50,53,48,46,53,43,55,50
2006,53,49,58,52,49,55,53,53,55,52,53,49,53,53,54,67,46,50,61,61,57,55,46,53,56,50,59,53
2007,43,52,55,64,47,56,53,54,42,54,51,55,49,51,55,57,47,49,48,52,51,59,47,58,40,48,49,50
2008,59,52,46,53,57,55,54,62,50,42,51,54,48,51,53,65,50,59,50,53,55,48,53,45,54,47,62,52
2009,46,43,60,56,53,61,53,58,56,45,56,49,46,52,47,42,44,47,54,47,47,42,47,45,51,56,50,49
2010,43,63,46,55,52,57,53,50,50,46,53,62,51,52,45,45,47,43,65,51,49,56,49,48,49,51,38,49
2011,42,54,45,44,35,54,46,49,41,52,54,48,60,51,59,57,49,45,57,48,53,45,57,45,49,40,48,47
2012,52,49,38,54,42,44,47,45,61,60,44,55,52,53,46,55,59,49,65,37,52,49,56,50,50,55,60,53
2013,50,44,48,43,50,54,48,44,47,38,47,39,51,44,48,47,63,41,48,56,51,50,53,46,63,55,51,53
2014,57,56,57,46,54,39,52,57,51,57,59,53,45,54,49,57,51,52,57,38,51,53,48,52,54,42,58,51
2015,53,48,45,57,58,54,53,51,46,52,55,45,49,50,48,46,57,40,62,51,51,43,49,56,57,49,47,50
2016,47,46,54,49,43,40,47,48,60,57,44,54,48,52,55,61,40,58,49,58,54,58,46,41,41,55,50,49
2017,52,59,51,56,60,53,55,41,50,52,51,61,46,50,59,51,22,53,45,51,47,57,52,50,43,49,52,51
2018,45,46,42,44,51,50,46,48,50,47,55,44,50,49,56,56,25,54,51,47,48,61,52,51,50,51,48,52
2019,54,43,39,43,49,49,46,55,49,57,51,45,44,50,45,42,43,44,42,55,45,45,54,59,57,55,60,55
2020,49,51,55,60,48,44,51,60,45,43,48,43,43,47,43,45,22,53,48,55,44,47,48,41,51,53,55,49
2021,36,56,61,63,46,54,53,43,44,39,48,45,39,43,57,65,27,56,45,50,50,51,61,54,48,37,51,50
2022,55,54,42,43,48,45,48,54,53,45,55,58,48,52,55,62,38,53,49,65,54,58,54,52,58,58,58,56
2023,38,52,42,52,57,52,49,36,50,41,57,50,55,48,53,52,28,44,44,51,45,47,45,45,46,44,42,45
